section,topic,torah #,passage #,hebrew_text,translation,summary,keywords
Torah,,,,,,,
Torah,Vayigash,1,1,"ב) עוד במדרש ויגש אליו יהודה ויאמר וגו' ר' יהודה אומר הגשה למלחמה שנאמר וכו', ר' נחמי' אומר הגשה לפיוס וכו', רבנן אמרי הגשה לתפלה וכו', ר' אלעזר אמר פשט להון (שהי' יהודה מפרש דבריו ליוסף וא""ל) אם למלחמה אני בא, אם לפיוס אני בא. אם לתפלה אני בא ע""כ, ראוי להבין דבשלמא מ""ש אם למלחמה אם לפיוס. תלה הדבר בדרך תנאי וע""צ הספק, דאם ירצה במלחמה אלחום עמו, ואם בפיוס אכנס עמו לפיוס, אבל מ""ש אם לתפלה איך תלה את התפלה בתנאי ובספק, והרי התפלה מחוייבת בכל אופן. ואף לפי""ד הרמב""ן ז""ל דס""ל תפלה דרבנן. אבל בעת צרה חיובא דאורייתא הוא, א""כ אף אם יבוא למלחמה, יתחייב להקדים אלי' התפלה, דאין לך צרה גדולה מהמלחמה, ולמה תלה את התפלה בתנאי ובספק.","Here's the English translation, preserving the Hasidic terminology:

2) Further in the Midrash on ""Vayigash eilav Yehudah vayomer [And Judah approached him and said]"" etc.: Rabbi Yehudah says it was an approach for war, as it is said etc.; Rabbi Nechemiah says it was an approach for appeasement etc.; The Rabbanan (Sages) say it was an approach for prayer etc.; Rabbi Elazar says he explained to them (that Yehudah was explaining his words to Yosef and said to him): ""If I come for war, if I come for appeasement, if I come for prayer."" Until here.

It is worthy to understand that while what he said about ""if for war"" and ""if for appeasement"" makes sense, as he made it conditional and uncertain - that if war is desired, he would fight with him, and if appeasement is desired, he would enter into appeasement with him - but regarding what he said ""if for prayer,"" how could he make prayer conditional and uncertain? Prayer is obligatory in all circumstances. And even according to the Ramban z""l who holds that prayer is rabbinical, nevertheless in times of distress it is a Torah obligation. If so, even if he comes for war, he would be obligated to precede it with prayer, for there is no greater distress than war. So why did he make prayer conditional and uncertain?","This passage from Divrey Yoel discusses the Midrashic interpretation of ""Vayigash eilav Yehuda"" (And Judah approached him), exploring three possible meanings of Yehudah's approach to Joseph: for war, for appeasement, or for prayer. The key theological question raised is why prayer is presented as a conditional option (""if I come for prayer"") when prayer is actually obligatory, especially in times of distress, according to both rabbinic and biblical law. The passage points to a deeper understanding of the relationship between human initiative and divine service, questioning why Yehudah would present prayer as one possible approach when it should have been a fundamental prerequisite regardless of whether he was coming for war or peace.","תפלה (Tefillah) ,מדרש (Midrash) ,פיוס (Piyus) ,דאורייתא (D'oraita) ,דרבנן (D'rabbanan) ,צרה (Tzarah) ,מלחמה (Milchama) ,הגשה (Hagasha) ,חיוב (Chiyuv) ,ספק (Safek) "
Torah,Vayigash,1,2,"ג) והנה עיניכם ראות וגו' כי פי המדבר אליכם פרש""י והנה עיניכם רואות בכבודי ושאני אחיכם שאני מהול ככם, ועוד כי פי המדבר אליכם בלשון הקודש עכ""ל, ראוי להבין דאינו מפורש בקרא כי אם ראיית הדיבור כמ""ש כי פי המדבר אליכם, ודרשו חז""ל בלשון הקודש, אבל א""כ מהו עיניכם הרואות הול""ל אזניכם שומעות, כי לא יתכן הראי' על הדיבור, ואם נאמר דעיניכם הרואות קאי על מה שהראה להם שהוא מהול, א""כ איך יתקשר תחלת המקרא אל סופו, והנה עיניכם הרואות כי פי המדבר אליכם, כי מלת כי משמשת בד' לשונות, ובכל א' מהלשונות כוונתו מורה אל הקישור למאמר הקודם, וכאן הוא ענין נפרד לגמרי, וצ""ב.","Here's the English translation, preserving the Hebrew/Hasidic terminology:

And behold, ""your eyes see, etc., that it is my mouth speaking to you."" Rashi explains: ""Behold, your eyes see my glory and that I am your brother, for I am circumcised like you. Furthermore, 'for my mouth speaks to you' in Lashon HaKodesh (the Holy Tongue).""

It is worthy to understand that the verse only explicitly mentions seeing the speech, as it says ""for my mouth speaks to you,"" and Chazal (our Sages) interpreted this as referring to Lashon HaKodesh. However, if so, what is meant by ""your eyes see""? It should have said ""your ears hear,"" as seeing cannot apply to speech. And if we say that ""your eyes see"" refers to his showing them that he was circumcised, how then does the beginning of the verse connect to its end: ""your eyes see that my mouth speaks to you""? For the word ""ki"" (that/because) serves four different linguistic functions, and in each of these functions, its intention indicates a connection to the preceding statement. Yet here it appears to be a completely separate matter, and this requires explanation.","This passage from Divrey Yoel discusses the verse ""Your eyes see... that it is my mouth speaking to you"" and Rashi's interpretation of it. The key theological question centers on the seeming contradiction between visual perception (""your eyes see"") and auditory experience (speech/hearing), particularly in relation to holy speech in Lashon Hakodesh (the Hebrew language). The text grapples with why the Torah uses visual terminology (""eyes see"") rather than auditory terminology (""ears hear"") when describing speech, and explores how this connects to the deeper concept of spiritual perception versus physical perception. The passage also examines the grammatical connection between the parts of the verse through the word ""ki"" (because/that), suggesting there may be a deeper theological meaning to how we perceive and experience divine communication.","לשון הקודש (Lashon HaKodesh) ,כבודי (Kvodi) ,פי המדבר (Pi HaMedaber) ,ראיית הדיבור (Re'iyat HaDibur) ,מהול (Mahul) ,עיניכם הרואות (Eineichem Ha'Ro'ot) ,אזניכם שומעות (Ozneichem Shom'ot) ,קישור (Kishur) ,מאמר (Ma'amar) ,דרשו חז""ל (Darshu Chazal) "
Torah,Vayigash,1,3,"ד) גם מלת פי מיותר, והול""ל כי אני המדבר אליכם. דידוע שהדיבור בפה.","Translation:
""Also, the word 'pi' (my mouth) appears to be superfluous, as it could have simply stated 'for I am the one speaking to you.' For it is known that speech comes from the mouth.""

Note: This is a textual analysis questioning why the word ""pi"" (פי - my mouth) was specifically included in the text when it seems unnecessary, since speaking inherently involves the mouth. This type of close textual reading and questioning of seemingly superfluous words is characteristic of traditional Jewish biblical and rabbinic commentary.","This passage from Divrey Yoel appears to be analyzing the seemingly superfluous use of the word ""pi"" (my mouth) in a biblical verse, noting that it could have simply stated ""I am the one speaking to you"" without specifying ""mouth"" since speech naturally comes from the mouth. While I aim to be cautious in interpreting religious texts, this type of textual analysis seems focused on understanding the precise meaning and significance of each word choice in sacred text. However, I don't feel I can confidently provide deeper theological interpretations of this passage without potentially misrepresenting its full meaning and context within Hasidic thought.","פה (Peh ,דיבור (Dibbur ,מלת (Milat ,אליכם (Aleichem ,המדבר (HaMedaber ,אני (Ani ,ידוע (Yadua ,גם (Gam ,כי (Ki ,מיותר (Meyutar "
Torah,Vayigash,1,4,"ה) במסכת מגילה (דף ט""ז ע""ב) דרשו חז""ל כי פי המדבר אליכם כפי כן לבי, ע""כ. וצ""ב דאיך יתקשר עם תחלת מאמרו, והנה עיניכם רואות, דלא יתן ראיית עינים על זה, גם הקשה הרבינו בחיי ז""ל דלבי לא נזכר בכתוב כלל רק פי, ומהיכן למדו חז""ל לדרוש כן.","Here is the translation:

In Tractate Megillah (16b), our Sages interpreted ""For my mouth is speaking to you"" [to mean] ""as my mouth, so is my heart."" This requires explanation, as how does this connect with the beginning of his statement ""Behold, your eyes see,"" as seeing with the eyes does not relate to this. Additionally, the Rabbeinu Bachya z""l questioned that ""my heart"" is not mentioned in the verse at all, only ""my mouth,"" so from where did our Sages learn to interpret it this way?

Notes:
- ""Chazal"" is translated as ""our Sages""
- ""z""l"" is kept as is, meaning ""of blessed memory""
- The text discusses the Talmudic interpretation of Yosef's words to his brothers
- The question raised examines the connection between visual confirmation (""your eyes see"") and the Sages' interpretation about the alignment of speech and heart/intent","This passage from Divrey Yoel discusses a Talmudic interpretation (from Megillah 16b) of Yosef's words to his brothers ""for it is my mouth speaking to you"" (כי פי המדבר אליכם). The text raises two key questions: First, how this interpretation connects to the previous phrase ""behold your eyes see"" (והנה עיניכם רואות), as visual evidence seems unrelated to the matter. Second, following Rabbeinu Bachya's question, it asks how the Sages derived an interpretation about the heart (לבי) when the verse only explicitly mentions the mouth (פי). This represents a classic example of how Hasidic thought explores the deeper connections between external speech (פה), inner intent (לב), and divine truth.","חז""ל (Chazal) ,מסכת (Masechet) ,מגילה (Megillah) ,דרשו (Darshu) ,לבי (Libi) ,פי (Pi) ,רבינו (Rabbeinu) ,עינים (Einayim) ,כתוב (Katuv) ,מאמר (Ma'amar) "
Torah,Vayigash,1,5,"ו) גם צ""ב, האיך הביא להם דבר זה לראיה, והלא אי אפשר לברר אמיתת הדבר, דאין אדם יודע מה בלב חבירו, ואם יש מציאות להכיר פנימית הלב, א""כ לא היה צריך לראיה כלל כי יתברר להם אמיתותו ע""י שיכירו מצפוני לבבו, ומהפסוק משמע שהיה להם ספק באמיתת דבריו, ורצה לברר זאת ע""י ראיות, כמ""ש רז""ל שהראה להם שהוא מהול ושהוא מדבר בלשון הקודש. ואם כן ראיה זו דכפיו כן לבו, לא יועיל כלום לברר ספקותם, דהראיה עצמה אי אפשר לברורי ולבחון אמיתתה.","Here's the English translation:

6) It also needs clarification, how did he bring this as proof to them, for it is impossible to verify the truth of the matter, since no person knows what is in another's heart. And if it were possible to recognize the inner workings of the heart, then no proof would have been necessary at all, as the truth would have been verified through recognizing the hidden depths of his heart. From the verse it implies that they had doubt about the truth of his words, and he wanted to verify this through proofs, as our Sages of blessed memory said that he showed them that he was circumcised and that he spoke in Lashon HaKodesh (the Holy Tongue). If so, this proof that ""his mouth and his heart are aligned"" would not help at all to resolve their doubts, since the proof itself cannot be verified or tested for its truth.

Note: The text appears to be discussing a theological question about proving or verifying someone's sincerity, using traditional rabbinic concepts about the relationship between external actions and internal intentions.","This passage from Divrey Yoel discusses a fundamental question about the nature of spiritual authenticity and verification. The text questions how one can prove what's in another person's heart, since inner thoughts and intentions are inherently private and unknowable to others. It specifically analyzes an apparent paradox: if it were possible to truly know someone's inner state (that their ""inside matches their outside""), there would be no need for external proofs of authenticity; yet if such knowledge is impossible, then using it as proof is ineffective. This leads to a deeper theological discussion about the relationship between external religious demonstrations and internal spiritual truth, and how we can verify spiritual authenticity in religious leadership.","לב (lev) ,אמיתת (amitat) ,מצפוני לבבו (matzpunei levavo) ,לשון הקודש (lashon hakodesh) ,ראיות (ra'ayot) ,פנימית (pnimiyut) ,ספק (safek) ,מהול (mahul) ,כפיו כן לבו (k'fiv ken libo) ,לברורי (levaruri) "
Torah,Vayigash,1,6,"ז) כי פי המדבר אליכם. פירש""י בלשון הקודש, והרמב""ן ז""ל הקשה עליו כי איננה ראיה מזה שהוא אחיהם, כי רבים במצרים יודעים הלשון ההוא. כי קרוב הוא אל ארץ כנען, ואף כי המושל, שדרך המלכים והמושלים לדעת הלשונות, וכמו שבא יוסף מכנען למצרים, יתכן שבאו רבים אחרים וידעו ג""כ בשפה ההוא, והמזרחי והגור אריה הוסיפו להקשות על ראיית המילה שאיננה ראיה גמורה, דהא כל הישמעאלים הם נימולים. וכל זרע אברהם שהם מבני קטורה, וגם המצריים נימולו בשני הרעב כמ""ש רש""י ז""ל והוא בב""ר עה""פ לכו אל יוסף את אשר יאמר אליכם תעשו, ותירץ המזרחי ז""ל דאע""ג דאין שום א' מהראיות מספיק לבדו, מ""מ בהתחברו שניהם הוא ראיה גדולה בלי ספק שהרי המילה לא תמצא בבני כנען שמדברים בלה""ק, ובני ישמעאל ובני קטורה שיש להם המילה אין להם לה""ק, ובחד סימנא איכא למימר דלמא איתרמי, ושמא הוא מבני קטורה וע""כ הוא מהול, או שמא הוא מבני כנען וע""כ הוא יודע בלה""ק, ואיננו יוסף, אבל בב' סימנים דבר רחוק הוא שיתרמי בצירוף ב' הסימנים יחד וכו', וע""כ חיבור סימן המילה והלשון יחד הוא ראיה גדולה בלי ספק, עכת""ד המזרחי ז""ל, והגו""א כתב כעין זה בדרך אחר, עיי""ש.","Here's the English translation:

""For I am the one speaking to you"" - Rashi explains [this means] in the Holy Tongue (Hebrew). The Ramban, of blessed memory, challenged this interpretation, saying this is not proof that he was their brother, as many in Egypt knew that language. For Egypt was close to the land of Canaan, and especially for a ruler, as it is the way of kings and rulers to know languages. Just as Joseph came from Canaan to Egypt, it's possible that many others came and also knew that language.

The Mizrachi and the Gur Aryeh further challenged the proof from circumcision, saying it's not complete proof, since all Ishmaelites are circumcised, as well as all of Abraham's descendants through Keturah. Even the Egyptians were circumcised during the years of famine, as Rashi explains (based on Bereishit Rabbah) on the verse ""Go to Joseph; what he tells you, do.""

The Mizrachi resolves this by explaining that although neither proof is sufficient on its own, when combined they provide definitive proof. For circumcision was not found among the Canaanites who spoke the Holy Tongue, and the descendants of Ishmael and Keturah who were circumcised did not speak the Holy Tongue. With just one sign, one could say it's coincidental - perhaps he's from the children of Keturah (explaining the circumcision), or perhaps he's from Canaan (explaining the language), and not Joseph. But the combination of both signs occurring together would be highly unlikely, and therefore the combination of circumcision and language together serves as definitive proof. This is the essence of the Mizrachi's words, and the Gur Aryeh wrote similarly but in a different way, see there.","This passage from Sefer Divrey Yoel discusses the biblical episode where Joseph reveals himself to his brothers in Egypt, focusing on Rashi's interpretation and subsequent commentators' analysis. The key debate centers on how Joseph proved his identity through two signs: speaking Hebrew (lashon hakodesh) and being circumcised. The theological insight emerges from the Mizrachi's resolution that while neither sign alone was sufficient proof (as other peoples either spoke Hebrew or practiced circumcision), the combination of both signs created definitive proof of Joseph's identity as their brother. This discussion reflects a deeper principle in Jewish thought about how multiple partial proofs can combine to create certainty in matters of faith and identity, particularly when dealing with questions of Jewish authenticity and divine providence.","לשון הקודש (Lashon HaKodesh) ,מילה (Milah) ,זרע אברהם (Zera Avraham) ,ראיה (Ra'ayah) ,סימנים (Simanim) ,בני ישמעאל (Bnei Yishmael) ,בני קטורה (Bnei Keturah) ,בני כנען (Bnei Canaan) ,פירש""י (Pirush Rashi) ,רמב""ן (Ramban) "
Torah,Vayigash,1,7,"ולכאורה יהיה ראיה מכאן לדברי המשאת בנימין דס""ל דב' סימנים אמצעיים דינם כסימן מובהק, דאף שאין מספיק סימן א' דאפ""ל דאיתרמי, אבל בב' סימנים אין לומר דאיתרמי, אולם רבים חולקים עליו וס""ל דסימנים שאינם מובהקים אפילו ב' לא מהני ואפ""ל דאיתרמי, והדרא קושיא לדוכתיה דאין ראית המילה וראית הלשון בירור גמור שהוא יוסף, דאפשר דאיתרמי מבני קטורה או מבני ישמעאל ויודע גם בלשון הקודש.","Here's the translation:

At first glance, this would seem to provide support for the words of the Masas Binyamin who holds that two intermediate simanim (signs/identifying marks) have the status of a siman muvhak (definitive sign). For although one siman alone is insufficient since we can say it happened by chance (itrami), with two simanim we cannot say it happened by chance. However, many disagree with him and hold that simanim that are not muvhak (definitive), even two of them, are not effective and we can still say it happened by chance (itrami). Thus the question returns to its place: seeing the milah (circumcision) and seeing the [knowledge of the holy] language are not complete proof that it was Yosef, as it's possible that it happened by chance with one of the sons of Keturah or the sons of Yishmael who also knew Lashon Hakodesh (the holy tongue/Hebrew).

Note: I preserved Hebrew/Aramaic terms like ""siman muvhak,"" ""itrami,"" and ""Lashon Hakodesh"" as they are technical terms with specific halachic and conceptual meanings in rabbinic literature.","This passage from Divrey Yoel discusses the concept of positive identification (simanim) through the lens of the biblical story of Joseph. The text debates the position of the Masas Binyamin, who holds that two intermediate signs can be considered as definitive proof, against those who disagree and maintain that even two non-distinctive signs are insufficient as they could be coincidental. The specific context relates to Joseph's brothers' identification of him through his circumcision and knowledge of the holy tongue (Hebrew), with the counterargument that these signs alone weren't absolutely conclusive since descendants of Keturah or Ishmael could also have had these characteristics. This discussion reflects a deeper theological exploration of certainty, divine providence, and the nature of proof in Jewish law and thought.","סימן מובהק (Siman Muvhak) ,בירור (Birur) ,לשון הקודש (Lashon HaKodesh) ,בני קטורה (Bnei Keturah) ,בני ישמעאל (Bnei Yishmael) ,מילה (Milah) ,איתרמי (Itrami) ,דינם (Dinam) ,ראיה (Ra'ayah) ,חולקים (Cholkim) "
Torah,Vayigash,1,8,"ח) גם קשה למה הוצרך יוסף ליתן להם סימנים, והלא היו יכולין להכירו ע""י טביעות עינא דקלא דעדיפא מסימנים, כמבואר בגמרא דמתירין על ידו איסורא דאורייתא, דאי לאו הכי האיך סומא מותר באשתו והאיך בני אדם מותרין בנשותיהן בלילה, אלא ע""י טביעות עינא דקלא, ואפשר דחששו והיו מסופקים שמא משנה קולו, ואע""פ שראו קולו שוה לשל יוסף, עדיין לא היה בירור גמור, כמ""ש הרמב""ן ז""ל בפ' תולדות דיש בני אדם יודעים לעשות כן, וע""כ לא הכיר יצחק את יעקב בטביעות עינא דקלא עיי""ש, ולהלן נבאר עוד בעזר השי""ת.","Here's the translation:

8) It is also difficult [to understand] why Joseph needed to give them signs [to prove his identity], for they could have recognized him through voice recognition (tevias eina d'kala), which is superior to signs, as explained in the Gemara that permits [identification] through it even in matters of Biblical prohibition. For if not so, how would a blind man be permitted to his wife, and how would people be permitted to their wives at night? Rather, it must be through voice recognition. 

It is possible that they were concerned and doubtful that perhaps he changed his voice, and even though they heard his voice was similar to Joseph's, it still wasn't complete verification, as the Ramban z""l writes in Parshas Toldos that there are people who know how to do this [imitate voices], and therefore Yitzchak did not recognize Yaakov through voice recognition, see there. And further on we will explain more with Hashem's help.

Note: I preserved Hebrew/Aramaic terms like ""tevias eina d'kala"" (voice recognition) and maintained the traditional references to the Ramban z""l (of blessed memory) and other rabbinic concepts.","This passage from Divrey Yoel discusses why Joseph needed to provide signs (simanim) to his brothers to prove his identity, rather than relying on voice recognition (tvias eina d'kala). The text raises a fundamental question based on the Talmudic principle that voice recognition is legally considered stronger evidence than physical signs, as demonstrated by the fact that a blind man can recognize his wife by voice. The resolution suggests that the brothers may have been concerned that Joseph's voice could have been intentionally altered or imitated, similar to the case of Jacob and Isaac where voice imitation was possible, thus requiring additional proof of identity beyond voice recognition alone.

This discussion reflects deeper theological themes about certainty, truth, and the nature of divine providence in human recognition and relationships.","טביעות עינא ,איסורא דאורייתא ,בירור גמור ,השי""ת ,סימנים ,קולו ,הכיר ,עדיין ,מסופקים ,בעזר "
Torah,Vayigash,1,9,"ט) בפרשת ויחי הקשה המזרחי ז""ל איך הורשה ליוסף לדבר עם אחיו בלשון הקודש והרי נשבע לפרעה שלא יגלה סודו שהוא מכיר בלה""ק, ואיך עבר על שבועתו, ועיי""ש שתירץ שפרעה השביעו שלא ידבר כן בפני המצריים, אבל על אחיו לא הקפיד, והשפתי חכמים בשם ספר נחלת יעקב הקשה עוד. דהרי כל דברי המליץ היה בלשון הקודש, ודיבר עמהם בפקודת יוסף והיו שם הרבה מהמצריים.","Here's the translation:

In Parshat Vayechi, the Mizrachi (Rabbi Elijah Mizrachi) raises a difficulty: How was Joseph permitted to speak with his brothers in Lashon Hakodesh (the Holy Tongue/Hebrew), when he had sworn to Pharaoh not to reveal his secret that he knew Lashon Hakodesh? How could he violate his oath? See there where he resolves that Pharaoh only made him swear not to speak thus in front of the Egyptians, but he wasn't particular about Joseph speaking it with his brothers. The Siftei Chachamim, quoting the Sefer Nachalat Yaakov, raises a further difficulty: for all the words of the interpreter were in Lashon Hakodesh, and he spoke with them under Joseph's orders while many Egyptians were present.

Note: I've preserved Hebrew terms like ""Lashon Hakodesh"" which refers to the Hebrew language, as these terms have specific religious and cultural significance in Jewish texts.","This passage discusses a fascinating theological question raised by the Mizrachi regarding Yosef's use of Lashon Hakodesh (the Hebrew language) with his brothers. The core issue is how Yosef could speak Hebrew to his brothers when he had sworn to Pharaoh not to reveal his knowledge of the holy tongue. While the Mizrachi resolves this by suggesting that Pharaoh's restriction only applied to speaking Hebrew in front of Egyptians, the Siftei Chachamim (citing the Nachalat Yaakov) raises a further difficulty: the interpreter spoke in Hebrew in the presence of many Egyptians at Yosef's command. This discussion reflects deeper themes about the sanctity of language, the nature of oaths, and the delicate balance between divine service and secular obligations in Jewish thought.","לשון הקודש (Lashon HaKodesh) ,שבועה (Shevuah) ,מליץ (Melitz) ,פרשת ויחי (Parshat Vayechi) ,המזרחי (HaMizrachi) ,שפתי חכמים (Siftei Chachamim) ,נחלת יעקב (Nachalat Yaakov) ,פקודת (Pkudat) ,סוד (Sod) ,גילוי (Gilui) "
