book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Vayechi,1,1,"ויחי יעקב באמ""צ וגו'. פרש""י למה פרשה זו סתומה, לפי שכיון שנפטר יעקב אבינו נסתמו עיניהם ולבם של ישראל מצרת השעבוד וכו'. הקשו המפרשים הרי אמרז""ל דכל זמן שאחד מהשבטים היה קיים לא שעבדו המצריים בבנ""י, ואיתא במד""ר פ' שמות עה""פ וימת יוסף וכל אחיו וכל הדור ההוא, ללמדך שכ""ז שהי' קיים א' מאותן ע' נפש שירדו למצרים, לא שעבדו המצרים בישראל, וצ""ב דברי רש""י ז""ל מ""ש שכיון שנפטר ועאע""ה נסתמו עיניהם של ישראל מצרת השעבוד, והרי לא היתה עליהם שעבודם של מצרים באותה שעה. גם הקשו המפרשים ז""ל דלפי דרשתם ז""ל אין כאן מקומה של הסתומה, וראוי להיות להלן בסוף הפרשה אצל ויגוע ויאסף אל עמיו.","And Jacob lived in the land of Egypt, etc. Rashi explains why this section is closed, because when our father Jacob passed away, the eyes and hearts of Israel were closed due to the anguish of the servitude, etc. The commentators question, however, that our sages have said that as long as one of the tribes was alive, the Egyptians did not enslave the children of Israel. And it is stated in the Midrash, Parashat Shemot, on the verse ""And Joseph died, and all his brothers, and all that generation,"" to teach you that as long as one of those seventy souls who went down to Egypt was alive, the Egyptians did not enslave Israel. It is puzzling what Rashi, may his memory be blessed, means when he says that once he passed away, the eyes of Israel were closed due to the anguish of the servitude, when at that time they were not under the Egyptians' servitude. The commentators also question that according to their interpretation, this is not the place for the closed section, and it should be placed later at the end of the section near ""and he died and was gathered to his people.""","The passage discusses the significance of Jacob's death and its impact on the Israelites, highlighting that with his passing, their perception and emotional state became clouded due to the impending suffering of slavery in Egypt. It raises questions about the interpretation of the sages regarding the timing of Israel's oppression, noting that as long as one of the original seventy descendants of Jacob was alive, the Egyptians did not enslave them. The text emphasizes the deep connection between the patriarchs and the fate of their descendants, illustrating how the presence of righteous individuals can shield their people from suffering. Ultimately, it reflects on the profound spiritual and emotional implications of loss within the Jewish tradition.","אמת  
תיקון  
סוד  
שכינה  
גילוי  
ספירות  
אור  
נשמה  
צדיק  
דבקות"
Divrey Yoel,Vayechi,1,2,"ב) ויקרא לבנו ליוסף וגו' שים נא ידך תחת ירכי וגו' פרש""י ז""ל שים נא ידך. והשבע, וכן פרש""י לעיל (פ' חיי) שים נא ידך תחת ירכי, שהוא ציווי על השבועה עיי""ש, אמנם הראב""ע והרשב""ם ז""ל פירשו שם שענינו להראות הכנעה ושעבוד כעבד אל אדוניו, וזה המשפט עדיין בארץ הודו עכ""ד. ואף כאן בפ' ויחי רמזו הראב""ע והרשב""ם ז""ל על פירושם שם, וכתב ק""ז הישמח משה זלל""ה דכאן מוכרח כפי' הראב""ע והרשב""ם, דא""א לומר שהוא ציווי לשבועה, דהרי אחר שהשיב יוסף אנכי אעשה כדבריך, כתיב ויאמר השבעה לי מכלל דמעיקרא לא לשבועה נאמר עכ""ל ק""ז זלל""ה, וצ""ב ליישב שיטת רש""י ז""ל, דכפל הציווי למה, וכבר צוהו על השבועה במאמר שים נא ידך, ומדוע כפל ציוויו לומר השבעה לי.","B) And he called his son Joseph, etc. ""Please place your hand under my thigh,"" etc. Rashi, of blessed memory, explains ""Please place your hand."" And he swore, and so Rashi explained earlier (in Parashat Chayei) ""Please place your hand under my thigh,"" which is a command regarding the oath, as mentioned there. However, the Ra'avad and the Rashbam, of blessed memory, interpreted there that its meaning is to show submission and servitude like a servant to his master, and this practice still exists in the land of India, thus far their words. And even here in Parashat Vayechi, the Ra'avad and the Rashbam, of blessed memory, hinted at their interpretation there, and Rabbi Simcha Moshe, may his memory be blessed, wrote that here it is necessary according to the interpretation of the Ra'avad and the Rashbam, for it cannot be said that it is a command for the oath, since after Joseph replied, ""I will do as you have said,"" it is written, ""And he said, 'Swear to me,'"" implying that initially it was not said for the oath, thus far his words, may his memory be blessed. And it is necessary to clarify Rashi's interpretation, of blessed memory, why the command is repeated, for he already commanded him regarding the oath with the statement ""Please place your hand,"" and why did he repeat his command to say, ""Swear to me.""","In this passage from Sefer Divrey Yoel, the discussion revolves around the interpretation of Jacob's command to Joseph regarding the oath, highlighting differing views among commentators. Rashi emphasizes the act of swearing as a significant covenantal moment, while the Ibn Ezra and Rashbam suggest it symbolizes submission and servitude. The text reflects on the complexity of divine commands and human responses, illustrating the tension between obedience and the nature of authority. Ultimately, it raises questions about the necessity of reiterating commands and the deeper implications of faithfulness in the context of familial and divine relationships.","שבועה  
כנעה  
שעבוד  
אדון  
ציווי  
רמז  
הכנה  
הישמח משה  
פירוש  
תורה"
Divrey Yoel,Vayechi,1,3,"ג) עוד הקשה קיז זלל""ה מדוע שינה יעקב את טעמו בשבועתו מאברהם אבינו שמצינו באאע""ה כשהי' רוצה לצוות לאליעזר ולהשביעו, תיכף במאמר ראשון אמר לו ואשביעך. ואח""כ פי' לו ענין השבועה, ויעקב מתחלה אמר ליוסף ענין הציווי, וכשהשיב לו אנכי אעשה כדבריך, אמר לו השבעה לי והי' לו לומר מיד במאמר הראשון השבעה לי אל תקברני במצרים וגו', ולא דבר ריק הוא ההשתנות הזה.","3) Furthermore, Rabbi Kiz Zal'l""ah questioned why Jacob changed his approach regarding his oath compared to our forefather Abraham, as we find with Abraham when he wanted to command Eliezer and make him swear. Immediately in the first statement, he said to him, ""And I will make you swear."" Afterwards, he explained the matter of the oath. However, Jacob initially told Joseph the matter of the command, and when Joseph responded, ""I will do as you say,"" Jacob said to him, ""Swear to me."" He could have said immediately in the first statement, ""Swear to me, do not bury me in Egypt,"" etc. This change is not a trivial matter.","הקטע עוסק בשינוי הגישה של יעקב אבינו בשבועתו ליוסף לעומת אברהם אבינו בשבועתו לאליעזר. בעוד שאברהם השביע את אליעזר מיד עם הציווי, יעקב בחר להסביר את הציווי לפני שהשביע את יוסף. השינוי הזה מצביע על עומק רוחני, שבו יעקב מדגיש את החשיבות של הבנת המשמעות והכוונה מאחורי השבועה, ולא רק את עצם הפעולה. זה משקף את ההבנה החסידית של הקשר בין תוכן לפעולה, והצורך בהכנה רוחנית לפני קבלת החלטות משמעותיות.","טעמו  
שבועתו  
ציווי  
השבעה  
השתנות  
אברהם  
יעקב  
יוסף  
אליעזר  
מאמר"
Divrey Yoel,Vayechi,1,4,"ד) עו""ק ממ""ש בריש חולין (ב' ע""א) בפלוגתא דר""מ ור""י עה""כ טוב אשר לא תדור משתדור ולא תשלם, דר""מ ס""ל טוב מזה ומזה שאינו נודר כל עיקר, ור""י ס""ל טוב מזה ומזה נודר ומשלם, ומפרש בגמרא דאפילו ר""ו לא קאמר אלא באומר הרי זו, אבל באומר הרי עלי לא, עוד שם בגמרא וכי תחדול לנדור לא יהי' בך חטא, הא אם תדור יהיה בך חטא (ואפילו אם מקיימו, עיי""ש). וא""כ לפי""ז קשה איך צוה יעקב אבינו ליוסף שישבע לו ויעבור על וכי תחדול לנדור לא יהיה בך חטא, והרי קיימו האבוה""ק כל התורה כולה ע""כ תוכן קושיתו ק""ז זלל""ה, וקושיא זו קשה גם על מה שהשביע יוסף את בני ישראל וצ""ב.","4) Regarding the statement mentioned at the beginning of Chulin (2a) in the dispute between Rabbi Meir and Rabbi Yehuda, it is good not to make a vow than to make a vow and not fulfill it. Rabbi Meir holds that it is better not to vow at all, while Rabbi Yehuda holds that it is better to vow and fulfill. The Gemara explains that this is only said regarding one who says ""this is a vow,"" but if one says ""it is upon me,"" it is not the same. Furthermore, the Gemara states, ""If you refrain from vowing, there will be no sin upon you,"" but if you do vow, there will be a sin upon you (even if you fulfill it, see there). Therefore, according to this, it is difficult how our forefather Jacob commanded Joseph to swear to him, thus transgressing ""If you refrain from vowing, there will be no sin upon you,"" and indeed, the forefathers fulfilled the entire Torah. Thus, this is the essence of his question, may his memory be blessed, and this question is also difficult regarding Joseph's oath to the children of Israel, and it requires clarification.","The passage discusses a Talmudic debate between Rabbi Meir and Rabbi Yehuda regarding the nature of vows, emphasizing that Rabbi Meir believes it is better not to make vows at all, while Rabbi Yehuda sees value in making and fulfilling them. It raises a theological question about Jacob's command to Joseph to swear an oath, seemingly contradicting the principle that one should avoid making vows to prevent sin. This tension highlights the complexity of human commitments and the moral implications of oaths within the framework of Jewish law, suggesting a deeper exploration of faith and obligation in the Hasidic tradition.","עו""ק  
נדר  
חטא  
שבועה  
תורה  
אבוה""ק  
קושיא  
גמרא  
פלוגתא  
ר""מ"
Divrey Yoel,Vayechi,1,5,"ה) במסכת סוטה (ול""ו ע""ב) כל לישנא דאשתעי פרעה בהדי', אהדר לי' (יוסף), אשתעי איהו בלשון הקודש, לא הוה קא ידע מאי הוה אמר, אמר לו אגמרי, אגמרי' ולא גמיר, אמר לו אישתבע לי דלא מגלית (משום דהי' כתוב בנימוסי מצרים שלא ימלוך רק מי שיודע כל הלשונות, וא""כ יעבירוהו ממלכותו) אישתבע לו, כו א""ל אבי השביעני לאמר, א""ל זיל איתשל אשבועתך (פרש""י השאל לחכמים שיתירוה לך) א""ל יוסף ואיתשלי נמי אדידך, ואע""ג דלא ניחא לי' אמר לו עלה וקבור את אביך כאשר השביעך עכ""ד הגמרא. וכן פרש""י להלן (בפרשת ויחי) עה""פ עלה וקבור אביך כאשר השביעך. דאם לא בשביל השבועה לא הייתי מניחך, אבל ירא לומר עבור על השבועה, 
שלא יאמר א""כ אעבור על השבועה שנשבעתי לך שלא אגלה על לה""ק שאינך מכיר בו וכו', עכ""ד רש""י ז""ל, וק""ז הישמח משה זלל""ה הביא על דברי הגמרא הנ""ל מקשין העולם איך אמר לי' איתשיל נמי אדידך, הא קיי""ל צריך לפרוט את הנדר, וא""כ קודם שיתירהו איך יעבור על שבועתו, ועוד מקשין מאי נמי אדידך, הלא אם יתיר שבועת פרעה יעבירוהו לפרעה ממלכותו, ובודאי ימלוך יוסף, כי אין מי שיודע ע' לשון וגם לה""ק רק יוסף, ואז ממילא יוכל לקיים שבועת יעקב, א""כ הול""ל איתשיל אדידך. ולשון נמי אדידך משמע שיתיר לשני השבועות, והוא תמוה דלמה יתיר לשניהם ומדוע תלה התרת חדא בחבירתה ע""כ קושית העולם עיי""ש תירוצו.","In the tractate Sotah (36b), every expression that Pharaoh spoke with him, he (Joseph) responded to him in the Holy Language. He did not know what he was saying, and he said to him, ""I will learn it,"" but he did not learn it. He said to him, ""Swear to me that you will not reveal (because it was written in the customs of Egypt that only one who knows all the languages may reign, and therefore they would remove him from his kingdom)."" He swore to him, etc. He said to him, ""My father made me swear to say,"" and he said to him, ""Go fulfill your oath"" (Rashi explains that he asked the sages to permit it to him). Joseph said, ""And I will also fulfill your oath,"" and although it was not pleasing to him, he said to him, ""Go up and bury your father as you swore to him."" Thus concludes the Gemara. And so Rashi explains later (in the portion of Vayechi) on the verse ""Go up and bury your father as you swore to him."" For if not for the oath, I would not have allowed you, but he was afraid to say to transgress the oath, lest he say, ""Then I will transgress the oath that I swore to you that I would not reveal the Holy Language that you do not recognize,"" etc. Thus concludes Rashi, may his memory be blessed. And so the joyous Moshe, may his memory be blessed, brought on the words of the aforementioned Gemara, the world questions how he said to him, ""I will also fulfill your oath,"" for we hold that one must specify the vow, and therefore before it is permitted to him, how can he transgress his oath? Furthermore, they question what ""also fulfill your oath"" means; behold, if Pharaoh's oath is permitted, they would remove him from Pharaoh's kingdom, and certainly Joseph would reign, for there is no one who knows seventy languages and also the Holy Language except for Joseph. Then, automatically, he could fulfill Jacob's oath. Therefore, it should have said, ""I will fulfill your oath."" And the expression ""also fulfill your oath"" implies that he will permit both oaths, which is puzzling—why permit both, and why did he link the permitting of one to the other? Thus is the world's question; see there for his resolution.","The passage discusses the complexities of Joseph's oath to Pharaoh regarding the use of Hebrew, highlighting the tension between loyalty to his father Jacob's wishes and adherence to Pharaoh's decree. It emphasizes the significance of oaths in Jewish thought, illustrating the potential conflict between divine commandments and earthly authority. The dialogue reflects a deeper theological insight into the nature of commitment and the interplay between human obligations and spiritual truths, suggesting that true fidelity may require navigating these intricate moral landscapes. Ultimately, it underscores the importance of understanding the nuances of one's vows within the context of faith and divine will.","שבועה  
נדר  
לשון הקודש  
מלכות  
התרה  
קדושה  
תיקון  
סוד  
גילוי  
אור"
Divrey Yoel,Vayechi,1,6,"ו) עוד הקשה ק""ז זלל""ה על שבועה זו שנשבע יוסף ליעקב, ממ""ד בגמרא (שבועות כ""ה ע""א) שבועה שזרק פלוני צרור לים ושלא זרק, רב אמר חייב, איתי' בלאו והן, ושמואל אמר פטור ליתי' בלהבא, פרש""י ליתי' בלהבא יזרוק פלוני או לא יזרוק אין זה שבועת ביטוי אלא שבועת שוא, שהרי און פלוני ברשותו לזרוק ולא לזרוק עכ""ל (ועיין ש""ע יו""ד סימן רל""ו ס""ב). מבואר מכל הנ""ל דבדבר שאין הכרע כלל אם יעשה פלוני או לא יעשה, חייב מלקות הנשבע אף אם יעשה אח""כ פלוני, דמ""מ הוי שוא בשעת השבועה, וא""כ הכא ביוסף שאין בידו. דהא הי' צריך ליטול רשות מפרעה כמבואר בקרא, ואין הכרע כלל אם יתן לו פרעה רשות או לא, א""כ הוי ח""ו כשבועת שוא, והיא קושיא עצומה לענ""ד עכ""ל ק""ז הישמח משה זלל""ה.","And further, K""Z Z""L questioned this oath that Joseph swore to Jacob, as it is stated in the Gemara (Shevuot 25a) regarding an oath that someone threw a bundle into the sea and did not throw it; Rabbi said he is liable, as it is stated in a prohibition and they (the witnesses), and Shmuel said he is exempt because it is a future event. Rashi explains that ""it is a future event"" means whether so-and-so will throw or not throw, this is not an oath of expression but an oath of falsehood, since so-and-so has the authority to throw or not to throw. Thus, it is clear from all the above that in a matter where there is no determination at all whether so-and-so will do or not do, he is liable for lashes for the one who swears even if so-and-so does it afterward, for it is still considered falsehood at the time of the oath. And here, in the case of Joseph, he does not have the authority, for he needed to obtain permission from Pharaoh, as it is explained in the verse, and there is no determination at all whether Pharaoh will grant him permission or not. Therefore, it is, Heaven forbid, like an oath of falsehood, and this is a tremendous question in my opinion, thus concluded K""Z the Joyous Moses Z""L.","The passage discusses the complexity of Joseph's oath to Jacob, highlighting a debate in the Talmud regarding the nature of oaths when the outcome is uncertain. It emphasizes that if a person swears about an action that is not definitively in their control, such as Joseph needing Pharaoh's permission, it may be considered a false oath (שבועת שוא). This raises significant theological implications about the nature of commitment and the weight of one's words, particularly in the context of divine will and human agency. Ultimately, it reflects on the tension between human intentions and the unpredictability of outcomes in the spiritual realm.","שבועה  
שבועת ביטוי  
שבועת שוא  
מלקות  
רשות  
הכרעה  
ח""ו  
קושיא  
גמרא  
ישמח משה"
Divrey Yoel,Vayechi,1,7,"ז) ועשית עמדי חסד ואמת וגו'. פרש""י ז""ל חסד שעושים עם המתים הוא חסד של אמת שאינו מצפה לתשלום גמול, וצ""ב דלהלן פרש""י עה""פ ואני נתתי לך שכם א' וגו', לפי שאתה טורח בקבורתו, גם אני נתתי לך וכו', וא""כ הרי שילם את גמולו ומדוע ביקש מאתו חסד של אמת גם שאמרז""ל יעקב אבינו לא מתל א""כ אין זו בגדר חסד שעושים עם המתים.","And you shall do with me kindness and truth, etc. Rashi, of blessed memory, explains that the kindness done for the dead is the kindness of truth, which does not expect a reward in return. However, it is difficult to understand, for below Rashi explains on the verse ""And I have given you Shechem, etc.,"" that since you are involved in his burial, I too have given you, etc. If so, he has already repaid his reward, and why did he ask of him for kindness of truth, especially since our sages have said that Jacob our father did not die? Therefore, this is not considered the kindness done for the dead.","The passage discusses the concept of ""chesed shel emet"" (true kindness) as an act of kindness performed for the deceased, which is done without expectation of reward. Rashi's commentary highlights that even though Jacob was not truly dead, the kindness shown in his burial is still considered true kindness because it reflects selflessness. The inquiry arises regarding the nature of this kindness, as it seems to imply a reward for the effort in burial, yet it remains a profound act of love and respect for the deceased. This illustrates the Hasidic idea that true acts of kindness transcend the expectation of reciprocity, emphasizing the spiritual significance of honoring the dead.","חסד  
אמת  
גמול  
קבורה  
טורח  
יעקב אבינו  
מתים  
שילם  
תשלום  
צ""ב"
Divrey Yoel,Vayechi,1,8,"ולבאר הענין נתחיל לתרץ קושיא הנ""ל, האיך השביע יעקב ליוסף, ויוסף השביע לבני ישראל, והרי כ""ע ס""ל בכה""ג דטוב מי שאינו נודר כל עיקר, והנודר אפילו אם מקיימו ה""ז חוטא (עיין לעיל קושיא ד'). ואפ""ל עפימ""ד במד""ר ותנחומא (פ' מטות) וידבר משה אל ראשי המטות וגו' איש כי ידור נדר לד' וכו', א""ל הקב""ה לישראל לא תהיו סבורים שהותר לכם לישבע בשמי אפילו באמת, אין אתם רשאין לישבע בשמי אלא א""כ יהיו בך כל המדות האלה, שנאמר את ד' אלקיך תירא ואותו תעבוד ובשמו תשבע, עד שתהא כשלשה שנקראו יראי אלקים, אברהם איוב ויוסף וכו', אם יש בך כל המדות הללו אתה יכול להשבע ואם לאו אי אתה יכול להשבע עכ""ד המדרש. ולפי זה יונח בפשטות שועאע""ה השיג וראה צדקתו של יוסף, שהוא מאותן שנקראו יראי אלקים ומותר לו לישבע וא""ש שהשביעו.","To clarify the matter, we will begin to address the aforementioned question: how did Jacob swear to Joseph, and Joseph swore to the children of Israel, when it is universally accepted that in such cases it is better for one not to make a vow at all, and one who vows, even if he fulfills it, is considered a sinner (see above the question). And it can be said according to the Midrash and Tanchuma (Parashat Matot) that Moses spoke to the heads of the tribes, saying, ""If a man makes a vow to the Lord,"" etc. The Holy One, blessed be He, said to Israel: ""Do not think that it is permitted for you to swear in My name, even if it is true. You are not permitted to swear in My name unless you possess all these attributes,"" as it is said, ""You shall fear the Lord your God, and Him you shall serve, and in His name you shall swear,"" until you are like the three who are called God-fearing: Abraham, Job, and Joseph, etc. If you possess all these attributes, you may swear; if not, you may not swear, thus concludes the Midrash. According to this, it is simply understood that Joseph attained and recognized his righteousness, as he is among those who are called God-fearing, and it is permissible for him to swear, and it is clear that he swore to him.","The passage discusses the theological implications of oaths in the context of Jacob swearing Joseph and Joseph swearing the Israelites. It emphasizes that one should not take oaths lightly, as only those who embody certain virtues, akin to the biblical figures Abraham, Job, and Joseph, are permitted to swear in God's name. The text highlights that Joseph is recognized as a ""God-fearing"" individual, justifying Jacob's oath to him. Ultimately, it underscores the importance of moral integrity and the conditions under which one may invoke God's name.","שביע  
נדר  
קושיא  
חוטא  
מידות  
יראי אלקים  
אברהם  
איוב  
יוסף  
קב""ה"
Divrey Yoel,Vayechi,1,9,"ובזה יומתק לנו קישור מאמר הכתוב ויאמר השבעה לי וגו' וישתחוו ישראל על ראש המטה, פרש""י על שהיתה מטתו שלימה ולא הי' בה רשע, שהרי יוסף מלך הוא ועוד שנשבה לבין הגוים והרי הוא עומד בצדקו, ויל""ד כו בודאי הכיר והשיג יעאע""ה ביוסף, מאז שראהו ונתודע אליו ברדתו למצרים, כי עדיין עומד בצדקו, ומדוע עכשיו בצוותו השבעה לי נתבונן בו עוה""פ והשתחוה לד' כי עדיין עומד בצדקו וצ""ב הקישור, ולדרכנו א""ש עפ""י פשטות, דעכשיו התבונן בו עוה""פ כי הי' נפק""מ לו להלכה אם רשאי להשביעו, וראה והשיג צדקתו ומיד הודה והשתחוה לד' על שהיתה מטתו שלימה, וא""ש קישור הכתוב.","And with this, the connection of the verse is clarified: ""And he said, 'Swear to me...' and Israel bowed on the head of the bed."" Rashi explains that his bed was whole and there was no wickedness in it, for Joseph is a king and he was taken among the nations, yet he stands in his righteousness. It is known that he certainly recognized and understood the Divine Presence in Joseph, from the moment he saw him and became acquainted with him upon descending to Egypt, for he still stood in his righteousness. And why now, in commanding him to swear, did he contemplate him in this world and bow to God? Because he still stood in his righteousness, and the connection is questioned. According to our approach, it is understood simply: now he contemplated him in this world because it was significant for him in halacha whether he was permitted to make him swear. And he saw and understood his righteousness, and immediately he acknowledged and bowed to God for his bed was whole. And thus, the connection of the verse is understood.","The passage discusses the significance of Joseph's integrity and righteousness, as highlighted by the phrase ""swear to me"" and the act of Israel bowing at the head of the bed. It emphasizes that Joseph, despite his trials and being among the nations, remained steadfast in his righteousness, which led to a recognition of divine justice. The connection between Joseph's unwavering character and Israel's acknowledgment of God's presence illustrates the importance of maintaining faith and integrity in challenging circumstances. Ultimately, it reflects a deep theological insight into the relationship between human righteousness and divine acknowledgment.","יומתק  
קישור  
השבעה  
השכינה  
צדק  
השתחויה  
עוה""פ  
מטה  
רשע  
נפק""מ"
Divrey Yoel,Vayechi,1,10,"ומה שהשביע יוסף את בנו ישראל אפשר לתרץ, דהטעם דטוב אשר לא תדור, משום דשמא לא יקיים את נדרו, ואפשר דיש לחלק בזה בין יחיד לרבים, ועל דרך מה שכתב הריטב""א (במסכת יומא פרק טרף בקלפי) שהקשה שם לתנא קמא האיך אמר הכהן גדול לה' חטאת, הא אמרינן בנדרים (דף י' ע""ב) דלא לימא אינש לד' קרבן אלא קרבן לד', דלמא פשע ויאמר לד' ולא יאמר קרבן ונמצא מזכיר שם שמים לבטלה, ותירץ דכיון שיש שם הסגן והאב בי""ד מדכרי ליה, וברבים ליתא להאי חששא שמא לא ישלים אמרו. דרבים מדכרי אהדדי עיי""ש, וכה""ג אמרי' במסכת (שבת י""ב ע""ב) דיחיד אסור לקרות לאור הנר שמא יטה, ובשנים מותר דמדכרי אהדדי, והנה יוסף הצדיק השביע את כל ישראל והעליתם את עצמותי וגו', וליכא מקום לחשוש שמא לא יקיימו את השבועה, דא""א שלא ימצא בכל ישראל אף א' שיקיים צוואתו, ומשו""ה שפיר השביעם.","And regarding what Joseph swore to his son Israel, it is possible to explain that the reason for ""it is good that you do not dwell"" is because perhaps he will not fulfill his vow. It is possible to differentiate between an individual and the many, in the manner of what the Ritva wrote (in Tractate Yoma, Chapter Treif BeKalpi) where he questioned the first Tanna how the High Priest could say to God, ""a sin offering,"" for we say in Nedarim (Daf 10b) that a person should not say ""to God a sacrifice"" but rather ""a sacrifice to God,"" lest he err and say ""to God"" and not say ""sacrifice,"" and thus he would mention the name of Heaven in vain. He answered that since there is the deputy and the father in the court, they mention it to him, and in the case of the many, this concern does not exist that perhaps they will not complete what they said. For the many mention to each other, as stated there. And similarly, we say in Tractate Shabbat (12b) that an individual is forbidden to read by the light of the candle lest he tilt it, but in the case of two, it is permitted because they mention to each other. And behold, Joseph the righteous swore all of Israel, ""and you shall carry up my bones,"" and there is no room to be concerned that perhaps they will not fulfill the oath, for it is impossible that there will not be even one among all of Israel who will fulfill his will, and therefore he rightly swore them.","יוסף הצדיק השביע את בני ישראל להעלות את עצמותיו לארץ ישראל, והדבר מובן בכך שאין חשש שלא יקיימו את השבועה, שכן בכל ישראל תמיד יימצא אחד שיקיים את צוואתו. ההבחנה בין יחיד לרבים מדגישה את הכוח של קהילה, שבה יש עידוד הדדי לקיום מצוות. כמו כן, יש כאן תובנה על האמונה בכוחם של ישראל לשמור על קשר עם הקודש, גם כאשר מדובר בנדרים ובשבועות.","שבועה  
נדר  
קרבן  
חטאת  
יחיד  
רבים  
זכר  
עצמות  
צוואה  
צדיק"
