book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Beshalach,0,0,"בשלח בשלח פרעה את העם ולא נחם אלקים דרך ארץ פלשתים כי קרוב הוא כי אמר אלקים פן ינחם העם וגו' ושבו מצרימה, במד""ר (פ' כ' סימן ט') ויהי בשלח פרעה מי צווח ווי פרעה, משל לאחד שמצא צרור של מרגליות ולא הי' יודע מה בידו וכו', כשנודע לו שווי' קרע את בגדיו, אמר כל העושר הזה בידי הי' וחנם הוצאתי מידי, אוי לו לאותו האיש שכך הוציא מידו, כך הי' פרעה, הצרור של מרגליות אלו ישראל וכו' כשראה פרעה כל האוכלסין התחיל צווח ווי עכ""ד המדרש, ולכאורה הול""ל דרשא זו לעיל בפ' בא עה""פ קומי צאו מתוך עמי וגו' או אצל ויהי בעצם היום הזה יצאו כל צבאות ד' מאמ""צ, דשם עיקר סיפור היציאה, וכאן לא נכתב אלא אגב גררא להורות דרך נסיעתם במדבר.","When Pharaoh sent the people away, God did not lead them by the way of the land of the Philistines, for it was near; for God said, ""Lest the people change their minds when they see war and return to Egypt."" In the Midrash (Parashat Ki Tisa, Section 9), it is said: ""When Pharaoh sent them away, who cried out, 'Woe to Pharaoh!' This is like a person who found a pouch of pearls and did not know what he had in his hand. When he realized their value, he tore his garments and said, 'All this wealth was in my hands, and I foolishly let it go!' Woe to that man for having let it slip from his grasp."" So it was with Pharaoh; these pearls of great value were the Israelites. When Pharaoh saw all the multitudes, he began to cry out, 'Woe!' Thus concludes the Midrash. At first glance, this interpretation should have been stated earlier in Parashat Bo regarding the verse, ""Get up, go out from among my people,"" or in the verse, ""And it came to pass on that very day that all the hosts of the Lord went out from the land of Egypt,"" for there the main narrative of the Exodus is found, and here it is only mentioned in passing to indicate their route in the desert.","In this passage from Sefer Divrey Yoel, the author reflects on the moment Pharaoh released the Israelites, likening them to a treasure he did not recognize until it was too late. The Midrash illustrates Pharaoh's regret upon realizing the value of the Israelites, emphasizing the theme of lost opportunity and the spiritual blindness of those who fail to see the divine purpose in their actions. This narrative highlights the tension between divine providence and human agency, suggesting that even in moments of apparent loss, there is a deeper significance to the unfolding of events in the spiritual realm.","שפע  
אור  
ספירות  
נשמה  
תיקון  
גאולה  
צדיק  
דבקות  
חסד  
תודעה"
Divrey Yoel,Beshalach,0,1,"ב) ראוי להבין דהרי בשעת יציאתם שמחו המצרים., כמשה""כ שמח מצרים בצאתם כי נפל פחדם עליהם, ומדוע נתהפכה שמחתם לתוגה ואיך אזדה הפחד מנהו לגמרי.","It is fitting to understand that at the time of their departure, the Egyptians rejoiced, as it is written, ""The Egyptians were glad at their going out, for their fear had fallen upon them."" And why did their joy turn into sorrow, and how did their fear completely depart from them?","The passage discusses the transformation of the Egyptians' joy into sorrow at the moment of the Israelites' departure, highlighting that their initial happiness was rooted in a false sense of security. It emphasizes that the fear of the Israelites ultimately overcame them, leading to despair. This reflects a deeper theological insight into the nature of divine intervention, where the apparent joy of the oppressors is fleeting and can swiftly turn into dread when faced with the power of God. The text illustrates the contrast between superficial happiness and the profound fear that arises from recognizing divine authority.","ראוי  
שמחה  
פחד  
תוגה  
יציאה  
מצרים  
נתהפכה  
הפחד  
כמשה""כ  
אזדה"
Divrey Yoel,Beshalach,0,2,"ג) איתא במדרש (פרשה כ' סימן ח') ויהי בשלח פרעה מי אמר ווי, משה אמר ווי וכו', אמר משה צועק אני שנתיגעתי להוציא את ישראל ממצרים ואיני נכנס עמהם לארץ ע""כ, וצ""ב דהול""ל דרשא זו לעיל בפ' בא עה""פ יצאו כל צבאות ד' מאמ""צ כי שם הוא עיקר סיפור היציאה, ולפי שראה שמוציאם ואין סופו להכניסם ע""כ צווח ווי, אבל אין לו קישור למה ששלח פרעה את העם.","3) It is stated in the Midrash (Parashat 20, Siman 8) that when Pharaoh sent out the people, who said ""Woe""? Moses said ""Woe,"" etc. Moses exclaimed, ""I cry out because I have labored to bring the Israelites out of Egypt, and I will not enter the land with them."" Therefore, it is puzzling why this teaching was not mentioned earlier in Parashat Bo regarding the verse ""All the hosts of the Lord went out from the land of Egypt,"" for there is where the main narrative of the Exodus is found. And since he saw that he was bringing them out and would not ultimately bring them in, he cried ""Woe,"" but it does not connect to why Pharaoh sent the people out.","The passage discusses a Midrashic interpretation of Moses' lamentation upon the Israelites' exodus from Egypt, expressing his sorrow for not entering the Promised Land with them. It raises a question about why this lamentation is mentioned in the context of Pharaoh's sending out the Israelites rather than earlier during the actual Exodus narrative. The theological insight emphasizes Moses' deep connection to the fate of the Israelites and his anguish over his own exclusion from their future, highlighting themes of leadership, sacrifice, and the emotional burden of guiding a people toward redemption.","איתא  
מדרש  
פרעה  
משה  
ישראל  
מצרים  
יציאה  
צבאות  
סיפור  
קישור"
Divrey Yoel,Beshalach,0,3,"ד) ממ""ש להלן בפ' שירה תביאמו ותטעמו בהר נחלתך פרש""י נתנבא משה שלא יכנס לארץ, לכך לא נאמר תביאנו ולא כלל את עצמו עמהן, והקשו המפרשים הא עדיין לא נגזרה הגזירה כמ""ש רש""י (בפ' בהעלותך) עה""פ נוסעים אנחנו אל המקום וגו', ששיתף עצמו עמהם מפני שעדיין לא נגזרה הגזירה עליו וכסבור הי' שנכנס, ומצינו שהתפלל אח""כ לבטל הגזירה, והי' סבור עדיין שיכנס, ואיך אפשר שהתנבא כאן שלא יכנס לארץ, ותירץ הרא""ם ז""ל שזה שאמר תביאמו הי' בבחי' ניבא ולא ידע מה ניבא, שבאמת לא הי' עדיין הגזירה, או אפשר שהי' סבור שלא יכניסם כמו מנהיג, אבל יכנס גם הוא עמהם כשאר העם עיי""ש, וכמו""כ יקשה גם כאן על מה שדרשו ז""ל דמשה צווח ווי שלא יכנס עמהם לארץ, הרי עדיין לא נגזרה הגזירה, ומדוע לא הקשו המפרשים כמו""כ הכא וצ""ב.","D) As mentioned below in Parashat Shira, ""You will bring them and plant them on the mountain of Your inheritance,"" Rashi explains that Moses prophesied that he would not enter the land, which is why it does not say ""You will bring us"" and he did not include himself with them. The commentators questioned, how could it be that the decree had not yet been issued, as Rashi explains (in Parashat Beha'alotecha) regarding the verse ""We are traveling to the place,"" where he included himself with them because the decree had not yet been issued against him, and he thought he would enter. We find that he later prayed to annul the decree, still believing he would enter. How is it possible that he prophesied here that he would not enter the land? The Ra'ah answered that when he said ""You will bring them,"" it was in the manner of prophecy, and he did not know what he was prophesying, as the decree had not yet been issued. Alternatively, he might have thought that he would not lead them in, like a leader, but he himself would enter with the rest of the people, as noted there. Similarly, it is also difficult here regarding what our sages have said that Moses cried out ""Woe"" that he would not enter with them into the land, yet the decree had still not been issued. Why did the commentators not question this here as well? This remains to be clarified.","The passage discusses the prophetic nature of Moses' statements regarding his entry into the Promised Land, highlighting the tension between his initial belief that he would enter and the later realization of the decree against him. It reflects on the concept of prophecy, suggesting that Moses may have spoken without full awareness of the implications, as the decree had not yet been pronounced. This illustrates the complexity of divine communication and human understanding within Hasidic thought, emphasizing the interplay between leadership, faith, and the unfolding of divine will.","תשובה  
גזירה  
נבואה  
מנהיג  
תפילה  
שירה  
נחלה  
הכנסת  
סוד  
אור"
Divrey Yoel,Beshalach,0,4,"ה) קשה למה צריך הכתוב לחזור ולכפול ויהי בשלח פרעה את העם הרי כבר אמור לעיל (בפ' בא) שאמר פרעה קומו צאו מתוך עמי וגו' ותחזק מצרים על העם למהר לשלחם מן הארץ וגו', ואם בשביל להודיע שלא נחם אלקים דרך ארץ פלשתים אלא דרך המדבר, הול""ל הודעה זו בלבד ולא לחזור על הראשונות, כי אין לה קישור מוחלט עם שליחות פרעה, כי הטעם שנתן הכתוב פן ינחם העם וגו' שייך אף אם הי' היציאה באופן אחר שלא בשליחות פרעה.","5) It is difficult to understand why the text needs to repeat ""And it was when Pharaoh sent out the people,"" for it has already been stated earlier (in Parashat Bo) that Pharaoh said, ""Get up, go out from my people,"" etc., and Egypt was strengthened against the people to hasten to send them out of the land, etc. And if it is to inform us that God did not lead them through the way of the land of the Philistines but rather through the wilderness, it should have stated this information alone and not repeated the earlier verses, for it does not have a complete connection with Pharaoh's sending, since the reason given in the text, ""lest the people regret,"" etc., applies even if the departure had occurred in a different manner and not through Pharaoh's sending.","The passage discusses the repetition of the phrase ""And it came to pass when Pharaoh sent out the people,"" questioning its necessity since Pharaoh had already commanded their departure. It suggests that the emphasis on Pharaoh's role serves to highlight divine providence in guiding the Israelites through the wilderness rather than the direct path to the Promised Land. This reflects a key Hasidic concept of understanding God's overarching plan, where even seemingly redundant details reveal deeper theological insights about faith and divine guidance in the journey of the Jewish people.","תשובה  
גאולה  
שכינה  
ספירות  
אור  
קליפה  
צמצום  
נשמה  
תיקון  
אחדות"
Divrey Yoel,Beshalach,0,5,"ו) צ""ב אריכות הלשון כי קרוב הוא כי אמר אלקים פן ינחם העם. וממנ""פ אם חדא טעמא הוא. דלפי שקרוב הדרך ונוח לשוב ע""כ אמר אלקים פן ינחם העם וגו', א""כ תרי זמני כי למה, הול""ל כי קרוב הוא ואמר אלקים פן ינחם העם וגו' ואם תרי טעמי נינהו א""כ אינו מובן הטעם כי קרוב הוא, אדרבה קירוב הדרך בכל מקום היא סיבה ללכת בה, ולא סיבת המניעה מלילך בה.","And it is difficult to understand the length of the language, for it is close that God said, ""Lest the people regret."" And according to the principle of ""if it is one reason,"" since the way is close and easy to return, therefore God said, ""Lest the people regret,"" etc. If so, there are two times for what reason; it should have said, ""For it is close,"" and God said, ""Lest the people regret,"" etc. And if there are two reasons, then the reason that it is close is not understood; on the contrary, the closeness of the way is always a reason to go on it, and not a reason to refrain from going on it.","The passage discusses the divine concern that the people might regret their journey if the path to repentance is too accessible. It suggests that the ease of returning to God could lead to a lack of genuine commitment, as the proximity of the path may not inherently encourage movement towards it. The text raises a theological tension between the accessibility of repentance and the potential for insincerity in the return to faith. Ultimately, it emphasizes the complexity of divine guidance in the context of human choice and the nature of repentance.","אריכות  
הלשון  
אלקים  
פן  
ינחם  
העם  
טעמא  
קרוב  
דרך  
סיבה"
Divrey Yoel,Beshalach,0,6,"ז) רש""י ז""ל נראה דחד טעמא הוא, דפי' כי קרוב הוא ונוח לשוב באותו דרך למצרים, כי אמר אלקים פן ינחם העם וגו', אם הלכו דרך ישר היו חוזרים, ומה אם כשהקיפם דרך מעוקם אמרו ניתנה ראש ונשובה מצרימה, אם הולכים בפשוטה עאכו""כ עכ""ל, ויש להבין דהרי גם כשהקיפם דרך מעוקם רצו לחזור ולשוב, אבל מן השמים עיכבו בידם, ולא ניתן להם הרשות והיכולת לחזור ולשוב, גם בני לוי רדפו אחריהם והחזירום כדברי רז""ל, ואצלו ית' אין נפקמ""נ בין דרך קרוב לרחוק, וגם בדרך קרוב לא הי' היכולת בידם לשוב נגד רצונו ית' וכמ""ש הרא""ם ז""ל דאין ללמוד מהק""ו, אלא שאם הוליכן בפשוטה עאכו""כ שהיו אומרים ניתנה ראש, אבל חזרה לא שמענו מהק""ו, דלא באו לכלל חזרה מעולם.","Rashi, may his memory be blessed, seems to indicate that there is one reason for this, that it is because it is close and easy to return by that way to Egypt, as God said, ""lest the people regret"" etc. If they had gone by a straight path, they would have returned, and what if, when they were taken around a crooked path, they said, ""Let us appoint a leader and return to Egypt""? If they were going by a simple path, all the more so! And we must understand that even when they were taken around a crooked path, they wanted to return, but from Heaven, they were prevented from doing so, and they were not given the permission and ability to return. Even the sons of Levi pursued them and brought them back, as our sages have said. And with Him, blessed be He, there is no difference between a close path and a far one, and even on the close path, they did not have the ability to return against His will, as the Ra'ah, may his memory be blessed, wrote that one cannot learn from a fortiori reasoning, except that if He led them by a simple path, all the more so they would say, ""Let us appoint a leader,"" but we have not heard of a return from a fortiori reasoning, for they never came to the point of returning at all.","The passage discusses the divine intervention in the Israelites' journey from Egypt, emphasizing that even when they were led on a convoluted path, their desire to return was thwarted by God. It highlights the idea that their inclination to return was not merely a result of the route taken, but rather a reflection of divine will, which prevented them from turning back. The text suggests that regardless of the path—straight or winding—God's authority ultimately dictated their journey, illustrating the concept of divine control over human choices. This underscores a key Hasidic belief in the omnipotence of God and the importance of aligning one's will with divine purpose.","רשות  
יכולת  
חזרה  
שוב  
דרך  
מעוקם  
קרוב  
רחוק  
רצון  
נפ""מ"
Divrey Yoel,Beshalach,0,7,"ח) מ""ש הכתוב הטעם כי קרוב הוא, פן ינחם העם וגו' ושבו מצרימה, והרי עוד בעמדם על ים סוף התחרטו על שיצאו, והתרעמו על משה מה זאת עשית לנו להוציאנו ממצרים, והיו קרובים אז עדיין למצרים, וא""כ אף שהלכו דרך המדבר עדיין החששא במקומה עומדת פן ינחם העם ושבו מצרימה, ועוד דארץ ישראל קרובה מאוד למצרים, ועיקר מלחמת ל""א מלכים היתה בא""י, וא""כ כמו""כ הי' אפשר לחשוש, שבבואם לא""י ויראו מלחמת ל""א מלכים, פן ינחם העם ושבו מצרימה, ומה יועיל הליכתם דרך המדבר ודרך מעוקם, אם אחר שיצאו מן המדבר ויתקרבו לארץ ישראל שהוא קרובה למצרים חזרה החששא למקומה פן ינחם העם וגו' ושבו מצרימה, ורש""י פי' בראותם מלחמה כגון מלחמת וירד העמלקי והכנעני וגו', והרי מורא זה הי""ל גם בכניסה לארץ שנאמר עמלק יושב בארץ הנגב: ומה הועיל הליכתם דרך המדבר.","(8) What the scripture means by saying ""for he is close,"" lest the people regret and return to Egypt, is that even while they stood at the Sea of Reeds, they regretted having left and complained to Moses, ""What is this you have done to us, to bring us out of Egypt?"" They were still close to Egypt at that time. Therefore, even though they went through the desert, the concern remained that they might regret and return to Egypt. Furthermore, the Land of Israel is very close to Egypt, and the main battle against the thirty-one kings took place in the Land of Israel. Thus, it was also possible to be concerned that when they arrived in the Land of Israel and saw the battle against the thirty-one kings, they might regret and return to Egypt. What benefit was there in their journey through the desert and the winding path, if after leaving the desert and getting closer to the Land of Israel, which is near Egypt, the concern returned to its place, that they might regret and return to Egypt? Rashi explains that upon seeing war, such as the battle against Amalek and the Canaanite, this fear would also apply upon entering the land, as it is said, ""Amalek dwells in the land of the Negev."" What benefit was there in their journey through the desert?","The passage discusses the concern that the Israelites, even after their miraculous exodus from Egypt, might regret their decision and wish to return when faced with challenges, such as the wars in the Promised Land. It highlights the proximity of Egypt to both the Red Sea and the Land of Israel, suggesting that the fear of returning could persist despite their journey through the desert. The text emphasizes the psychological struggle of the people, illustrating the ongoing battle between faith and fear, and questions the effectiveness of their desert journey if the threat of returning to Egypt remains. Ultimately, it reflects on the deep-seated anxieties that accompany spiritual and physical transitions.","קרוב  
העם  
מצרים  
ים סוף  
מלחמת ל""א מלכים  
ארץ ישראל  
חששא  
מעוקם  
מורא  
עמלק"
Divrey Yoel,Beshalach,0,8,"ט) מלחמה פי' רש""י בשם המכילתא זו מלחמת וירד העמלקי והכנעני האמור במעשה מרגלים והקשו המפרשים מדוע לא נקט ויבא עמלק שהי' מיד סמוך ליציאתם, ותירץ המהרש""ל משום דבאותה מלחמה נצחו ישראל את עמלק, ולא הי' לחוש כ""כ שיתנו לב לשוב, אבל גבי וירד העמלקי כתיב ויכום ויכתום, יש מקום לחוש יותר שיתנו לב לשוב, אמנם קשה דאדרבה מזו דויבא עמלק הי""ל לירא יותר, דשם בא עמלק מארצו ונלחם בהם לשנאתו אותם, ולא הי' מקום להיות נשמר ממנו, אלא שניצולו בדרך נס, אבל שם הי' מקום להיות ניצל ממנו, שהזהירם הקב""ה לא תעלו ולא תלחמו ולא תנגפו לפני אויביכם, וא""כ אין מקום לחשוש כ""כ פן ישובו מיראתו למצרים.","9) War, as Rashi explains in the name of the Mechilta, refers to the battle against the Amalekite and Canaanite mentioned in the story of the spies. The commentators questioned why it did not mention ""and Amalek came"" which was immediately after their departure. The Maharsha answered that in that battle, Israel defeated Amalek, and there was not much concern that they would turn back. However, regarding ""and the Amalekite descended,"" it is written ""and they struck them and crushed them,"" there is more reason to be concerned that they would turn back. Yet, it is difficult because, on the contrary, from ""and Amalek came,"" they should have feared more, as there Amalek came from his land and fought against them out of hatred, and there was no place to be cautious of him, except that they were saved by a miracle. But there, there was reason to be saved from him, as the Holy One, Blessed be He, warned them not to ascend, not to fight, and not to be struck before their enemies. Therefore, there is no reason to be so concerned that they would turn back out of fear of him to Egypt.","The passage discusses the conflict between Israel and Amalek, highlighting the theological implications of divine protection and human fear. It contrasts two battles: one where Israel defeats Amalek and another where Amalek attacks unexpectedly. The text suggests that despite the apparent danger from Amalek, God's command to avoid confrontation should instill confidence rather than fear. This reflects a deeper Hasidic understanding of reliance on divine guidance and the importance of faith in overcoming challenges.","מלחמה  
עמלק  
נס  
הקב""ה  
יראה  
תשובה  
אויבים  
ניצחון  
הזהרה  
תלמוד"
Divrey Yoel,Beshalach,0,9,"י) במכילתא לא הביאן הקב""ה דרך פשוטה לארץ ישראל אלא דרך המדבר, אמר הקב""ה אם אני מביא עכשיו ישראל לארץ מיד מחזיקים אדם בשדהו ואדם בכרמו והן בטלים מן התורה, אלא אקיפם במדבר מ' שנה, שיהיו אוכלין מן ושותין מי הבאר והתורה נבללת בגופן, מכאן הי' ר' שמעון אומר לא ניתנה תורה לדרוש אלא לאוכלי המן, ושניים להם אוכלי תרומה ע""כ, וצ""ב דאין זה הטעם המבואר בכתוב, דהתוה""ק נתנה טעם פן ינחם העם בראותם מלחמה וגו', ולמה נטו חז""ל בדרשתם ליתן טעם חדש שונה מהמפורש בפסוק, ופרשתי כבר דטעם המכילתא נכלל בטעם המבואר בפסוק, דאמרו חז""ל (ברכות דף ל""ה ע""ב) בזמן שישראל עושין רצונו של מקום מלאכתן נעשית ע""י אחרים, וא""כ אילו היו ישראל עושין רצונו של מקום לא הי' צורך להקיפם במדבר, דבלא""ה לא יצטרכו להיות בטלים מדברי תורה ע""י עבודת שדה וכרם, דהי' נתקיים בהם הבטחת הכתוב ועמדו זרים ורעו צאנכם וגו'. אלא מפני כי אמר אלקים פן ינחם העם וגו', ופן לא יהיו עושין רצונו של מקום, ע""כ לא הכניסם מיד כדי שלא יהיו בעלים מדברי תורה ונמצא דהא בהא תליא, אולם אעפ""כ עיקר חסר מן הספר, ולא נרמז בכתוב טעם המכילתא כלל ומאין למדו חז""ל לומר כן.","In the Mechilta, it is not stated that the Holy One, blessed be He, brought them to the Land of Israel through a straightforward path, but rather through the desert. The Holy One, blessed be He, said, ""If I bring Israel to the land now, immediately a person will take hold of his field and another will take hold of his vineyard, and they will be neglecting the Torah."" Therefore, I will encircle them in the desert for forty years, so that they will eat from the manna and drink from the well, and the Torah will be absorbed within them. From here, Rabbi Shimon would say that the Torah was not given to be expounded upon except for those who eat the manna, and for the two who eat terumah, thus. However, it is puzzling that this is not the reason explained in the verse, for the Holy Torah gives a reason lest the people regret upon seeing war, etc. Why did the Sages deviate in their interpretation to provide a new reason different from what is explicitly stated in the verse? I have already explained that the reason of the Mechilta is included in the reason stated in the verse, for the Sages said (Berakhot 35b) that when Israel does the will of the Omnipresent, their work is done by others. Therefore, if Israel were doing the will of the Omnipresent, there would be no need to encircle them in the desert, for otherwise they would not need to be neglecting the words of the Torah due to working the field and vineyard, and the promise of the verse would be fulfilled, ""And strangers shall stand and feed your flocks,"" etc. Rather, because God said, ""Lest the people regret,"" etc., and ""Lest they not do the will of the Omnipresent,"" therefore He did not bring them in immediately so that they would not be preoccupied with the words of the Torah. It turns out that this is dependent on that. However, nevertheless, the main point is lacking from the book, and the reason of the Mechilta is not hinted at in the verse at all, and from where did the Sages learn to say this?","The passage discusses the divine decision to lead the Israelites through the desert rather than directly to the Promised Land, emphasizing that this was to prevent them from becoming preoccupied with their fields and neglecting the study of Torah. It highlights the idea that spiritual sustenance, represented by the manna and water from the well, was essential for their connection to the Torah. The text also reflects on the tension between the explicit biblical reason for the desert journey and the deeper insights offered by the sages, suggesting that the ultimate goal was to ensure the Israelites remained focused on fulfilling God's will. This underscores the Hasidic belief in the importance of spiritual nourishment and the necessity of divine guidance in maintaining a connection to sacred teachings.","תורה  
אוכלי המן  
אוכלי תרומה  
רצונו של מקום  
הבטחת הכתוב  
חז""ל  
מכילתא  
מדבר  
קב""ה  
טעם"
