book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Beshalah,0,0,"בשלחבשלח פרעה את העם ולא נחם אלקים דרך ארץ פלשתים כי קרוב הוא כי אמר אלקים פן ינחם העם וגו' ושבו מצרימה, במד""ר (פ' כ' סימן ט') ויהי בשלח פרעה מי צווח ווי פרעה, משל לאחד שמצא צרור של מרגליות ולא הי' יודע מה בידו וכו', כשנודע לו שווי' קרע את בגדיו, אמר כל העושר הזה בידי הי' וחנם הוצאתי מידי, אוי לו לאותו האיש שכך הוציא מידו, כך הי' פרעה, הצרור של מרגליות אלו ישראל וכו' כשראה פרעה כל האוכלסין התחיל צווח ווי עכ""ד המדרש, ולכאורה הול""ל דרשא זו לעיל בפ' בא עה""פ קומי צאו מתוך עמי וגו' או אצל ויהי בעצם היום הזה יצאו כל צבאות ד' מאמ""צ, דשם עיקר סיפור היציאה, וכאן לא נכתב אלא אגב גררא להורות דרך נסיעתם במדבר.","When Pharaoh sent the people away, God did not lead them by the way of the land of the Philistines, for it was near; for God said, ""Lest the people change their minds when they see war, and return to Egypt."" In the Midrash (Parashat Ki Tisa, Section 9), it is said: ""And it came to pass when Pharaoh sent the people away,"" who cried out, ""Woe to Pharaoh!"" This is like a person who found a pouch of pearls and did not know what he had in his hand, etc. When he realized its value, he tore his garments and said, ""All this wealth was in my hands, and I foolishly let it go!"" Woe to that man who thus let it slip from his hands. So it was with Pharaoh; these pearls of great value were the Israelites, etc. When Pharaoh saw all the multitudes, he began to cry out, ""Woe!"" Thus far the Midrash. And at first glance, this interpretation should have been stated earlier in Parashat Bo regarding the verse, ""Get up, go out from among my people,"" or in connection with ""And it came to pass on that very day that all the hosts of the Lord went out from the land of Egypt,"" for there the main narrative of the Exodus is found, and here it is only mentioned in passing to indicate their route in the wilderness.","In this passage from Sefer Divrey Yoel, the author reflects on the moment Pharaoh released the Israelites, emphasizing the profound realization of his loss upon seeing their departure. The metaphor of the precious gems symbolizes the value of the Jewish people, which Pharaoh only comprehended after they were gone. This insight highlights the theme of divine providence and the transformative journey of the Israelites, suggesting that their liberation was not merely a physical escape but a significant spiritual elevation. The text underscores the tension between worldly power and the inherent worth of the Jewish soul, illustrating the consequences of underestimating this divine treasure.","שפע  
אור  
ספירות  
נשמה  
תיקון  
גילוי  
צמצום  
אחדות  
תודעה  
בריאה"
Divrey Yoel,Beshalah,0,1,"ב)ראוי להבין דהרי בשעת יציאתם שמחו המצרים., כמשה""כ שמח מצרים בצאתם כי נפל פחדם עליהם, ומדוע נתהפכה שמחתם לתוגה ואיך אזדה הפחד מנהו לגמרי.","It is fitting to understand that at the time of their departure, the Egyptians rejoiced, as it is written, ""The Egyptians were glad at their going out, for their fear had fallen upon them."" And why did their joy turn into sorrow, and how did their fear completely depart from them?","The passage discusses the transformation of the Egyptians' joy into sorrow at the moment of the Israelites' departure, highlighting that their initial happiness stemmed from a sense of fear. This shift illustrates a key Hasidic concept: the fleeting nature of worldly joy, which can quickly turn to despair when confronted with divine intervention. The text emphasizes the profound impact of fear and the presence of God, suggesting that true understanding of joy is rooted in spiritual awareness rather than mere external circumstances. Ultimately, it reflects on the interplay between fear, joy, and the divine will in shaping human experience.","שמחה  
תוגה  
פחד  
יציאה  
מצרים  
הבנה  
תהפוכה  
נפילה  
הזדה  
גמר"
Divrey Yoel,Beshalah,0,2,"ג)איתא במדרש (פרשה כ' סימן ח') ויהי בשלח פרעה מי אמר ווי, משה אמר ווי וכו', אמר משה צועק אני שנתיגעתי להוציא את ישראל ממצרים ואיני נכנס עמהם לארץ ע""כ, וצ""ב דהול""ל דרשא זו לעיל בפ' בא עה""פ יצאו כל צבאות ד' מאמ""צ כי שם הוא עיקר סיפור היציאה, ולפי שראה שמוציאם ואין סופו להכניסם ע""כ צווח ווי, אבל אין לו קישור למה ששלח פרעה את העם.","3) It is stated in the Midrash (Parashat Ki Teitzei, Siman 8) that when Pharaoh sent out the Israelites, who said ""Woe""? Moses said ""Woe,"" etc. Moses exclaimed, ""I cry out because I have labored to bring the Israelites out of Egypt, and I will not enter the Land with them."" Therefore, it is puzzling why this teaching was not mentioned earlier in Parashat Bo regarding the verse ""And all the hosts of the Lord went out from the land of Egypt,"" for there is where the main narrative of the Exodus is found. And since he saw that he was bringing them out and would not ultimately bring them in, he cried ""Woe,"" but it does not connect to why Pharaoh sent the people away.","In the passage from Sefer Divrey Yoel, the Midrash discusses Moses' lamentation upon the Israelites' exodus from Egypt, expressing his sorrow for not entering the Promised Land with them. This reflects a deep Hasidic concept of the leader's burden and the emotional connection to the fate of the people. The text questions why this lamentation is placed here rather than earlier in the narrative, suggesting that Moses' cry stems from the realization that although the Israelites are being freed, their journey is incomplete without his presence in the land. This highlights the theological theme of the leader's sacrifice and the profound relationship between redemption and the fulfillment of divine promises.","מדרש  
יציאה  
פרעה  
משה  
ישראל  
ארץ  
צבאות  
סיפור  
קישור  
צווח"
Divrey Yoel,Beshalah,0,3,"ד)ממ""ש להלן בפ' שירה תביאמו ותטעמו בהר נחלתך פרש""י נתנבא משה שלא יכנס לארץ, לכך לא נאמר תביאנו ולא כלל את עצמו עמהן, והקשו המפרשים הא עדיין לא נגזרה הגזירה כמ""ש רש""י (בפ' בהעלותך) עה""פ נוסעים אנחנו אל המקום וגו', ששיתף עצמו עמהם מפני שעדיין לא נגזרה הגזירה עליו וכסבור הי' שנכנס, ומצינו שהתפלל אח""כ לבטל הגזירה, והי' סבור עדיין שיכנס, ואיך אפשר שהתנבא כאן שלא יכנס לארץ, ותירץ הרא""ם ז""ל שזה שאמר תביאמו הי' בבחי' ניבא ולא ידע מה ניבא, שבאמת לא הי' עדיין הגזירה, או אפשר שהי' סבור שלא יכניסם כמו מנהיג, אבל יכנס גם הוא עמהם כשאר העם עיי""ש, וכמו""כ יקשה גם כאן על מה שדרשו ז""ל דמשה צווח ווי שלא יכנס עמהם לארץ, הרי עדיין לא נגזרה הגזירה, ומדוע לא הקשו המפרשים כמו""כ הכא וצ""ב.","D) As mentioned later in Parashat Shira, ""You will bring them and plant them on the mountain of Your inheritance,"" Rashi explains that Moses prophesied that he would not enter the land, which is why it does not say ""You will bring us"" and he did not include himself with them. The commentators questioned, how could it be that the decree had not yet been issued, as Rashi states (in Parashat Beha'alotecha) regarding the verse ""We are traveling to the place,"" where he included himself with them because the decree had not yet been issued against him, and he thought he would enter? We find that he later prayed to annul the decree and still believed he would enter. How is it possible that he prophesied here that he would not enter the land? The Ra'ah answered that when he said ""You will bring them,"" it was in the manner of prophecy, and he did not know what he was prophesying, for in truth, the decree had not yet been issued. Alternatively, he might have thought that he would not bring them in as a leader, but he himself would enter with the rest of the people, as noted there. Similarly, it is also difficult here regarding what our sages have said that Moses cried out ""Woe"" that he would not enter with them into the land, yet the decree had still not been issued. Why did the commentators not question this here as well? This remains to be clarified.","The passage discusses the prophetic nature of Moses' statements regarding his entry into the Promised Land, highlighting the tension between divine decree and human understanding. It reflects on the idea that Moses, despite initially believing he would enter, ultimately prophesied his exclusion, suggesting a deeper spiritual insight into leadership and destiny. The commentary emphasizes the complexity of prophecy, where a leader may express a vision that transcends their personal fate, illustrating the profound connection between divine will and human agency in Hasidic thought.","מנחלה  
גזירה  
תפילה  
נבואה  
מנהיג  
תשובה  
שירה  
אור  
סוד  
חסידות"
Divrey Yoel,Beshalah,0,4,"ה)קשה למה צריך הכתוב לחזור ולכפול ויהי בשלח פרעה את העם הרי כבר אמור לעיל (בפ' בא) שאמר פרעה קומו צאו מתוך עמי וגו' ותחזק מצרים על העם למהר לשלחם מן הארץ וגו', ואם בשביל להודיע שלא נחם אלקים דרך ארץ פלשתים אלא דרך המדבר, הול""ל הודעה זו בלבד ולא לחזור על הראשונות, כי אין לה קישור מוחלט עם שליחות פרעה, כי הטעם שנתן הכתוב פן ינחם העם וגו' שייך אף אם הי' היציאה באופן אחר שלא בשליחות פרעה.","5) It is difficult to understand why the text needs to repeat ""And it was when Pharaoh sent out the people,"" since it was already stated earlier (in Parashat Bo) that Pharaoh said, ""Get up, go out from my people,"" etc., and Egypt was strengthened against the people to hasten to send them out of the land, etc. And if it is to inform us that God did not lead them through the way of the land of the Philistines but rather through the wilderness, it should have stated this information alone and not repeated the earlier verses, for it does not have a complete connection with Pharaoh's sending, because the reason given in the text, ""lest the people regret,"" etc., is relevant even if the departure had occurred in a different manner and not through Pharaoh's sending.","The passage discusses the repetition of the phrase ""And it was when Pharaoh sent out the people,"" questioning its necessity since Pharaoh had already commanded their departure. It suggests that the emphasis on Pharaoh's role serves to highlight divine providence in the Exodus, particularly the choice of the desert route over the Philistine way. This reflects a deeper theological insight into God's guidance and the importance of the journey itself, indicating that the people's faith and readiness to follow divine direction are crucial, regardless of the circumstances of their liberation.","תשובה  
שכינה  
ספירות  
אור  
צמצום  
תיקון  
גילוי  
נשמה  
חסד  
דין"
Divrey Yoel,Beshalah,0,5,"ו)צ""ב אריכות הלשון כי קרוב הוא כי אמר אלקים פן ינחם העם. וממנ""פ אם חדא טעמא הוא. דלפי שקרוב הדרך ונוח לשוב ע""כ אמר אלקים פן ינחםהעם וגו', א""כ תרי זמני כי למה, הול""ל כי קרוב הוא ואמר אלקים פן ינחם העם וגו' ואם תרי טעמי נינהו א""כ אינו מובן הטעם כי קרוב הוא, אדרבה קירוב הדרך בכל מקום היא סיבה ללכת בה, ולא סיבת המניעה מלילך בה.","And it is necessary to clarify the length of the language, for it is close that God said, ""Lest the people regret."" And according to the principle of ""if it is one reason,"" since the way is close and easy to return, therefore God said, ""Lest the people regret,"" etc. If so, there are two times for what reason; it should have said, ""For it is close,"" and God said, ""Lest the people regret,"" etc. And if there are indeed two reasons, then the reason ""for it is close"" is not understood, rather, the closeness of the way in every place is a reason to go on it, and not a reason to refrain from going on it.","In this passage from Sefer Divrey Yoel, the author explores the paradox of God's concern that the people might repent and return to Egypt, despite the ease of the path back. He questions why the proximity of the way would be a reason for divine caution, suggesting that typically, a closer path encourages movement rather than discouragement. This reflects a deeper theological insight into the nature of repentance and the complexities of human choice, emphasizing that the ease of returning can sometimes lead to a reluctance to move forward. Ultimately, it highlights the tension between divine foresight and human agency in the journey of faith.","אריכות הלשון  
אלקים  
פן ינחם  
העם  
טעמא  
קרוב  
דרך  
שוב  
סיבה  
מניעה"
Divrey Yoel,Beshalah,0,6,"ז)רש""י ז""ל נראה דחד טעמא הוא, דפי' כי קרוב הוא ונוח לשוב באותו דרך למצרים, כי אמר אלקים פן ינחם העם וגו', אם הלכו דרך ישר היו חוזרים, ומה אם כשהקיפם דרך מעוקם אמרו ניתנה ראש ונשובה מצרימה, אם הולכים בפשוטה עאכו""כ עכ""ל, ויש להבין דהרי גם כשהקיפם דרך מעוקם רצו לחזור ולשוב, אבל מן השמים עיכבו בידם, ולא ניתן להם הרשות והיכולת לחזור ולשוב, גם בני לוי רדפו אחריהם והחזירום כדברי רז""ל, ואצלו ית' אין נפקמ""נ בין דרך קרוב לרחוק, וגם בדרך קרוב לא הי' היכולת בידם לשוב נגד רצונו ית' וכמ""ש הרא""ם ז""ל דאין ללמוד מהק""ו, אלא שאם הוליכן בפשוטה עאכו""כ שהיו אומרים ניתנה ראש, אבל חזרה לא שמענו מהק""ו, דלא באו לכלל חזרה מעולם.","Rashi, may his memory be blessed, seems to indicate that there is one reason for this: that it is close and easy to return by that way to Egypt, for God said, ""Lest the people regret..."" If they had gone by a straight path, they would have returned. And if when they were taken by a winding path they said, ""Let us appoint a leader and return to Egypt,"" how much more so if they were going by a straightforward path! Thus far the text. 

One must understand that even when they were taken by a winding path, they wanted to return, but Heaven prevented them from doing so, and they were not granted the permission and ability to return. Even the sons of Levi pursued them and brought them back, as our sages have said. And with Him, blessed be He, there is no difference between a close path and a distant one; even on a close path, they did not have the ability to return against His will. And as the Ra'ah, may his memory be blessed, stated, one should not learn from the a fortiori argument, but that if He led them by a straightforward path, how much more so would they say, ""Let us appoint a leader,"" but we have not heard of a return from the a fortiori argument, for they never came to the point of returning at all.","The passage discusses the divine orchestration of the Israelites' journey, emphasizing that even when faced with a seemingly straightforward path back to Egypt, their ability to return was ultimately restricted by God's will. It highlights the idea that regardless of the route taken—whether direct or convoluted—the people's desire to return was thwarted by divine intervention. The text underscores the theological concept that human intentions and desires are subordinate to God's overarching plan, illustrating that true repentance or return was never an option for them. This reflects a deeper understanding of divine providence and the limitations placed on human agency in the context of spiritual redemption.","רשות  
יכולת  
שוב  
דרך  
מעוקם  
קרוב  
רחוק  
רצון  
חזרה  
נחמה"
Divrey Yoel,Beshalah,0,7,"ח)מ""ש הכתוב הטעם כי קרוב הוא, פן ינחם העם וגו' ושבו מצרימה, והרי עוד בעמדם על ים סוף התחרטו על שיצאו, והתרעמו על משה מה זאת עשית לנו להוציאנו ממצרים, והיו קרובים אז עדיין למצרים, וא""כ אף שהלכו דרך המדבר עדיין החששא במקומה עומדת פן ינחם העם ושבו מצרימה, ועוד דארץ ישראל קרובה מאוד למצרים, ועיקר מלחמת ל""א מלכים היתה בא""י, וא""כ כמו""כ הי' אפשר לחשוש, שבבואם לא""י ויראו מלחמת ל""א מלכים, פן ינחם העם ושבו מצרימה, ומה יועיל הליכתם דרך המדבר ודרך מעוקם, אם אחר שיצאו מן המדבר ויתקרבו לארץ ישראל שהוא קרובה למצרים חזרה החששא למקומה פן ינחם העם וגו' ושבו מצרימה, ורש""י פי' בראותם מלחמה כגון מלחמת וירד העמלקי והכנעני וגו', והרי מורא זה הי""ל גם בכניסה לארץ שנאמר עמלק יושב בארץ הנגב: ומה הועיל הליכתם דרך המדבר.","(8) As the verse states, the reason is that it is close, lest the people regret and return to Egypt. And behold, even while they were standing at the Sea of Suf, they regretted having left and complained to Moshe, ""What is this you have done to us, to bring us out of Egypt?"" They were still close to Egypt then. Therefore, even though they went through the desert, the concern remained in place, lest the people regret and return to Egypt. Furthermore, the Land of Israel is very close to Egypt, and the main battle of the thirty-one kings took place in the Land of Israel. Thus, it was also possible to be concerned that when they arrived in the Land of Israel and saw the battle of the thirty-one kings, lest the people regret and return to Egypt. What benefit was there in their journey through the desert and the winding path, if after they left the desert and drew close to the Land of Israel, which is close to Egypt, the concern returned to its place, lest the people regret and return to Egypt? And Rashi explained that when they saw war, such as the battle of the Amalekite and the Canaanite, this fear would also have existed upon entering the land, as it is said, ""Amalek dwells in the land of the Negev."" What benefit was there in their journey through the desert?","The passage discusses the concern that the Israelites, even after their miraculous exodus from Egypt, might regret their decision and return to slavery when faced with challenges, such as the wars in the Promised Land. It highlights the psychological struggle of the people, who, despite their journey through the desert, remained close to their former bondage. The text emphasizes that the proximity of Egypt and the potential for fear and doubt could lead them to abandon their faith and return to their past. Ultimately, it reflects on the ongoing battle between faith and fear in the journey towards spiritual redemption.","קרוב  
מצרים  
ים סוף  
מלחמת ל""א מלכים  
ארץ ישראל  
חששא  
תשובה  
מורא  
עמלק  
מדבר"
Divrey Yoel,Beshalah,0,8,"ט)מלחמה פי' רש""י בשם המכילתא זו מלחמת וירד העמלקי והכנעני האמור במעשה מרגלים והקשו המפרשים מדוע לא נקט ויבא עמלק שהי' מיד סמוך ליציאתם, ותירץ המהרש""ל משום דבאותה מלחמה נצחו ישראל את עמלק, ולא הי' לחוש כ""כ שיתנו לב לשוב, אבל גבי וירד העמלקי כתיב ויכום ויכתום, יש מקום לחושיותר שיתנו לב לשוב, אמנם קשה דאדרבה מזו דויבא עמלק הי""ל לירא יותר, דשם בא עמלק מארצו ונלחם בהם לשנאתו אותם, ולא הי' מקום להיות נשמר ממנו, אלא שניצולו בדרך נס, אבל שם הי' מקום להיות ניצל ממנו, שהזהירם הקב""ה לא תעלו ולא תלחמו ולא תנגפו לפני אויביכם, וא""כ אין מקום לחשוש כ""כ פן ישובו מיראתו למצרים.","9) War, as Rashi explains in the name of the Mechilta, refers to the battle of the Amalekite and the Canaanite mentioned in the story of the spies. The commentators questioned why it did not state ""and Amalek came"" which was immediately after their departure. The Maharsha answered that in that war, Israel defeated Amalek, and there was not much concern that they would pay attention to return. However, regarding ""and the Amalekite descended,"" it is written ""and they struck them and they smote them,"" there is more reason to be concerned that they would pay attention to return. Yet, it is difficult because, on the contrary, from ""and Amalek came,"" they should have feared more, for there Amalek came from his land and fought against them out of hatred, and there was no place to be cautious of him, except that they were saved by a miracle. But there, there was a reason to be saved from him, as the Holy One, Blessed be He, warned them not to ascend, not to fight, and not to be struck before their enemies. Therefore, there is no reason to be so concerned that they would return out of fear of him to Egypt.","The passage discusses the distinction between two battles involving Amalek, highlighting the theological concept of divine protection and the nature of fear in the face of enemies. It suggests that the Israelites' victory over Amalek in one instance was a result of divine intervention, which should have alleviated their fear of returning to Egypt. The text emphasizes the importance of faith in God's guidance and the assurance that, despite the threats posed by enemies, reliance on divine instruction can lead to salvation. Ultimately, it reflects on the interplay between human fear and divine assurance in the context of spiritual warfare.","מלחמה  
עמלק  
כנעני  
מרגלים  
נס  
הקב""ה  
יראה  
אויבים  
תשובה  
תשובה"
Divrey Yoel,Beshalah,0,9,"י)במכילתא לא הביאן הקב""ה דרך פשוטה לארץ ישראל אלא דרך המדבר, אמר הקב""ה אם אני מביא עכשיו ישראל לארץ מיד מחזיקים אדם בשדהו ואדם בכרמו והן בטלים מן התורה, אלא אקיפם במדבר מ' שנה, שיהיו אוכלין מן ושותין מי הבאר והתורה נבללת בגופן, מכאן הי' ר' שמעון אומר לא ניתנה תורה לדרוש אלא לאוכלי המן, ושניים להם אוכלי תרומה ע""כ, וצ""ב דאין זה הטעם המבואר בכתוב, דהתוה""ק נתנה טעם פן ינחם העם בראותם מלחמה וגו', ולמה נטו חז""ל בדרשתם ליתן טעם חדש שונה מהמפורש בפסוק, ופרשתי כבר דטעם המכילתא נכלל בטעם המבואר בפסוק, דאמרו חז""ל (ברכות דף ל""ה ע""ב) בזמן שישראל עושין רצונו של מקום מלאכתן נעשית ע""י אחרים, וא""כ אילו היו ישראל עושין רצונו של מקום לא הי' צורך להקיפם במדבר, דבלא""ה לא יצטרכו להיות בטלים מדברי תורה ע""י עבודת שדה וכרם, דהי' נתקיים בהם הבטחת הכתוב ועמדו זרים ורעו צאנכם וגו'. אלא מפני כי אמר אלקים פן ינחם העם וגו', ופן לא יהיו עושין רצונו של מקום, ע""כ לא הכניסם מיד כדי שלא יהיו בעלים מדברי תורה ונמצא דהא בהא תליא, אולם אעפ""כ עיקר חסר מן הספר, ולא נרמז בכתוב טעם המכילתא כלל ומאין למדו חז""ל לומר כן.","In the Mechilta, it is stated that the Holy One, blessed be He, did not bring the Jewish people to the Land of Israel through a straightforward path, but rather through the desert. The Holy One said, ""If I bring Israel to the land now, immediately a person will take hold of his field and another will take hold of his vineyard, and they will be neglecting the Torah."" Therefore, He encircled them in the desert for forty years, so that they would eat manna and drink from the well, and the Torah would be absorbed within them. From here, Rabbi Shimon would say that the Torah was not given to be expounded upon except for those who eat the manna, and for the two who eat terumah. However, it is puzzling that this is not the reason explicitly stated in the verse, for the Holy Torah gives the reason that the people might regret upon seeing war, etc. Why did the Sages deviate in their interpretation to provide a new reason different from what is stated in the verse? I have already explained that the reason in the Mechilta is included in the reason given in the verse, as the Sages said (Berakhot 35b) that when Israel does the will of the Omnipresent, their work is done by others. Therefore, if Israel were doing the will of the Omnipresent, there would be no need to encircle them in the desert, for otherwise they would not need to be neglecting the words of Torah due to working the field and vineyard, and the promise of the verse would be fulfilled: ""And strangers shall stand and feed your flocks,"" etc. However, because God said, ""Lest the people regret,"" etc., and ""lest they not do the will of the Omnipresent,"" therefore He did not bring them in immediately so that they would not become owners of the words of Torah. Thus, it turns out that this is dependent on that. Nevertheless, the main point is lacking from the text, and the reason from the Mechilta is not hinted at in the verse at all, and from where did the Sages learn to say this?","The passage discusses the divine decision to lead the Israelites through the desert rather than directly to the Promised Land, emphasizing that this was to prevent them from becoming preoccupied with their fields and neglecting the study of Torah. It highlights the idea that true devotion to God allows for divine assistance in their labor, suggesting that if the Israelites were fulfilling God's will, they would not need to be distracted by agricultural work. The text also raises questions about the differing interpretations of the reasons for this divine strategy, indicating a deeper theological insight into the relationship between human action, divine providence, and the importance of Torah study. Ultimately, it reflects on the interconnectedness of these concepts within the framework of Hasidic thought.","תורה  
אוכלי המן  
אוכלי תרומה  
רצונו של מקום  
הבטחת הכתוב  
חסד  
גילוי אלוקות  
סוד  
תיקון  
שפע"
