book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Bo,0,0,"בא ה' אל משה בא אל פרעה וגו' כבר דקדקו באומרו בא ולא אמר לך אל פרעה, גם אומרו כי אני הכבדתי את לבו קשה להבין מה נתינת טעם הוא זה, גם תיבת אני מיותר דהי' סגי לומר כי הכבדתי, ובמדרש הובא בישועות יעקב בא אל פרעה בשליחותי וצ""ב מה בעי בזה.","The Lord came to Moses, saying, ""Come to Pharaoh,"" etc. They have already scrutinized the wording ""come"" and did not say ""to you, to Pharaoh."" Also, His statement ""for I have hardened his heart"" is difficult to understand what kind of reasoning this is, and the word ""I"" is superfluous, as it would suffice to say ""for I have hardened."" And in the Midrash it is brought in Yeshuot Yaakov, ""Come to Pharaoh in My name,"" and it is questioned what is needed in this.","In this passage from Sefer Divrey Yoel, the author reflects on the divine command to Moses to approach Pharaoh, emphasizing the significance of the phrase ""I have hardened his heart."" The use of ""I"" is seen as superfluous, prompting questions about its purpose and the nature of divine intervention. The reference to the Midrash suggests that Moses is acting as a messenger of God, highlighting the theme of divine will and human agency in the unfolding of events. This underscores a key Hasidic concept of understanding God's sovereignty and the complexities of free will in the context of redemption.","ה'  
משה  
פרעה  
לב  
הכבדתי  
טעם  
מדרש  
ישועות  
שליחות  
צ""ב"
Divrey Yoel,Bo,0,1,"ואפשר לומר דהנה לכאורה קשה הלא אין הקב""ה מייחד שמו על הרעה, וענין הכבדת הלב הי' עונש לפרעה על שחטא ברצונו תחלה כמבואר ברמב""ם ז""ל (פ""י מה' תשובה עיי""ש), וא""כ האיך הי' הקב""ה מייחד שמו ע""ז באומרו ""אני"" הכבדתי את לבו ומאתו ית' לא תצא הרעות, אמנם כבר נודע מ""ש הקדושת לוי בכללות הנסים דלכן הי' מכות בכורות ע""י הקב""ה בכבודו ובעצמו אף דמאתו לא תצא הרעות, מ""מ כאן הי' טובה גדולה גם למצרים. שע""י מכה זו נתקדש ש""ש על ידם, ואין לך טובה גדולה מזו, שע""ז נברא העולם לקדש ש""ש ברבים יעיי""ש שהאריך בדברות קדשו מלהבות אש, אמנם בליקוטי תורה מהאר""י ז""ל כתב בפ' לכה ואשלחך אל פרעה דכיון שהולך לשני דברים לעשות טובה לישראל ורעה למצרים, ועל הרעה אין הקב""ה מייחד שמו, ע""כ אמר לכה נגד בחי' הרעה כלומר שילך מעצמו, ונגד הטובה לישראל אמר ואשלחך שיהי' בתורת שליחות מאתו ית'.","And it can be said that, behold, at first glance it is difficult, for the Holy One, blessed be He, does not designate His name for evil, and the matter of hardening the heart was a punishment for Pharaoh for having sinned of his own volition, as explained in the Rambam, may his memory be blessed (Chapter 10 of Laws of Repentance, see there). Therefore, how could the Holy One, blessed be He, designate His name for this by saying, ""I have hardened his heart,"" and from Him, evil will not come forth? However, it is already known what the Kedushas Levi says regarding the generality of miracles, that is why the plague of the firstborn was done by the Holy One, blessed be He, in His glory and essence, even though from Him evil will not come forth. Nevertheless, here there was also a great good for Egypt, for through this plague, His name was sanctified by them, and there is no greater good than this, for this is why the world was created—to sanctify His name in public, as it is written there, where he elaborated in His holy words from the flames of fire. However, in Likkutei Torah from the Ari, may his memory be blessed, it is written in the section ""Come and I will send you to Pharaoh"" that since he is going to do two things, to do good for Israel and evil for Egypt, and for the evil the Holy One, blessed be He, does not designate His name, therefore it says ""Come"" against the aspect of evil, meaning that he should go of his own accord, and against the good for Israel it says ""I will send you,"" that it should be in the manner of a mission from Him, blessed be He.","The passage discusses the theological implications of God's actions during the plagues in Egypt, particularly the hardening of Pharaoh's heart. It emphasizes that while God does not associate His name with evil, the hardening served a greater purpose of sanctifying His name through the miracles performed, which ultimately benefited the Israelites. The text highlights the dual nature of God's actions—bringing good to Israel while enacting punishment on Egypt—indicating that even in the context of evil, there is a divine intention for greater good and sanctification. This reflects a key Hasidic concept of the interconnectedness of good and evil in the divine plan.","הקדושת  
ש""ש  
מכות בכורות  
נס  
טובה  
רעה  
שליחות  
כבוד  
ליבו  
קדושה"
Divrey Yoel,Bo,0,2,"ובקדושת לוי הנ""ל כתב לחלק שמכות הקודמין לא היו גורמים קידוש השם כ""כ, ע""כ הי' עדיין רעה למצרים, להכי היו ע""י שליח כי מאתו ית' לא תצא הרעה, משא""כ במכת בכורות שגרמה קדושת שמו הגדול, הי' טובה גמורה גם להם והי' באפשרי שיהי' ע""י הקב""ה בכבודו ובעצמו יעיי""ש, ובאמת גם במכות הכנים כבר הודו החרטומים ואמרו אצבע אלקים הוא, ובוודאי מה שהודו כל חרטומי מצרים בכח אלקי נצמח קידוש השם גדול, א""כ גם מכה זו הי' להם לטובה גדולה, וע""כ נראה כי מה שאמר הקב""ה לכה ואשלחך שלא רצה שהמכות למצרים יהי' בדרך שליחות, זה הי' רק במכות הראשונים שהיו המצריים מחזיקים אותם למעשה כשפים כמו שאמרו תבן אתם מכניסים לעפרים, ולא נתקדש ש""ש עי""ז כלל, ואדרבה כי נתחזקו למכשפים, וא""כ הי' לפי שעה באמת רעה גדולה להם, ולא הי' באפשרי שיהי' בדרך שליחות מאתו ית', משא""כ אח""כ שהודו אצבע אלקים הוא, ומה שלא עשה הקב""ה בכבודו ובעצמו כ""א מכת בכורות, ולא המכות הקודמין אף שהיו ג""כ טובה כנז""ל אין זה קושיא, דמכות בכורות הי' עיקר הפירסום הגדול בקדושת שמו ית' עד סוף כל הדורות והוא טובה לאין שיעור וערך למעלה מהשגת כל הנבראים, אולי עבור זה לא הי' מהראוי שיהי' נעשה ע""י שליח כ""א ע""י הקב""ה בכבודו ובעצמו. אבל מכות הראשונות אף שהיו באמת ג""כ טובה להם, מ""מ הלא מצינו כמה טובות באים לעולם ע""י שליח ממנו ית', וכן גאולתן של ישראל במצרים הי' ע""י שליח, יען שלא הי' עדיין גאולה נצחית ואך הגאולה העתידה במהרה יהי' ע""י הקב""ה בעצמו יען שהוא גאולה נצחית כנודע וכן במכות מצרים אף שהיו טובה גדולה להם. אבל תכלית טובתן בשלימות הי' רק במכות בכורות שנתפרסם שמו ית' עי""ז עד סוף כל הדורות.","In the holiness of Levi mentioned above, it is written that the plagues that preceded did not cause a sanctification of the Name to such an extent; therefore, there was still evil for the Egyptians. That is why they were through a messenger, for from Him, may He be blessed, evil does not come forth. In contrast, the plague of the firstborn, which caused the sanctification of His great Name, was a complete good even for them, and it was possible that it would be through the Holy One, blessed be He, in His glory and essence, as you can see there. And indeed, even in the earlier plagues, the magicians admitted and said, ""It is the finger of God,"" and certainly, what all the magicians of Egypt acknowledged regarding the divine power resulted in a great sanctification of the Name. Thus, this plague was also a great good for them. Therefore, it seems that what the Holy One, blessed be He, said, ""Come and I will send you,"" was that He did not want the plagues upon Egypt to be through a messenger; this was only for the earlier plagues, which the Egyptians held as acts of sorcery, as they said, ""You are bringing straw to the bricks,"" and the sanctification of the Name was not achieved through that at all. On the contrary, they were strengthened in their sorcery, and thus, for the time being, it was indeed a great evil for them, and it was not possible for it to be through a messenger from Him, may He be blessed. In contrast, afterwards, when they acknowledged, ""It is the finger of God,"" and what the Holy One, blessed be He, did in His glory and essence was only the plague of the firstborn, and the earlier plagues, even though they were also good as mentioned, this is not a question. The plague of the firstborn was the main proclamation of the great sanctification of His Name until the end of all generations, and it is a good beyond measure and value, far above the comprehension of all created beings. Perhaps for this reason, it was not fitting for it to be done through a messenger, but rather through the Holy One, blessed be He, in His glory and essence. However, the earlier plagues, even though they were indeed also good for them, we find that many goods come to the world through a messenger from Him, may He be blessed. Likewise, the redemption of Israel in Egypt was through a messenger, since there was not yet an eternal redemption, and only the future redemption will be through the Holy One, blessed be He, Himself, for it is an eternal redemption, as is known. And so it is with the plagues of Egypt, even though they were a great good for them. But the ultimate completeness of their good was only in the plague of the firstborn, through which His Name was proclaimed until the end of all generations.","The passage discusses the nature of the plagues in Egypt, emphasizing that the earlier plagues did not sanctify God's name as profoundly as the final plague, the death of the firstborn. While the initial plagues were beneficial, they were executed through intermediaries, reflecting a lesser degree of divine intervention. In contrast, the death of the firstborn was a direct act of God, resulting in a significant sanctification of His name that would resonate throughout generations. This distinction highlights the ultimate goodness and purpose of divine actions, with the greatest revelation of God's glory occurring through His direct involvement.","קדושת השם  
קידוש השם  
אצבע אלקים  
גאולה נצחית  
שליח  
מכות  
קדושת שמו  
טובה  
פירסום  
נבראים"
Divrey Yoel,Bo,0,3,"והנה גם בענין הכבדת לבו של פרעה, דלולא זאת לא הי' באפשרי שיבואו עליו כל המופתים האלה עד מכת בכורות, כמבואר בקרא כ""פ דלכן הכביד את לבו למען רבות המופתים, ש""מ דלא סגי בלא""ה שלא הי' מקום לעשות גמר כל המופתים לולא הכבדת הלב, א""כ גם ענין זה הי' טובה גדולה לאין שיעור וערך, שהי' הכנה לגמר כל המופתים ותכלית טובתן בעולם, וע""כ מובן שפיר למה גם זה נעשה ע""י הקב""ה בעצמו, ואמר ""ואני"" אקשה את לב פרעה, וגם כאן כתיב ""אני'' הכבדתי, דאף שזה עונש, הי' באפשרי שיהי' נעשה ע""י הקב""ה בעצמו, ומזה ראי' לדברינו דגם כל המכות שבאו מעת שהכביד הקב""ה את לבו בע""כ, נחשבים ג""כ לטובה ולא רעה ח""ו, כי יען שהכל הי' אך ע""י הכבדת הלב מהקב""ה, ואילו הי' נחשב לרעה לא הי' באפשרי שיגרום זה הקב""ה ע""י פעולתו בעצמו ית', וע""כ אך במכות הראשונות הי' קפידא שאמר ית""ש לכה מעצמך ולא בדרך שליחות כמבואר לעיל.","And behold, also regarding the hardening of Pharaoh's heart, for were it not for this, it would not have been possible for all these miracles to come upon him until the plague of the firstborn, as is explained in the verse repeatedly, ""therefore I have hardened his heart in order to multiply the miracles."" This teaches us that it was not sufficient on its own, for there would have been no place to complete all the miracles were it not for the hardening of the heart. Therefore, this matter was an immense and incomparable good, as it was a preparation for the completion of all the miracles and the ultimate goodness of them in the world. Thus, it is understood well why this was also done by the Holy One, blessed be He, Himself, and He said, ""And I will harden Pharaoh's heart,"" and here it is written ""I have hardened,"" for even though this is a punishment, it was possible for it to be done by the Holy One, blessed be He, Himself. And from this, there is proof to our words that all the plagues that came from the time that the Holy One, blessed be He, hardened his heart against his will, are also considered good and not evil, Heaven forbid, because since everything was only through the hardening of the heart by the Holy One, blessed be He, and if it were considered evil, it would not have been possible for the Holy One, blessed be He, to cause this through His own action. Therefore, only in the first plagues was there a concern that He said, blessed be He, ""Go by yourself and not through a messenger,"" as explained above.","The passage discusses the concept of God hardening Pharaoh's heart, emphasizing that this action was necessary for the fulfillment of the plagues and their ultimate purpose in the world. It suggests that even though this hardening is seen as a punishment, it is fundamentally a great good, as it allows for the completion of the miracles. The text highlights that since God Himself initiated this process, the plagues that followed should be viewed as beneficial rather than harmful, reinforcing the idea that divine actions, even those perceived as negative, can lead to greater good.","הכבדת הלב  
מופתים  
מכת בכורות  
טובה גדולה  
תכלית  
הכנה  
עונש  
פעולה  
קב""ה  
שליחות"
Divrey Yoel,Bo,0,4,"והנה נודע מ""ש זקיני הגה""ק זלה""ה בישמח משה עה""פ וזרח השמש ובא השמש ואל מקומו שואף זורח הוא שם, דהטעם שנקרא שקיעת השמש בלשון ביאה, עפי""מ שאמרו חכז""ל (סנהדרין דף צ""א ע""ב) למה חמה יוצאת במזרח ושוקעת במערב כדי לתת שלו' לקונה, וההתרחקות מבורא ית""ש נקרא בלשון יציאה, והתקרבות אליו נקרא בלשון ביאה, וע""כ נקרא בלשון ביאת השמש יען שמתקרבת אז אליו ית""ש, וז""ש וזרח השמש ובא השמש שנקרא בלשון ביאה יען] ואל מקומו שואף זורח הוא שם עכ""ד.","And behold, it is known what my venerable grandfather, the holy one, may his memory be blessed, said in ""Yismach Moshe"" on the verse ""The sun rises and the sun sets, and hastens to its place where it shines."" The reason that the setting of the sun is referred to in the language of ""coming"" is based on what our sages, of blessed memory, said (Sanhedrin 91b) regarding why the sun rises in the east and sets in the west: to give peace to its Creator. The distancing from the Blessed Creator is referred to in the language of ""going out,"" while the drawing near to Him is referred to in the language of ""coming."" Therefore, it is called the ""coming of the sun"" because it is then drawing near to Him, blessed be He. And thus it is written, ""The sun rises and the sun sets,"" which is called in the language of ""coming,"" because it is hastening to its place where it shines. Thus is the matter concluded.","The passage discusses the Hasidic interpretation of the sun's rising and setting, as explained by the revered Rabbi in ""Yismach Moshe."" It highlights that the term ""setting"" is referred to as ""coming"" because, according to tradition, the sun's journey from east to west symbolizes the divine presence and the relationship between creation and the Creator. The act of the sun setting represents a distancing from God, while its rising signifies a return and closeness to the divine. Thus, the sun's movements are seen as a metaphor for the spiritual dynamics of approaching and retreating from God.","זקיני  
הגה""ק  
שקיעת השמש  
ביאה  
חמה  
שול  
בורא ית""ש  
יציאה  
התקרבות  
זרח השמש"
Divrey Yoel,Bo,0,5,"והנה מרע""ה אשר תמיד הי' דבוק בקדושתו ית""ש והוצרך לילך למצרים ארץ מלאה גילולים. אשר אפי' תפלה קלה לא הי' באפשרי להתפלל שם, כנאמר כצאתי את העיר אפרוש כפי, ולא הי' שם מקום להשראת שכינתו ית', הנה בוודאי הי' הדבר נקרא אצלו ליציאה שהוצרך לצאת ממקום דביקותו בהשי""ת למקום יבש מלחלוחית קדושה, וע""כ אמר לו הקב""ה שמעת הכביד את לב פרעה למען עשות בו כל המופתים הגדולים לפרסם קדושת שמו ית', מאז נעשה כלי לקדושת השם שזה תכלית כל הנבראים והי' לו קצת עלי' וממילא יש גם שם מציאת השי""ת, וע""כ ביאתו אליו באפשרי לקרותו גם בלשון ביאה לכח אלוקי שהי' אז בתוכו להכביד את לבו.","And behold, Moshe Rabbeinu, who was always attached to His holiness, blessed be He, needed to go to Egypt, a land full of idols. Even a simple prayer was not possible to pray there, as it is said, ""When I leave the city, I will spread out my hands,"" and there was no place for the resting of His Divine Presence. Certainly, this was considered by him as a departure from a place of attachment to the Holy One, Blessed be He, to a dry place devoid of the moisture of holiness. Therefore, the Holy One, Blessed be He, said to him, ""You have heard that I have hardened Pharaoh's heart in order to perform all the great signs to proclaim the sanctity of His name."" From then on, he became a vessel for the sanctity of the name, which is the purpose of all creations, and he had some elevation, and consequently, there is also a finding of the Holy One, Blessed be He, there. Therefore, his coming to him could also be called by the term ""coming"" to the Divine power that was then within him to harden his heart.","The passage discusses Moses' deep connection to the Divine and his challenge of entering Egypt, a land filled with idolatry where even simple prayer was difficult. It emphasizes that this journey represented a departure from his spiritual closeness to God to a spiritually barren place. God hardened Pharaoh's heart to demonstrate His greatness through miraculous signs, transforming Pharaoh into a vessel for the sanctification of God's name. Ultimately, this process reveals that even in a place devoid of holiness, the presence of God can still be found and manifested.","קדושה  
דביקות  
שכינה  
השי""ת  
מופתים  
קדושת השם  
עלי'  
נבראים  
כח אלוקי  
גילולים"
Divrey Yoel,Bo,0,6,"ובזה אפשר לתרץ מה שנתחבטו המפורשים בדברי רש""י ז""ל שפי' דבעמדו לפני פרעה נאמרה לו נבואה זו, דהאיך אפשר לומר במקום שלא הי' יכול להתפלל אפי' תפלה קלה, ואיך נאמרה לו פרשה שלימה שם, ועפ""י הנ""ל אפשר לומר דמעת שנמצא אצלו הקב""ה עכ""פ לענין הכבדת לבו, מעט מן האור דוחה הרבה מן החושך, והי' באפשרי גם למרע""ה לקבל שם נבואה מאתו ית'.","And with this, it is possible to explain what the commentators have struggled with in the words of Rashi, of blessed memory, who explained that this prophecy was given to him while standing before Pharaoh. How can it be said that in a place where he could not even pray a simple prayer, a complete section was said to him? According to the above, it can be said that from the moment the Holy One, blessed be He, was found with him, at least regarding the hardening of his heart, a little bit of light pushes away a lot of darkness, and it was also possible for Moshe Rabbeinu to receive a prophecy from Him there.","The passage discusses the difficulty of reconciling the notion of prophecy received by Moses while standing before Pharaoh, given the context where he could not even pray. It suggests that despite the overwhelming darkness of the situation, the presence of God can still illuminate and allow for the possibility of receiving divine revelation. This reflects the Hasidic idea that even a small amount of divine light can dispel significant darkness, enabling spiritual connection and insight in challenging circumstances.","נבואה  
הכבדת לב  
אור  
חושך  
קב""ה  
מרע""ה  
תפלה  
פרשה  
אפשרות  
דחיה"
Divrey Yoel,Bo,0,7,"וז""ש בא אל פרעה, שכעת נקרא ביאתך אל פרעה בלשון ביאה, כי אני הכבדתי את לבו למען שיתי אותותי וגו', וכיון שאני נמצא שם לצורך הטובה הגדולה של האותות והמופתים, שפיר דמי למיקרי הליכתך לשם בלשון ביאה, וזה אפשר לומר גם בכוונת דברי המדרש בא אל פרעה בשליחותי, שא""צ לזה לשון הליכה שיהי' ע""י עצמך כמו שאמר בתחלה לכה שלא רצה שיהי' בדרך שליחות יען שהי' רעה, אבל כאן ע""כ שהוא טובה והראי' ממה שאני הכבדתי את לבו כנז""ל, וע""כ אפשר שיהי' בשליחותי והבן. (ע""כ מכתי""ק).","And this is what is meant by ""Come to Pharaoh,"" that now your coming to Pharaoh is referred to in the language of coming, for I have hardened his heart in order to perform My signs, etc. And since I am present there for the great good of the signs and wonders, it is fitting to refer to your going there in the language of coming. This can also be said regarding the intention of the words of the Midrash ""Come to Pharaoh in My mission,"" that there is no need for the language of going to be through yourself, as was said initially ""Go,"" since he did not want it to be in the way of a mission because it was bad. But here, since it is for good, and the proof is that I have hardened his heart as mentioned above, therefore it is possible that it will be in My mission, and understand. (Thus I have written).","The passage discusses the significance of the phrase ""come to Pharaoh,"" emphasizing that this encounter is framed as a ""coming"" rather than merely a ""going."" This shift in language reflects the divine intention behind the signs and wonders that will be performed, indicating that God's presence is essential for the greater good. The text suggests that, unlike previous instances where Moses was instructed to act independently, this mission is a divine appointment, highlighting the transformative power of God's will in the context of redemption.","ביאה  
אותות  
מופתים  
שליחות  
לב  
הכבדתי  
טובה  
רעה  
מדרש  
הראי'"
Divrey Yoel,Bo,0,8,"ובזה אפ""ל למען שתי אותותי אלה בקרבו, רומז על אותיות התורה שפרשה שלימה בתורה עוד נגע אחד אביא על פרעה וגו' נאמרה בתוך פלטין שלו, ומסתמא הי' זה לצורך התקון להוציא בלעם מפיהם, ועמקו מחשבותיו ית', והנה זכה לזה בסיבת הכבדת הלב כנ""ל, וז""א כי אני הכבדתי את לבו למען שתי אותותי אלה היינו אותיות התורה בקרבו דייקא.","And in this, it can be said that for the sake of these two signs within him, it alludes to the letters of the Torah, that a complete section in the Torah, ""One more plague I will bring upon Pharaoh,"" was said within his palace, and it is certain that this was for the purpose of rectification to remove Balaam from their mouths. And His thoughts are deep, and behold, he merited this due to the hardening of the heart as mentioned above, and it is said, ""For I have hardened his heart for the sake of these two signs,"" meaning the letters of the Torah specifically within him.","The passage discusses the significance of the letters of the Torah, particularly in the context of God's hardening of Pharaoh's heart. It suggests that this act was necessary for the purpose of revealing deeper truths and correcting spiritual flaws, specifically to prevent the negative influence of Balaam. The emphasis is on the divine wisdom behind these actions, highlighting the interplay between human free will and divine intervention in the unfolding of redemption.","אותיות  
תורה  
אותות  
פלטין  
בלעם  
מחשבות  
הכבדת  
לב  
תקון  
זכות"
Divrey Yoel,Bo,1,9,"(מכתי""ק) ה' אל משה בא אל פרעה וגו' למען שיתי אותותי אלה בקרבו, צ""ב הלשון שאמר במכה זו מכת הארבה למען שיתי אותותי אלה ולא אמר כן בשאר המכות, גם צריך להבין הלא אמרו חז""ל כל מקום שנאמר אלה פוסל את הראשונים, וא""כ צ""ב מה שאמר אותותי ""אלה"" דמה פוסל בזה.","(From the handwritten text) ""The Lord said to Moses, 'Go to Pharaoh...' in order that I may set these signs of Mine in his midst."" It is puzzling why in this plague, the plague of locusts, it says ""in order that I may set these signs of Mine,"" and it does not say so regarding the other plagues. It also needs to be understood that our Sages have said, wherever it says 'these,' it disqualifies the earlier ones. Therefore, it is puzzling why it says ""My signs 'these'"" and what it disqualifies in this context.","In this passage from Sefer Divrey Yoel, the author reflects on God's command to Moses regarding the plague of locusts, emphasizing the unique phrasing ""to set these signs"" as opposed to the other plagues. This raises questions about the significance of the term ""these"" and its implications for the previous signs, suggesting a deeper theological insight into the nature of divine signs and their purpose. The mention of ""these"" potentially negating the earlier signs highlights the evolving relationship between God and Pharaoh, as well as the transformative power of the plagues in conveying God's sovereignty. Ultimately, this discussion invites contemplation on the nature of divine revelation and the specific lessons intended for both Pharaoh and the Israelites.","מכה  
אות  
אותות  
אלה  
פרעה  
משה  
חז""ל  
שינוי  
סוד  
קבלה"
