book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Shemot,0,7,"שמות שמות בני ישראל הבאים מצרימה את יעקב איש וביתו באו. יש לדקדק טובא , אומרו את יעקב מה משמיענו בזה הלא כבר ידענו שיעקב בא למצרים ובניו עמו. ב) למה שינה הכתוב דרכו דמתחלה קורא אותו ישראל ואח""כ יעקב. ג) אומרו איש וביתו באו מיותר,","The names of the sons of Israel who came to Egypt with Jacob, each man and his household, came. It is necessary to examine this well: what does the mention of Jacob teach us here? Did we not already know that Jacob came to Egypt with his sons? 2) Why does the text change its way, first calling him Israel and then Jacob? 3) The phrase ""each man and his household came"" is superfluous.","The passage reflects on the significance of the names ""Jacob"" and ""Israel"" in the context of the Israelites' descent into Egypt, emphasizing the duality of identity in the Jewish experience. It questions the choice of the name ""Jacob"" after initially referring to him as ""Israel,"" suggesting a deeper spiritual meaning behind this transition. The mention of ""a man and his household"" underscores the importance of family and community in the journey of faith, highlighting the collective nature of the Jewish people's relationship with God. Overall, the text invites contemplation on the complexities of identity and the communal aspects of spiritual life.","שמות  
בני ישראל  
מצרים  
יעקב  
איש  
בית  
דקדוק  
ישראל  
אחדות  
סוד"
Divrey Yoel,Shemot,0,8,"ד) רבה הבאים מצרימה, וכי היום באים והלא ימים רבים היו להם שבאו למצרים אלא כל זמן שהי' יוסף קיים לא היו להם משוי של מצרים, מת יוסף נתנו עליהם משוי, לפיכך כתיב הבאים כאילו אותו היום נכנסו למצרים, מבואר דמשמת יוסף התחיל השעבוד, ובפ ' ויחי פרש""י ז""ל למה פרשה זו סתומה, לפי שכשמת יעקב נסתמו עיניהם ולבם של ישראל מצרת השעבוד שהתחילו לשעבדם, ולהלן עה""פ וימת יוסף וכל אחיו וכל הדור ההוא דרשו רז""ל ללמדך שכל זמן שהי' אחד מהם קיים מאותן שירדו למצרים לא שיעבדו המצרים בישראל הרי לך ג' סתירות בדברי רז""ל בזמן התחלת השעבוד.","D) Many came to Egypt, and did they come today? Were there not many days for them to come to Egypt? Rather, as long as Joseph was alive, they did not have the burden of Egypt upon them. When Joseph died, they placed the burden upon them; therefore, it is written ""the coming"" as if they entered Egypt that very day. It is clear that from the moment Joseph died, the servitude began. And in Parashat Vayechi, Rashi, of blessed memory, explains why this section is closed: because when Jacob died, the eyes and hearts of Israel were closed to the distress of the servitude that began to oppress them. And further, regarding the verse ""And Joseph died, and all his brothers, and all that generation,"" our Sages expounded to teach you that as long as one of those who descended to Egypt was alive, the Egyptians did not enslave Israel. Here you have three contradictions in the words of our Sages regarding the time the servitude began.","The passage discusses the onset of the Israelites' enslavement in Egypt, emphasizing that it began only after the death of Joseph. It highlights that as long as Joseph was alive, the Israelites were not burdened by the Egyptians, suggesting a protective influence of righteous individuals. The text also notes that the death of Jacob led to a spiritual blindness among the Israelites, marking the beginning of their suffering. This reflects a Hasidic understanding of the connection between the presence of righteous leaders and the spiritual and physical well-being of their communities.","רב  
שעבוד  
יוסף  
מצרים  
עיניים  
לב  
ישראל  
יעקב  
דור  
רז""ל"
Divrey Yoel,Shemot,0,9,"ה) את יעקב כל אלו מכוחו של יעקב שסגל מצות ומעשים טובים וזכה להעמיד י""ב שבטים. ויש לתמוה דהפסוק בא לספר התחלת הגלות והשעבוד ואיך שייך לומר ע""ז שהוא בזכות יעקב, אדרבה בזכות יעקב זכו ישראל לישועה וגאולה, והו""ל להזכיר זכותו של יעקב אצל פסוקי הגאולה.","5) All of these [tribes] are from the strength of Jacob, who acquired the commandments and good deeds and merited to establish the twelve tribes. It is puzzling, for the verse comes to recount the beginning of the exile and servitude, and how can it be said that this is due to the merit of Jacob? On the contrary, it is through the merit of Jacob that Israel merited salvation and redemption, and it would have been appropriate to mention Jacob's merit in the verses of redemption.","The passage discusses the significance of Jacob's merit in establishing the twelve tribes of Israel through his good deeds and commandments. It raises a question about the connection between Jacob's righteousness and the onset of exile and oppression, suggesting that one might expect his merit to be associated with redemption rather than suffering. The text implies that Jacob's spiritual legacy is foundational for Israel's eventual salvation and redemption, highlighting the enduring impact of his virtues even in times of hardship.","יעקב  
מצות  
מעשים טובים  
י""ב שבטים  
גלות  
שעבוד  
ישועה  
גאולה  
זכות  
סגולה"
Divrey Yoel,Shemot,0,10,"ו) מלך חדש על מצרים אשר לא ידע את יוסף ובתרגום אונקלס פי' דלא מקיים גזירת יוסף וצ""ב ואינו מבואר ענין גזירה זו מהו.","""And a new king arose over Egypt who did not know Joseph, and in the translation of Onkelos it is explained that he did not uphold the decree of Joseph, and it is questioned what this decree is, and the matter of this decree is not clarified.""","The passage discusses the emergence of a new king in Egypt who did not recognize Joseph, symbolizing a departure from the legacy of divine providence and the covenant established through Joseph's leadership. This new ruler's failure to uphold Joseph's decree raises questions about the nature of divine decrees and their relevance in the face of changing circumstances. The text invites reflection on the continuity of faith and the challenges posed by new leadership that may disregard the foundational values of the past. Ultimately, it highlights the tension between human authority and divine will within the context of Jewish history.","מלך  
חדש  
מצרים  
יוסף  
גזירה  
אונקלס  
פי'  
לא  
ידע  
צ""ב"
Divrey Yoel,Shemot,0,11,"ולבאר הענין ולהשוות הג' זמנים הנ""ל שלא יהיו סותרין זה את זה, נקדים דברי רז""ל עה""פ ויעבידו מצרים את בני ישראל בפרך, פרש""י ז""ל בעבודה קשה המפרכת את הגוף ומשברתו , ובגמ' סוטה (י""א ע""א) בפרך בפה רך, פרש""י משכום בדברים ובשכר עד שהרגילום לעבודה. ובעלי התוס ' הביאו מדרש רז""ל עה""פ ערי מסכנות לפרעה, בתחלה אמר להם פרעה, לכל אחד מכם אני נותן שכר מכל לבנה שיעשה, ובאו כולן ודחקו עצמן מפני חימוד השכר ועשו יותר מדאי , וכוון שראה פרעה כך, אמר להם השלימו חקכם ללבון כאשר בהיות השכר נתן לכם והכי איתא נמי בגמ' (פסחים ל""ט ע""א) למה נמשלו מצרים למרור, לומר לך מה מרור זה תחלתו רך וסופו קשה, אף מצרים תחלתן רכה וסופן קשה, פרש""י בתחלה נשתעבדו להן ע""י שכר ששכרו אותן עיי""ש. ובמדרש הובא בבעלי תוס ' עה""פ לכו לסבלותיכם שבט לוי אמרו עתידין אנו לעבוד עבודת משא של הקב""ה, חלילה שלא נעבוד שום עבודה לרשע זה בשום שכר שיתן לנו, וענו הלוים ואמרו כולם שאינם יודעים לעשות לבנים, ומאותו היום והלאה לא הי' לו פתחון פה לשאול להם שום דבר עבודה עכ""ד המדרש, לכאורה ראוי להבין הרי לבסוף שעבד פרעה לישראל בכפי' ובכח גזירת המלכות, וכמו""כ הי' בידו להכריח את בני לוי לשעבד בהם ומדוע נמנע מעשות כן, ואין בזה טעם מספיק, מפני שבני לוי לא רצו לקבל עליהם בתחלה עבודתו של פרעה ברצונם, דלענין כפי' אין נפק""מ אם רצו או לא רצו, ואפשר להסביר עפי""ד הרמב""ן הק ' עה""פ הבה נתחכמה לו, וז""ל שלא ראה פרעה וחכמי יועציו להכותם בחרב, כי תהי' בגידה גדולה להכות חנם העם אשר באו בארץ במצות המלך הראשון וכו ', אבל אמר שיעשו דרך חכמה שלא ירגישו ישראל כי באיבה יעשו בהם, ולכך הטיל בהם מס, כי דרך הגרים בארץ להעלות מס למלך וכו' עכ""ל עיי""ש. ועד""ז התחכם שמתחלה נתן להם שכר, והיו ישראל עובדים עבודתו ברצונם להרויח שהיו נותנין עיניהם בממון, ועי""כ הי' לו פ""פ ושליטה, לשעבד בהם אח""כ, משא""כ שבע לוי שמעיקרא לא קבלו עבודתן, לא רצה להכריח אותם גם אח""כ לטעם הנ""ל.","To clarify the matter and to reconcile the three aforementioned times so that they do not contradict each other, we will begin with the words of our Sages on the verse ""And the Egyptians made the children of Israel serve with rigor."" Rashi explains that it refers to hard labor that breaks the body and crushes it. In the Gemara in Sotah (11a), it states that ""with rigor"" means with soft words, as Rashi explains, they would entice them with words and rewards until they became accustomed to the work. The Tosafists brought a Midrash from our Sages on the verse ""Cities of treasure for Pharaoh,"" that initially Pharaoh said to them, ""I will give each of you a reward for every brick you make,"" and they all pressed themselves due to their desire for the reward and worked excessively. When Pharaoh saw this, he said to them, ""Complete your decree to make bricks as you did when the reward was given to you."" It is also stated in the Gemara (Pesachim 39a) why the Egyptians are compared to bitter herbs, to tell you that just as this bitter herb starts off soft and ends hard, so too the Egyptians began soft and ended hard. Rashi explains that initially, they were enslaved by the reward they were given. In the Midrash, it is brought by the Tosafists on the verse ""Go to your burdens,"" that the tribe of Levi said, ""We are destined to serve the Holy One, Blessed be He, and God forbid that we should serve this wicked one for any reward he may give us."" And the Levites answered and said that they did not know how to make bricks, and from that day onward, Pharaoh had no opening to ask them for any work. 

At first glance, it is appropriate to understand that ultimately Pharaoh enslaved the Israelites by the decree and power of the monarchy, and similarly, he had the ability to compel the children of Levi to serve him, so why did he refrain from doing so? There is no sufficient reason for this, as the children of Levi did not want to accept Pharaoh's work willingly at first. Regarding compulsion, it makes no difference whether they wanted to or not. It is possible to explain according to the words of the Ramban on the verse ""Let us be wise with him,"" that Pharaoh and his wise counselors did not see fit to strike them with the sword, for it would be a great betrayal to strike the people who came to the land at the command of the first king, etc. Rather, he said they should act wisely so that the Israelites would not feel that they were being harmed, and therefore he imposed a tax on them, as it is the way of the strangers in the land to pay a tax to the king, etc. Thus, he cunningly initially gave them a reward, and the Israelites worked for him willingly to earn money, and through this, he had an opening and control to enslave them afterward. However, since the Levites did not initially accept his work, he did not want to compel them afterward for the aforementioned reason.","The passage discusses the initial enslavement of the Israelites by Pharaoh, emphasizing the deceptive nature of their labor, which began with the allure of reward but ultimately led to harsh oppression. It highlights the distinction of the Levites, who refused to accept Pharaoh's work willingly, thereby avoiding his control and manipulation. The text illustrates a theological insight into the nature of free will and divine providence, suggesting that true servitude should be directed towards God rather than earthly rulers. Ultimately, it reflects on the importance of intention and the spiritual implications of labor in the context of faith.","לבון  
עבודה  
שכר  
גזירת המלכות  
תחלת רך  
סוף קשה  
עבודת משא  
מס  
חכמה  
רצון"
Divrey Yoel,Shemot,0,12,"ואפשר לומר עוד טעם פנימי, מדוע לא שיעבדו המצרים בבני לוי בכפי', דהנה אף שהגלות היתה גזירה מן השמים, אבל לא בשעבוד קשה כ""כ, אלא שהמצרים העדיפו השעבוד והעינוי ולכך נענשו, והשיג פרעה שלא יוכל לשעבד בהם שעבוד קשה בלתי אם יחטיאם תחילה וכן עשה, וכמ""ש השלה""ק (מאמר מצה עשירה) וירעו אותנו המצרים שעשו אותנו רעים וחטאים לד' ולזה התחכם להמשיכם לדעתם ולדרכיהם בפה רך, כמש""כ רש""י ז""ל משכום בדברים ובשכר, גם נתן להם שררות ופטרונין , עד שנמשכו לדרכיהם הרעים לעבוד ע""ז והחטא גרם אח""כ לשעבד בהם שעבוד קשה בכפי' ובאונס, ולפי שמעיקרא התאוו תאוה להרויח ממון ע""כ אותו הרצון שיחדה אותם, דאין לך משוחד יותר ממי שמשוחד לתאוותיו ורצוניו , והשוחד יעור עיני חכמים, ולכן לא השיגו נכונה, שימשכו לדעתם עי""כ להחטיאם בע""ז, אבל שבט לוי לא רצו לקבל מהם שכר ולא נעשו משוחדים, וע""כ השיגו האמת מה שעתיד לצמוח מזה השכר, ולכך נמנעו מתחלה מלעבוד להם, ושוב לא הי' לכוחות הטומאה שליטה עליהם.","And it is possible to say another inner reason why the Egyptians did not enslave the children of Levi in such a manner. Behold, although the exile was a decree from Heaven, it was not with such a harsh servitude, but rather the Egyptians preferred the servitude and the affliction, and for this they were punished. Pharaoh realized that he could not impose upon them a harsh servitude unless he first caused them to sin, and so he did, as it is written in the Shlah HaKadosh (in the essay on Matzah Ashirah), ""And the Egyptians afflicted us,"" meaning they made us wicked and sinful before God. For this reason, he cunningly sought to lead them according to their desires and ways with soft words, as Rashi, of blessed memory, explains, ""He spoke to them in words and with rewards."" He also gave them authority and patronage, until they were drawn to their evil ways to serve idols, and sin later caused them to be subjected to harsh servitude in a manner of coercion and oppression. Since initially they desired to gain wealth, that very desire separated them, for there is no bribe greater than one who is bribed by his own desires and wants. And the bribe blinds the eyes of the wise, and therefore they did not perceive correctly that they would be led by their desires to sin with idolatry. However, the tribe of Levi did not wish to accept rewards from them and did not become corrupted by bribes. Therefore, they grasped the truth of what the reward that would arise from this would be, and thus they refrained from working for them from the beginning, and again, the forces of impurity had no control over them.","The passage discusses the unique status of the Levites during the Egyptian enslavement, emphasizing that their refusal to engage in hard labor stemmed from their spiritual integrity and rejection of material temptation. It suggests that the Egyptians preferred to impose harsh servitude, but their attempts to corrupt the Levites through rewards and idolatry were unsuccessful. The Levites' commitment to truth and their avoidance of bribery allowed them to remain free from the influence of impurity, ultimately protecting them from the harshness of slavery. This highlights the Hasidic belief in the power of spiritual resilience and the importance of maintaining one's values in the face of external pressures.","טעם פנימי  
גזירה  
שעבוד  
עינוי  
חטא  
רצון  
שוחד  
חכמים  
אמת  
כוחות הטומאה"
Divrey Yoel,Shemot,0,13,"והנה הכלל הוא שהסיבה הגורמת נחשבת כמעשה וע""ד שכתב הב""י ( באו""ח סי' תר""ד) לפרש אמרם ז""ל (ר""ה ט.) כל האוכל ושותה בתשיעי מעלה עליו הכתוב כאילו התענה תשיעי ועשירי, וז""ל מדכתיב בערב ע""כ לא מקפיד אעינוי דט ', והכי משמע קרא כלומר התקן עצמך בט' שתוכל להתענות בעשירי, ומדאפקה קרא בלשון עינוי ילפינן דהרי הוא כאילו התענה בט' עכ""ד, מבואר שהאכילה בתשיעי על שהוא סיבה והכנה המסייעתו להתענות בעשירי נחשבת ג""כ כאלו התענה, ועד""ז לענינינו דמה שהתחילו לעבוד בשביל ממון גרם שעבודם אח""כ, א""כ גם זמן ההוא שעבדו בשכר נכלל בזמן השעבוד כי דין גרמא בנזקין להשתעבד בהם אח""כ באונס, ולפי""ז אין סתירה בזמן השעבוד, דכ""ז שהי' יע""א קיים השפיע והאציל מאור קדושתו על כל ישראל ע""כ לא התאוו תאוה להשפעת הממון של המצריים, והשיגו וראו את הנולד מה שעתיד לצמוח מזה אם יסכימו לעבוד בשכר, אבל אחר הסתלקות יע""א נחלש כח הקדושה, ונתעורר אצלם הרצון להרויח ממון ולעבוד אצל המצריים בשכר, ועל כי היו משוחדים אל התאוה לא ראו את הנולד כי השוחד יעור , אולם יוסף הצדיק שהי' מלך ומושל עליהם ועל המצריים, לא הניחם לעבוד אף בשכר כי ראה את העתיד לצמוח מזה. ע""כ גזר שלא יעבדו עבודת המצריים אף בשכר.","And behold, the principle is that the cause that brings about is considered as an action, and according to what the Ba'al HaTurim wrote (Orach Chaim 584) to explain the words of our Sages (Rosh Hashanah 9), ""Anyone who eats and drinks on the ninth, the verse considers it as if he fasted on the ninth and tenth,"" as it is written, ""in the evening,"" therefore he is not particular about the fasting of the ninth. And this is the meaning of the verse, that one should prepare oneself on the ninth so that he can fast on the tenth. And since the verse uses the language of fasting, we learn that he is as if he fasted on the ninth. Thus it is clear that eating on the ninth, as it is a cause and preparation that assists him to fast on the tenth, is also considered as if he fasted. Similarly, in our matter, that the fact that they began to work for money caused their subsequent servitude, therefore even that time they worked for wages is included in the time of servitude, because the law of causation in damages applies to be enslaved by them later in a case of coercion. According to this, there is no contradiction in the time of servitude, for as long as Joseph was alive, he influenced and bestowed from the light of his holiness upon all of Israel, therefore they did not desire the allure of the wealth of the Egyptians, and they understood and saw the outcome of what would sprout from this if they agreed to work for wages. But after the departure of Joseph, the power of holiness weakened, and the desire to earn money and work for the Egyptians for wages was awakened within them. And because they were blinded by the desire, they did not see the outcome, for bribery blinds the eyes. However, Joseph the righteous, who was king and ruler over them and over the Egyptians, did not allow them to work even for wages because he saw the future that would sprout from this. Therefore, he decreed that they should not work the work of the Egyptians even for wages.","The passage discusses the concept that actions taken in preparation for a spiritual state are considered significant in themselves, as illustrated by the idea that eating on the ninth of Tishrei is akin to fasting on the tenth. It emphasizes that the initial desire for material gain led the Israelites into servitude, but during the presence of divine influence, they were not tempted by the allure of Egyptian wealth. After the departure of this divine presence, their spiritual strength weakened, leading to a desire for monetary gain. Joseph, recognizing the potential consequences of their labor for the Egyptians, prohibited them from working even for pay, highlighting the importance of maintaining spiritual integrity over material temptation.","סיבה  
עינוי  
קדושה  
תשיעי  
עשירי  
שעבוד  
מאור  
תאוה  
שוחד  
יוסף הצדיק"
Divrey Yoel,Shemot,0,14,"נמצא דבני עלי' ושבע לוי שהשיגו ירידת מדרגתם של ישראל, שבשביל הרווחת ממון רוצים לעבוד למלכות הרשעה, ושמזה יומשך אח""כ השעבוד. הם הרגישו בחי' השעבוד מיד בהסתלקות יעאע""ה , ואף שלא עבדו ישראל עדיין עבודת המצריים בפועל, דכ""ז שיוסף קיים גזר עליהם ועל המצריים שימנעו מזה, אבל עצם ידיעה זו שישראל מתאוים לזה בשביל הרווחת ממון הי' להם שעבוד רוחני, גם השיגו שאם יוסר כח המונע אחר הסתלקות יוסף הצדיק לא יקיימו עוד גזירת יוסף וסופם להשתעבד בהם, ולכן נחשב להם מיד להתחלת השעבוד, אולם השעבוד הי' רק בכח ולא בפועל, אבל כשנסתלק יוסף הצדיק הוסר מהם כח המושל, כי להשבטים לא הי' כח הממשלה ומי שרצה להרויח ממון לא מנע את עצמו מזה אחר פטירת יוסף, ועי""כ התחיל השעבוד בפועל, אלא שעדיין לא עבדו רק בשכר, דכ""ז שהיו השבטים הקדושים וכל הדור ההוא קיימים היו המצריים בושים לשעבד בהם בכפי', ואחר שנסתלק יוסף וכל אחיו וכל הדור ההוא נסתלקה הבושה מהם והתחילו לשעבד בהם בכפי' בלא שכר, ומעתה כל אלו הזמנים שארז""ל בהתחלת השעבוד כולן איתנייהו , אלא שכל א' בחינתו שונה מחבירו ואין בהם סתירה.","It is found that the sons of Eli and the seven Levites who perceived the decline of the status of Israel, that for the sake of monetary gain they wished to serve the wicked kingdom, and from this would subsequently follow the servitude. They felt the aspect of servitude immediately upon the departure of our father Jacob, and although Israel had not yet actually served the Egyptians, as long as Joseph was alive he decreed upon them and upon the Egyptians that they should refrain from this, yet the very knowledge that Israel desired this for the sake of monetary gain was for them a spiritual servitude. They also understood that if the power of prevention were to be removed after the departure of Joseph the Righteous, they would no longer uphold Joseph's decree, and their end would be to be enslaved by them. Therefore, it was considered for them immediately the beginning of the servitude, although the servitude was only in potential and not in actuality. However, when Joseph the Righteous departed, the power of the ruler was removed from them, for the tribes did not have the power of government, and whoever wished to gain wealth did not refrain from this after the passing of Joseph. Thus, the servitude began in actuality, but they had not yet worked except for wages, as long as the holy tribes and that entire generation were alive, the Egyptians were ashamed to enslave them forcibly. But after Joseph and all his brothers and that entire generation departed, the shame was removed from them, and they began to enslave them forcibly without wages. From now on, all those times that our sages of blessed memory spoke of at the beginning of the servitude are all present, but each one in its own aspect is different from the other, and there is no contradiction among them.","The passage discusses the spiritual decline of the Israelites, highlighting their desire for material gain which led them to consider serving the oppressive Egyptian regime. The departure of Joseph, who had protected them, marked the beginning of their actual subjugation, as the fear of shame that had previously restrained the Egyptians was removed. This transition from potential to actual servitude illustrates a deeper theological insight into the consequences of spiritual disconnection and the loss of divine protection, emphasizing that the nature of their bondage varied over time but was fundamentally rooted in their own choices and desires.","דבני  
מדרגה  
שעבוד  
רוחני  
יוסף הצדיק  
גזירה  
כח המונע  
השבטים  
בושה  
מלכות הרשעה"
Divrey Yoel,Shemot,0,15,"ועד""ז יל""פ דברי התרגום אונקלס עה""פ אשר לא ידע את יוסף די לא מקיים גזירת יוסף ולדרכנו ר""ל דיוסף גזר על המצריים שלא יעבידו בבני ישראל אפי' בשכר, וגם על ישראל גזר שלא יקבלו עליהם עבודתם של המצרים, ואחר הסתלקות יוסף הצדיק קם מלך חדש די לא מקיים גזירת יוסף הנ""ל והתחיל לעבוד בהם בשכר כדי להמשיכם לתועבת מצרים. וזה יהי' סיבה אח""כ להכריחם ולשעבדם בכפי', ובזה יבואר דברי המדרש הנ""ל ( בקושיא ד') כ""ז שהי' יוסף קיים לא הי' להם משוי של מצרים, מת יוסף נתנו עליהם משוי, לפיכך כתיב הבאים כאילו אותו יום נכנסו למצרים, דהתחלת השעבוד בפועל הי' משמת יוסף כנ""ל, וע""כ נחשב להם כאילו אותו יום נכנסו למצרים.","And similarly, it can be explained regarding the words of the translation of Onkelos on the verse ""who did not know Joseph,"" that he did not uphold the decree of Joseph. According to our way of understanding, Joseph decreed upon the Egyptians that they should not work the children of Israel, even for wages, and he also decreed upon Israel that they should not accept the labor of the Egyptians. After the passing of Joseph the righteous, a new king arose who did not uphold the aforementioned decree of Joseph and began to work them for wages in order to draw them into the abomination of Egypt. This would later be the reason to compel them and enslave them harshly. This clarifies the words of the aforementioned Midrash (in the question) that as long as Joseph was alive, they did not have the burden of Egypt upon them; when Joseph died, they placed a burden upon them. Therefore, it is written ""the coming"" as if on that very day they entered Egypt, for the beginning of the actual enslavement was from the time Joseph died, as mentioned, and thus it is considered as if on that day they entered Egypt.","The passage discusses the significance of Joseph's leadership and the subsequent oppression of the Israelites in Egypt after his death. It emphasizes that Joseph had decreed that the Egyptians should not enslave the Israelites, even for wages, but after his passing, a new king arose who disregarded this decree and began to exploit the Israelites. This shift marked the beginning of their actual enslavement, illustrating the theological concept that the absence of righteous leadership can lead to spiritual and physical bondage. The text highlights the idea that the Israelites' entry into Egypt and their suffering began with the death of Joseph, symbolizing a loss of divine protection and guidance.","גזירה  
שעבוד  
תועבת  
משוי  
יוסף  
מלך חדש  
עבודת פרך  
תרגום  
צדיק  
מצרים"
Divrey Yoel,Shemot,0,16,"ונקדים דברי הזוה""ק (שמות ב' ע""ב) מה כתיב ואלה שמות בנ""י וגו' כיון דכתיב בנ""י מהו את יעקב, הבאים אתו אצטרך למימר , אלא אלה שמות בנ""י אינון רתיכין ומשריין עילאין דנחתו עם יעקב בהדי שכינתא בגלותא דמצרים עכ""ד הזוה""ק , ופי' בהג ' מהרח""וו ז""ל עם יעקב בהדי שכינתא , שהשכינה נקראת יעקב עכ""ל, וירמוז עוד בשם יעקב עפי""ד ק""ז זלה""ה בתפלה למשה עה""פ לולי ד' שהי' לנו יאמר נא ישראל, שיש עוד טעם על אמירת יעקב, כי היו""ד אות משמו יתברך, ויעקב הוא לשון שפלות רומז על הגלות, ור""ל שבגלות ג""כ ד' אתנו, ובכל צרתם של ישראל לו צר כביכול עייש""ד , וזה ירמוז כאן את יעקב איש וביתו באו, שבאו עמו שכינתא ופמלי ' דילי' כמו שפי' בזוה""ק , ובכח זה נתקיימו ישראל בקדושתן וזכו להגאל משם, וז""ש במדרש את יעקב כל אלו מכוחו של יעקב שסגל מצות ומעשים טובים, ר""ל בכח זכותו ומידתו ירדה שכינה הק ' עמהם למצרים, גם כי שם יעקב ירמוז על בחינה זו כנ""ל, וכמו""כ בכל הגליות כביכול עמנו בצרה. והוא שעמדה לנו, ולולי זאת לא הי' נשאר ח""ו שריד ופליט אחר כל המאורעות שעברו עלינו, ובכח זה נשאר לנו בחי' קדושה, אעפ""י שזעיר הוא מאוד מ""מ השתלשלות הקדושה לא נפסק, וממנה תתרחב ותתפשט עד שימלא הארץ דעה את ד' ונזכה לגאולה שלימה בהתגלות כבוד שמים עלינו במהרה בימינו אמן.","And we will precede with the words of the Zohar (Shemot 2:72) regarding what is written, ""And these are the names of the children of Israel,"" etc. Since it is written ""the children of Israel,"" what is the meaning of ""with Jacob""? It is necessary to say that these are the names of the children of Israel, they are the righteous and the elevated ones who descended with Jacob alongside the Shechinah in the exile of Egypt, thus says the Zohar. And the explanation in the commentary of the Mahra""ch is that ""with Jacob alongside the Shechinah,"" for the Shechinah is called Jacob. And it hints further in the name Jacob according to the verse (Psalms 124:1) in the prayer of Moses, ""If it had not been for the Lord who was with us, let Israel now say,"" that there is another reason for mentioning Jacob, for the letter Yud is a letter from His blessed name, and Jacob is a term of humility, hinting at the exile, meaning that in the exile, too, the Lord is with us, and in all the troubles of Israel, He is not troubled, as it were. This hints here that Jacob and his household came, that the Shechinah came with him and his family, as explained in the Zohar. And through this, Israel was sustained in their holiness and merited to be redeemed from there. This is what is said in the Midrash, ""To Jacob, all these are by the power of Jacob who acquired commandments and good deeds,"" meaning that by the merit of his righteousness and his attribute, the Holy Shechinah descended with them to Egypt. Also, the name Jacob hints at this aspect as mentioned, and likewise in all the exiles, as it were, He is with us in trouble. And this is what has stood for us, and were it not for this, there would not have remained, Heaven forbid, a remnant or survivor after all the events that have befallen us. And by this, we have retained a measure of holiness, even though it is very small, nevertheless, the chain of holiness has not been interrupted, and from it, it will expand and spread until the earth is filled with the knowledge of the Lord, and we will merit complete redemption with the revelation of the glory of Heaven upon us speedily in our days, Amen.","The passage discusses the connection between the Jewish people and the Divine Presence (Shekhinah) during their exile in Egypt, emphasizing that the Shekhinah accompanies them, symbolized by the name Jacob, which represents humility and the experience of suffering. It highlights that despite the challenges faced, the merit of Jacob and the observance of commandments sustain the Jewish people's sanctity and connection to God. The text asserts that this divine presence is crucial for their survival and eventual redemption, reinforcing the belief that God is with them in their suffering. Ultimately, it expresses hope for a complete redemption and the revelation of God's glory in the future.","שכינה  
יעקב  
קדושה  
גאולה  
זכות  
מצות  
מעשים טובים  
גלות  
דעת  
הארץ"
