book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Divrey Yoel,Va'era,0,0,"ואראאלקיםאל משה ויאמר אליו אני ד'. דקדקו המפורשים מ""ט התחיל הכתוב בשםאלקיםמדה""דובלשון דיבור קשה, וסיים ויאמר אליו אני ד' שם של רחמים ואמירה לשון רכה, ורש""י ז""ל פי' דבר אתו משפט על שהקשה לדבר ולומר למההרעותהוגו' ויאמר אליו אני ד' נאמן לשלם שכר טוב וכו'וצ""בדלפי""זהמה ב' דברות סמוכיםזל""ז,וה""זמקרא קצר ולא נתבאר כוונת הדיבור והקישור בין שניהם,ובמד""ר(פ' ו' סי' א') נתבאר יותר לפי שאמר למההרעותהוגו' על דבר זה בקשהמדה""דלפגוע במשההה""דוידבראלקיםאל משה, ולפי שנסתכל הקב""ה שבשביל צער ישראל דבר כן חזר ונהג עמובמדתהרחמים,הה""דויאמר אליו אני ד' עכ""ד המדרש,וצ""בדהלאהבוי""תמסתכל בסוף דבר בקדמותו, ומעיקרא ידעדבשבילצערן של ישראל דיבר כך, ומהו זה שאמרו חזר ונהג עמובמדתהרחמים, ולא שייך חזרה לפניוית'.","And God appeared to Moses and said to him, ""I am the Lord."" The commentators have noted that the verse begins with the name of God, which is a measure of strict judgment, and ends with ""I am the Lord,"" a name of mercy and a gentle expression. Rashi, of blessed memory, explained that He spoke with him a judgment for having been difficult to speak and say, ""Why have You done evil to this people?"" and He said to him, ""I am the Lord,"" faithful to reward good, etc. According to this, what is the connection between the two statements that are adjacent to each other? This is a brief verse, and the intent of the speech and the connection between them is not explained. In the Midrash (Parashat Va'eira, section 1), it is explained further, as it says, ""Why have You done evil to this people?"" Regarding this, the measure of strict judgment sought to confront Moses. And since the Holy One, blessed be He, saw that because of the suffering of Israel, He spoke this way, He returned and acted with them according to the measure of mercy, as it says, ""And He said to him, 'I am the Lord.'"" Thus far the Midrash. And it is difficult to understand why it looks at the end of the matter in its beginning, and initially, it is known that it was because of the suffering of Israel that He spoke this way. What does it mean that they said He returned and acted with them according to the measure of mercy, and it is not appropriate to say ""returned"" before Him?","In this passage from Sefer Divrey Yoel, the dialogue between God and Moses highlights the duality of divine attributes, contrasting the strictness of ""Elohim"" with the compassion of ""YHWH."" The text emphasizes that God's initial harshness in addressing Moses was a response to the suffering of the Israelites, but ultimately, God returned to a mode of mercy. This reflects a key Hasidic concept of the interplay between justice and compassion, illustrating that divine communication is influenced by the plight of the people. The passage underscores the importance of understanding God's actions in the context of human suffering and the divine promise of reward for faithfulness.","אלוקים  
דיבור  
רחמים  
שכר טוב  
מדת הדין  
מדת הרחמים  
צער ישראל  
קדמות  
חזרה  
קישור"
Divrey Yoel,Va'era,0,1,"ב)דרשובמד""ר(פ' ו' סי' ב') ר""יב""רחנינאאמראלקיםעל המצרים: אני ד' על ישראל, ופי'היפ""תאלקיםעל המצרים שיבוא בדין עליהם. אני ד' על ישראל לרחם עליהם כנגד מה שהרעו להם לישראל,וצ""בדמצרייםמאןדכרשמי', ולפי פשוטו נאמר דיבור זה למשה, גםלפי""זאין לו קישור לא לפרשה של מעלה למההרעותהוגו' ולא לפרשהשלאחרי'.","In the Midrash (Parashat Va'era, Section 2), Rabbi Chaninah said: ""God said to the Egyptians: I am the Lord over Israel, and I will bring judgment upon the Egyptians. I am the Lord over Israel to have mercy on them, in contrast to the evil they have done to Israel. And concerning the Egyptians, who is it that remembers My name? According to its simple meaning, this statement was said to Moses, and therefore it has no connection to the section above regarding the evil they have done, nor to the section that follows.""","The passage discusses the relationship between God and Israel, emphasizing God's compassion towards His people in contrast to the judgment that falls upon their oppressors, the Egyptians. It highlights the idea that God's mercy for Israel is a response to the suffering they endured, suggesting a deep connection between divine justice and mercy. Additionally, it notes that this message was conveyed to Moses, indicating a direct communication of God's intentions and the significance of His name in the context of Israel's redemption.","דיבור  
רחמים  
דין  
ישראל  
מצרים  
אלקים  
פרשה  
קישור  
הרהור  
שמות"
Divrey Yoel,Va'era,0,2,"ג)איתא (רמז קע""ו) וידבראלקיםאל משה וגו'זש""ה(תהלים נ') שמעה עמי ואדברה ישראל ואעידה בךאלקיםאלקיךאנכי,א""רפנחס הכהן ברחמאאמר הקב""ה למשה בשביל שקראתי אותךאלקיםשנא' ראהנתתיךאלקיםלפרעה,אלקיךאני ולכך נאמר וידבראלקיםאל משה עכ""ד המדרש,וצ""ב.","3) It is stated (Remez 196) ""And God spoke to Moses, etc."" as it is written (Psalms 50) ""Hear, O My people, and I will speak; O Israel, and I will testify against you, I am God, your God."" Rabbi Pinchas the priest said in mercy: The Holy One, Blessed be He, said to Moses, ""Because I have called you 'God,' as it is written, 'See, I have made you a god to Pharaoh,' I am your God, and therefore it is said, 'And God spoke to Moses.'"" Thus far the Midrash, and it requires further explanation.","In this passage from Sefer Divrey Yoel, the author highlights the profound relationship between God and Moses, emphasizing that God refers to Moses as ""Elokim"" (God) in recognition of his elevated spiritual status. This designation signifies Moses' role as a mediator between God and the Israelites, reflecting the deep connection and responsibility he bears. The text underscores the idea that divine communication is not merely a transmission of information but an intimate dialogue that elevates the recipient. Ultimately, it illustrates the concept of divine empowerment, where Moses is entrusted with the mission to lead and guide the people, embodying the divine presence among them.","אלקים  
משה  
ישראל  
אדברה  
עדי  
רמז  
ברחמא  
הקב""ה  
פרעה  
תהלים"
Divrey Yoel,Va'era,0,3,"ויתבארבהקדםמ""שק""זהיש""מזלל""הבפ' שמות לפרש דבריהילקו""שבשלח (רמז רל""ד) והמים להם חומה, חמה כתיב שנתמלא עליהם הים חמה להטביעןוכו', מיד אותה חמה שנתמלא על ישראל החזירו על מצרים,הה""דוישבו המים ששבו מישראל על מצרים, ולכאורה תמוה וכי יעבידקוב""הדינאבלאדינאח""ו,דחימהשל ישראל יהי' על מצרים, הלא די להם בשלהםוק""לאמונה ואין עול, אבל יובן כפשוטועפי""דהמדרש שטען שר של מצרים מהנשתנואלו מאלו הללועוע""זוהללו עובדי ע""ז, והשיבית' וכי לדעתם עבדוה, והלא לא עבדוה אלא מתוך שעבוד ומתוך טירוף הדעת, ואתה דן שוגג כמזיד ואונס כרצוןוכו', וידועמ""שהשלה""קוירעו אותנו המצרים וגו' שעשו אותנו רעים וחטאים,ועפי""זיבוא על נכון המדרש הנ""ל,דאותהחמה החזיר על המצריים, כי הם הגורמים וישראל אנוסים עכת""דהק', ולכאורה עדיין ראוי להבין למה הי' הצורך להשתמשבחימהשל ישראל, וכי לא הי' מספיק בשלהם,ובל""סראויים היו המצרים למדת עונשם גם בשבילעוונותםשעבדו ע""ז ועוד הרבה רעות שעשו.","And it will be explained in advance regarding what is written, ""This is the sign of the Mazal"" in Parashat Shemot, to explain the words of the Midrash in Beshalach (Remez 274) that ""the waters were a wall for them,"" it is written that the sea was filled with heat to drown them, etc. Immediately, that heat which was filled upon Israel was returned upon Egypt, as it is said, ""And the waters that returned from Israel upon Egypt."" And at first glance, it is puzzling: how could the Holy One, blessed be He, act in judgment without judgment? That the heat of Israel should be upon Egypt? Surely they have enough of their own, and there is no burden, but it can be understood simply and according to the Midrash that claims that the Egyptians were not like these, but rather these are idol worshippers, and ""I will return it,"" and did they serve it according to their understanding? They did not serve it except out of servitude and out of madness, and you judge a mistake as if it were intentional and coercion as if it were willful, etc. And it is known from what is written, ""The Egyptians did evil to us,"" etc., that they made us wicked and sinful. And according to this, the aforementioned Midrash will come to be understood correctly, that the same heat was returned upon the Egyptians, for they are the cause, and Israel is coerced, thus far the quote. And at first glance, it is still necessary to understand why there was a need to use the heat of Israel; was it not enough with their own? And certainly, the Egyptians were deserving of their measure of punishment also for their sins of idol worship and many other evils they committed.","The passage discusses the concept of divine justice, highlighting that the anger directed at the Egyptians during the Exodus was a reflection of the suffering endured by the Israelites. It emphasizes that the Egyptians' actions, rooted in idolatry and oppression, warranted their punishment, yet the use of Israel's anger in this divine retribution raises questions about the necessity of such a measure. The text suggests that the Israelites were coerced into sin by their oppressors, thus framing their suffering as a mitigating factor in the divine judgment against Egypt. Ultimately, it underscores the complexity of divine justice, where the motivations and circumstances of both the oppressed and the oppressors are taken into account.","חומה  
חמה  
מצרים  
ע""ז  
שוגג  
מזיד  
אונס  
חטאים  
עונש  
שעבוד"
Divrey Yoel,Va'era,0,4,"ואפשרלתרץעפימ""שבמתני' (סוטה דף כ' ע""א) יש זכות תולה ב' שנים. יש זכות תולה ג' שנים, ובגמ' שם רצו ללמדה מפסוקדכתיבגבי אדום (עמוס א') כה אמר ד' על שלשה פשעי אדום וגו', ומסיק דאין ראי' לדבר אלא זכר לדבר,דדלמאשאני עכו""ם דלא מפקידדינאעלייהועכ""דהגמ'ופרש""יאיןממהריןמן השמים לפקודעונותםעליהם בעוה""ז, אבל מישראלממהריןליפרעבעוה""זומדקדקיןאחריהם, ובזה יבואר דברי מדרש הנ""לדאותהחמה שנתמלא על ישראל החזירו על מצרים אע""פ שגם הם עבדו ע""ז וראויים היו לעונש, אבל עכו""ם לא מפקדדינאעלייהוואיןממהריןלהפרעמהם מידת ענשם, ואפשר הטעם כדי שיקבלו מדת שכרם עבור הטוב המגיע להם, וכשנתמלא סאתם הקב""ה פורע מהם, אבל לפי שהי' שליטת הדיןוהחימהעל ישראל, והמצריים היו הגורמים ומחטיאים אותם, ע""כ נמדד להםבמדתםשל ישראלשמדה""דממהרתלהפרעמהםומדקדקיןאחריהםכפרש""יז""ל.","And it is possible to explain according to what is stated in the Mishnah (Sotah 20a) that there is a merit that is suspended for two years. There is a merit that is suspended for three years, and in the Gemara there, they wanted to learn it from the verse written regarding Edom (Amos 1): ""Thus says the Lord: For three transgressions of Edom, and for four, I will not revoke it,"" and it concludes that this is not a proof to the matter but rather a reminder of the matter, for perhaps it is different with idolaters who do not have their judgment upon them, and thus the Gemara explains, and Rashi explains that they are not hastened from Heaven to exact their sins upon them in this world, but with Israel, they are hastened to exact in this world and are meticulous after them. And this will clarify the words of the aforementioned Midrash regarding the heat that was filled against Israel; it returned upon Egypt even though they also served idols and were deserving of punishment, but the idolaters do not have their judgment upon them, and they are not hastened to exact from them their measure of punishment. And perhaps the reason is so that they may receive their measure of reward for the good that is due to them, and when their measure is full, the Holy One, blessed be He, exacts from them. However, since the judgment and the heat were upon Israel, and the Egyptians were the causes and the ones who led them astray, therefore they were measured by the measure of Israel, which is that the judgment is hastened to exact from them and is meticulous after them, as Rashi, may his memory be blessed, explains.","The passage discusses the concept of divine justice and the differing treatment of Israel and the nations regarding punishment for sins. It highlights that while the nations may not be immediately held accountable for their transgressions, Israel faces swift retribution due to their covenantal relationship with God. This reflects a deeper theological insight into the nature of divine mercy and justice, where Israel's suffering is seen as a consequence of their unique responsibilities and the influence of external forces, such as the Egyptians, on their spiritual state. Ultimately, it emphasizes the idea that God's judgment is measured and purposeful, allowing for the nations to receive their due reward before facing consequences.","זכות  
עונש  
מידת הדין  
שכר  
סאתם  
הקב""ה  
חימה  
עכו""ם  
מדרשים  
ע""ז"
Divrey Yoel,Va'era,0,5,"ומעתהיתבארו ב' המדרשים הנ""ל, ושניהם על קוטב א' נאמרו, והואדבקשהמדת הדין לפגוע במשה על שהקשה לומר למההרעותה, והגם שבשביל צערן של ישראל דבר כן, אבל לפי מידת גדלו וצדקתו הי' בזה פגם קצת ע""דוסביביונשערה מאוד, אולם לפי שהמצריים היו הגורמים לצערן של ישראל, והם אשר סובבולמדה""דשיחול, ע""כ בדין הוא שאותוהחימהומדה""דפגעה בהם במצרים, וזה לעומת זה נהג הקב""ה עם ישראלבמדתהרחמיםוז""שבמדרשאלקיםעל מצרים, אני ה' על ישראל, ומעתה א""ש קישור דרשתם ז""ל עה""פ וידבראלקיםאל משה.","And from now on, the two aforementioned midrashim will be clarified, and both were said regarding one pole, which is that the attribute of judgment sought to strike Moses for questioning why He was causing harm, and although it was due to the suffering of Israel that this was said, according to the measure of his greatness and righteousness, there was a slight flaw in this, akin to a very strong whirlwind. However, since the Egyptians were the cause of Israel's suffering, and they were the ones who brought about the attribute of judgment to descend, therefore it is just that the heat and the attribute of judgment struck them in Egypt. Thus, the Holy One, Blessed be He, dealt with Israel with the attribute of mercy, as it is stated in the midrash regarding God’s relationship with Egypt, ""I am the Lord concerning Israel."" And from now on, I will explain the connection of their teaching regarding the verse ""And God spoke to Moses.""","The passage discusses the tension between divine justice and mercy, particularly in the context of Moses questioning God about the suffering of the Israelites. It highlights that while Moses' inquiry reflects a slight imperfection due to his elevated status, the suffering of the Israelites is ultimately a result of the Egyptians' actions. Consequently, God's justice is manifested in punishing the Egyptians, while He extends mercy to the Israelites, illustrating the balance between these two divine attributes. This dynamic is further emphasized through the interpretation of the biblical verse where God speaks to Moses, reinforcing the connection between divine communication and the themes of justice and mercy.","מידת הדין  
מידת הרחמים  
קוטב  
פגם  
צדקה  
צער  
חימה  
שיחול  
הקב""ה  
אלקים"
Divrey Yoel,Va'era,0,6,"ועד""זיתבאר קישור הכתוב וידבראלקיםאל משה ויאמר אליו אני ד', שנתעוררמדה""דעל משה בשביל שאמר למההרעותהומקושר לפרשה שלמעלה הימנו אלא בשביל שהמצרים גרמו לזה ע""י שציערו את ישראל, ע""כ חזרהמדה""דעל המצריים ומדת הרחמים על ישראל, ובזה יתבאר דברי הילקוט הנ""ל אמר הקב""ה למשה בשביל שקראתי אותךאלהיםשנא' ראהנתתיךאלהיםלפרעה, ר""ל להמשיך מדת הדין על פרעה ועל מצרים, ע""כאלקיךאני שנא' וידבראלקיםאל משה, ונתעוררמדה""דעל משה כדי להחזירו על ראש מצרים, שהם היו הגורמים להחטיאם ומגיע להםמדינאכנ""ל.","And similarly, it explains the connection of the verse ""And God spoke to Moses and said to him, I am the Lord,"" that the attribute of judgment was aroused against Moses because he said, ""Why have You done evil to this people?"" This is connected to the section above it, but it is because the Egyptians caused this by oppressing Israel. Therefore, the attribute of judgment returned upon the Egyptians and the attribute of mercy upon Israel. In this, the words of the aforementioned Yalkut will be clarified: The Holy One, Blessed be He, said to Moses, ""Because I called you 'God,'"" as it is said, ""See, I have made you a god to Pharaoh,"" meaning to extend the attribute of judgment upon Pharaoh and upon Egypt. Therefore, ""And God spoke to Moses,"" and the attribute of judgment was aroused against Moses in order to return it upon the head of Egypt, for they were the ones who caused them to sin, and they deserve the aforementioned judgment.","The passage discusses the relationship between divine justice and mercy in the context of Moses' role in confronting Pharaoh. It emphasizes that God's communication with Moses is linked to the suffering of the Israelites caused by the Egyptians, which triggers divine judgment against them. The text highlights that Moses is called ""God"" to Pharaoh, symbolizing the imposition of divine justice upon the oppressors, while simultaneously reflecting God's compassion for the suffering Israelites. This interplay of attributes illustrates the complexity of divine governance in response to human actions.","מדה""ד  
מדת הרחמים  
הקב""ה  
אלהים  
פרעה  
מצרים  
חטא  
תשובה  
קישור  
הילקוט"
Divrey Yoel,Va'era,1,7,"וידבראלקיםאל משה ויאמר אליו אני ה', פי' רש""י ז""ל דבר אתו משפט על שהקשה לדבר ולומר למההרעותהלעם הזה, לכאורה יש להפליא דהרי משה רבינו הי' מובחר היצורים ולגודל מדריגת קדושתו אין חקרוהי""לאימהופחד ורעדה מהקב""ה יותר מכל הברואים שבעולם, ואיך דיברמרע""הלפני הקב""ה דברים קשים כאלה, ואף לפני מלךב""ולא יאות לומר כןומכ""שלפניממ""ההקב""ה, גם צ""ב הקישור בשאלתו למה זה שלחתנילמ""שלמההרעותהלעם הזה.","And God spoke to Moses and said to him, ""I am the Lord."" Rashi, may his memory be blessed, explains that He spoke to him a judgment for having the audacity to speak and say, ""Why have You done evil to this people?"" It is indeed astonishing, for our teacher Moses was the choicest of creations, and due to the greatness of his holiness, there is no end to the awe, fear, and trembling he had before the Holy One, blessed be He, more than all the creations in the world. How then did he speak such harsh words before the Holy One, blessed be He, and even before a king, where it is not fitting to say such things? Furthermore, the connection in his question, ""Why have You sent me?"" regarding ""Why have You done evil to this people?"" is also puzzling.","In this passage from Sefer Divrey Yoel, the dialogue between God and Moses highlights the tension between Moses' elevated spiritual status and his bold questioning of God's actions regarding the suffering of the Israelites. The text reflects on the paradox of a revered leader expressing doubt and concern before the Divine, emphasizing the complexity of faith and the human experience of grappling with divine justice. This interaction underscores key Hasidic themes of the relationship between the individual and God, where questioning can be seen as a form of deep engagement with the Divine. Ultimately, it invites contemplation on the nature of divine providence and the role of human agency in the face of suffering.","אלקים  
משה  
קדושה  
אימה  
פחד  
רעדה  
ברואים  
מלך  
שאלה  
קישור"
Divrey Yoel,Va'era,1,8,"ונל""פבהקדם מה שפירשתי (פ' לך עמוד של""ד)במאמה""כבמה אדע כיאירשנהוגו'פירש""ילא שאל לו אות על בשורת הזרע אבל על ירושת הארץ שאל לו אות ואמר לו במה אדע כיאירשנה, והקשה הרמב""ן ז""ל למה שאל אות בירושת הארץ ובנתינת זרע לא שאל אות עיי""ש תירוצו, עוד פי'רשיז""לד""א במה אדע לא שאל לו אות, אלא אמר לפניו הודיעני באיזה זכות יתקיימו בה, א""ל הקב""ה בזכותהקרבנות, ולכאורה קשה להעמיס זאת בלשון הכתוב במה אדע כיאירשנה. שמשמעותו מורה על הידיעה בעצם ההבטחה אם תתקיים ולא על הזכות במה יזכו, ופירשתי עפ""י המבואר בדבריחכז""לבכ""מכי א""י ניתן על תנאי אם ישמרו ישראל את התורה,כדאיתאבמכילתא פ' יתרו (הובא בילקוט מלכים רמז ק""ע) ג' דברים נתנו על תנאי ארץ ישראל בית המקדש ומלכות בית דוד עיי""ש, והכתוב עומד וצווחויתןלהם ארצות גוים וגו' בעבור ישמרוחקיווגו', ובזה יובן שעל בשורת הזרע לא שאל לו אות, מפני שההבטחההיתהמוחלטת ובלי תנאי,משא""כבשורת הארץ הי' על תנאי אם ישמרו את התורה,ועד""זהיתהשאלתו אם יזכו לירושת הארץ ובאיזה זכות יזכו אלי', והשיב לו הקב""ה בזכותהקרבנותעיין שם בדברינו ביאורהעניןבאריכות, ולכאורה עדיין ראוי להבין מדוע שאל על ידיעת הזכות, ויספיק שיתפלל אל הקב""ה שיזכובנ""ילהרבות מצותומע""טואזבודאייזכו לירושת הארץ.","And it is possible to explain before what I have clarified (in Parashat Lech Lecha, page 34) regarding the matter: ""How will I know that I will inherit it?"" He did not ask for a sign regarding the promise of the seed, but he asked for a sign regarding the inheritance of the land, and he said, ""How will I know that I will inherit it?"" The Ramban, of blessed memory, asked why he asked for a sign regarding the inheritance of the land, but did not ask for a sign regarding the giving of the seed. There is a response there. Furthermore, Rabbi Shimon, of blessed memory, explained that ""How will I know?"" He did not ask for a sign, but rather he said before Him, ""Make known to me by what merit they will be sustained in it."" The Holy One, blessed be He, said to him, ""By the merit of the sacrifices."" And at first glance, it is difficult to impose this on the language of the text, ""How will I know that I will inherit it?"" The meaning indicates knowledge of the essence of the promise if it will be fulfilled, and not about the merit by which they will merit it. I explained according to what is clarified in the words of our Sages, of blessed memory, everywhere that the Land of Israel is given conditionally if Israel will observe the Torah, as it is stated in the Mechilta, Parashat Yitro (brought in Yalkut Melachim, hint 490): ""Three things were given conditionally: the Land of Israel, the Holy Temple, and the monarchy of the House of David,"" as it is stated there. And the text stands and cries, ""And He gave them the lands of the nations..."" because they will observe His commandments. And with this, it can be understood why he did not ask for a sign regarding the promise of the seed, because the promise was absolute and unconditional, whereas the promise of the land was conditional upon their observance of the Torah. Therefore, his question was whether they would merit the inheritance of the land and by what merit they would merit it. And the Holy One, blessed be He, answered him, ""By the merit of the sacrifices."" See there in our words explaining the matter at length. And at first glance, it is still appropriate to understand why he asked about knowing the merit, and it would suffice for him to pray to the Holy One, blessed be He, that He should merit him to increase in commandments and good deeds, and then he would surely merit the inheritance of the land.","In the passage, the author discusses Abraham's inquiry about the inheritance of the land of Israel, contrasting it with the promise of offspring, which was unconditional. The Ramban's question about why Abraham sought a sign for the land but not for the seed is addressed by explaining that the land's promise was contingent upon Israel's adherence to the Torah. The text emphasizes that the fulfillment of the land's promise relies on the merit of sacrifices, highlighting the conditional nature of the land's inheritance compared to the absolute assurance of progeny. Ultimately, it suggests that Abraham's concern was about the specific merits required for the land, indicating a deeper understanding of the relationship between divine promises and human actions.","הקרבנות  
ירושת הארץ  
הבטחה  
זכות  
תורה  
ארץ ישראל  
בית המקדש  
מלכות  
תנאי  
ידיעה"
Divrey Yoel,Va'era,1,9,"אמנםידוע כי האבות הקדושים כל פעולתם הי' בשביל דורות העתידים, ועשו פועל דמיוני להכין ישועה לדורות לישראל, וכמושמצינובאאע""הכשבא לשכם הי' מתפלל על בני יעקב כשיבואולהלחםבשכם כפי' רש""יעה""כעד מקום שכם וגו'ועד""זיתבאר שאלת אאע""ה במה אדע באיזה זכות יזכו ישראלוכו', ותכלית ידיעה זו אליו כדי להכיןכחהשפעת זכות זה לבניו שיחזיקו בו, כי זה הי' כל עבודתוהק', וכמ""שכוידעתיו למען אשריצוהאת בניו ואת ביתו אחריו ושמרו דרך ה' וגו' ולזה רצה אאע""ה לידע באיזה זכות יזכו לירושת הארץ כדי להכין להםכחהשפעה זו.","It is known that the holy patriarchs performed all their actions for the sake of future generations, and they created a spiritual impact to prepare salvation for the generations of Israel. As it is stated regarding our father Abraham, when he came to Shechem, he prayed for the children of Jacob when they would come to fight in Shechem, as explained in Rashi, ""to the place of Shechem,"" etc. Similarly, it is explained in the question of our father Abraham, ""By what merit will Israel be worthy?"" The purpose of this knowledge was to prepare the power of the influence of this merit for his children, so that they would hold onto it, for this was the entirety of his service. As it is written, ""For I have known him, in order that he may command his children and his household after him to keep the way of the Lord,"" etc. Therefore, our father Abraham wanted to know by what merit they would be worthy of inheriting the land, in order to prepare for them the power of this influence.","The passage emphasizes that the patriarchs' actions were intended to benefit future generations of Israel, preparing a spiritual foundation for their redemption. It highlights Abraham's prayers and inquiries about the merits that would secure Israel's inheritance of the land, illustrating his commitment to ensuring that his descendants would have the necessary spiritual resources. This reflects a core Hasidic belief in the interconnectedness of past, present, and future, where the patriarchs actively shaped the spiritual legacy for their descendants. Ultimately, it underscores the importance of divine merit and the role of the patriarchs in facilitating the continuity of faith and tradition.","אבות הקדושים  
ישועה  
זכות  
עבודת ה'  
השפעה  
ירושת הארץ  
תכלית  
ידיעה  
כוח  
דורות"
