book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Noam Elimelekh,Vayechi,1,1,"‎והנה עיקר החיות של הצדיק היא ע""י התפילה שעל ידה הוא מתדבק בהבורא יתעלה כנ""ל, וידוע שע""י שם הקדוש היוצא מפסוק 'את 'השמים 'ואת 'הארץ נברא העולם, והוא גימטריה טו""ב, ועיקר תפילת הצדיק היא על השכינה הקדושה, וזהו ""ויחי יעקב בארץ מצרים"", 'מצרים' לשון מיצר ים, דהיינו ע""י שהיה מצער עצמו על גלות השכינה הנקראת 'ים', עי""ז היה לו חיות שהיה מתדבק בהבורא ב""ה, ""שבע עשרה שנה"", פירוש שכל זאת היה בכח הא""ס בתחילת הבריאה כשברא כל הנבראים וכל עולמות ע""י שם הקדוש שהוא גימטריה י""ז כנ""ל שבו נברא העולם.","And behold, the essence of the vitality of the righteous is through prayer, by which he cleaves to the Creator, blessed be He, as mentioned above. It is known that through the holy Name that comes from the verse ""the heavens and the earth,"" the world was created, and it has the gematria of good (טו""ב). The main prayer of the righteous is for the holy Shechinah, and this is ""And Jacob lived in the land of Egypt."" 'Egypt' is a term for the straits of the sea, meaning that by constraining himself over the exile of the Shechinah, which is called 'sea,' he thereby had vitality by cleaving to the Creator, blessed be He, ""seventeen years,"" meaning that all of this was through the Infinite Light at the beginning of creation when He created all the created beings and all worlds through the holy Name, which has the gematria of seventeen, as mentioned above, through which the world was created.","The passage emphasizes that the vitality of the righteous (tzaddik) is derived from prayer, which facilitates their connection to the Creator. It highlights the significance of the holy name associated with the creation of the world, represented by the gematria of ""טו""ב"" (good), and the tzaddik's primary focus in prayer is on the Divine Presence (Shechinah). The reference to Jacob's life in Egypt symbolizes the tzaddik's self-affliction due to the exile of the Shechinah, which in turn grants them spiritual vitality and connection to the Infinite (Ein Sof). The mention of ""seventeen years"" relates to the divine power present at the beginning of creation, underscoring the connection between the tzaddik's prayer and the foundational aspects of existence.","עיקר החיות  
התפילה  
הבורא  
שם הקדוש  
השכינה הקדושה  
מצרים  
גלות השכינה  
חיות  
א""ס  
בריאה"
Noam Elimelekh,Vayechi,2,1,"‎וזהו ""ברוך ה' אשר לא הסיר תפילתי"" שאני מתפלל, לא הסיר אותה ממני מחמת שהיה אז בכח הא""ס ב""ה וממילא היא מקובלת, ""וחסדו מאתי"", פירוש ועל כל זאת אודה יה, מאחר שהיה התפילה הזאת בכח הא""ס, נמצא שאין זה מחמתי מצד פעולתי שיהיה ראוי להנתן לי שכר על זה, ואעפ""כ נותן לי השי""ת שכר כאילו היתה הפעולה ממני, ""וזהו וחסדו מאתי"", שאודה לו ית""ש על חסדו הגדול שמעלה עלי כאילו היה מאתי. והבן.","And this is ""Blessed is the Lord who has not removed my prayer"" that I pray, He has not removed it from me because at that time it was in the power of the Infinite Blessed Be He, and therefore it is accepted, ""and His kindness is from me,"" meaning that for all this I will give thanks to Hashem, since this prayer was in the power of the Infinite, it turns out that it is not because of my actions that I am worthy of receiving a reward for this, and nevertheless the Holy One, Blessed be He, gives me a reward as if the action were from me, ""and this is His kindness from me,"" that I will thank Him, Blessed be He, for His great kindness that He elevates upon me as if it were from me. And understand.","The passage emphasizes the concept of divine grace in prayer, highlighting that the efficacy of one's prayers stems from the infinite power of the Divine (א""ס). It suggests that even though the prayer is accepted due to this divine influence rather than personal merit, God still rewards the individual as if the action originated from them. This reflects a profound understanding of the relationship between human effort and divine benevolence, underscoring the importance of gratitude for God's kindness. Ultimately, it illustrates the interplay between divine grace and human agency in the spiritual experience.","ברוך  
תפילה  
א""ס  
חסד  
שי""ת  
פעולה  
שכר  
מאתי  
יה  
ית""ש"
Noam Elimelekh,Vayechi,3,1,"או יאמר ""ויחי כו'"" ע""פ הפסוק ""זמרו כבוד שמו שימו כבוד תהלתו"", נראה פירושו היות התחלות אדם בעבדות הבורא ב""ה בוודאי אינו יכול תיכף בהתחלתו [ל]עלות במדרגת עליונים, כי עדיין סבבוהו זרים במחשבתו הדבוקה בעוה""ז השפל ובהבליו, אבל צריך אדם מקודם לפנות מחשבתו ולזמר עריצים, המה הקליפות המבלבלים אותו מעבודתו, ולזה צריך עבודה רבה, ואח""כ יפנה עצמו לעלות במחשבת קדושים ביחודים וכוונות עליונים, ואז נחשב לו אותה העבודה שעבד בתחילתו והיא לזמר עריצים כאותה העבודה החשובה העיקרית שעולה בה לתכליתו, כיון שכוונתו הכל לשם שמים והכל אחד, וזהו ""זמרו כבוד וכו'"", פירושו כנ""ל שהעבודה של זמיר עריצים הוא חשוב כמו ""שימו כבוד תהלתו"", ש'תהלה' נקרא המדריגה הגדולה של הצדיק שמאיר לעולמות עליונים, ותהלה הוא לשון אור, כמו עטישותיו תהל אור.","Or he may say ""And he lived, etc."" based on the verse ""Sing the glory of His name; make His praise glorious."" It seems that the interpretation is that the beginnings of a person in the service of the Creator, blessed be He, certainly cannot immediately rise to the level of the exalted ones, for he is still surrounded by foreign thoughts, attached to this lowly world and its vanities. However, a person must first direct his thoughts and sing to the tyrants, which are the klipot that confuse him from his service. For this, much effort is required, and afterwards he can turn himself to ascend in the thoughts of the holy ones with unifications and lofty intentions. Then, that work he performed at the beginning, which is to sing to the tyrants, is considered the same important primary work that elevates him to his purpose, since his intention is all for the sake of Heaven and everything is one. And this is ""Sing the glory, etc.,"" meaning as mentioned above that the work of singing to the tyrants is as important as ""Make His praise glorious,"" for 'praise' refers to the great level of the righteous that illuminates the higher worlds, and 'praise' is a term of light, as in ""His praises are the light of illumination.""","The passage emphasizes the importance of initial struggles in divine service, where a person must first confront and overcome distractions represented by ""z'ra'zim"" (the forces of negativity) before ascending to higher spiritual levels. This process requires significant effort, and the work of battling these distractions is considered as valuable as the ultimate spiritual achievements. The concept of ""z'miro"" (singing) is linked to the glorification of God's name, suggesting that even the most humble beginnings in service can lead to profound spiritual elevation when performed with the right intention. Ultimately, all efforts, regardless of their initial nature, contribute to the individual's spiritual journey and connection to the divine.","עבודת הבורא  
מדרגת עליונים  
מחשבת קדושים  
יחודים  
כוונות עליונים  
זמר עריצים  
קליפות  
תכלית  
תהלה  
אור"
Noam Elimelekh,Vayechi,4,1,"‎וזהו ג""כ הפירוש כאן, ""ויחי יעקב בארץ מצרים"", ששם היה עבודתו במדריגת קטנות, וזה רמז ""שבע עשרה שנה"" גימטריה טו""ב, שהוא השם הקדוש במספר קטן, מחמת שהיה בארץ מצרים מקום הקליפות והיה עיקר העבדות לזמר עריצים, אעפ""כ היה נחשב לו זה כשאר שנותיו שהיה עובד בהם במדריגת גדלות, וזהו ""ויהי ימי יעקב שני חייו"", פירוש שזה היה נחשב לו במנין שאר שנותיו בשוה כנ""ל.","And this is also the interpretation here, ""And Jacob lived in the land of Egypt,"" that there his service was at the level of katnut (smallness), and this hints at ""seventeen years,"" which is the gematria of טוב (good), the holy name in a small number, because in the land of Egypt, which was a place of klipot (shells), the main servitude was to the tyrants. Nevertheless, this was considered to him like the other years in which he served at the level of gadlut (greatness), and this is ""And the days of Jacob, the years of his life,"" meaning that this was counted for him in the tally of his other years equally, as mentioned above.","The passage discusses Jacob's life in Egypt, highlighting that despite being in a place of spiritual diminishment (symbolized by the ""seventeen years"" which equals the gematria of ""טו""ב"" - good), Jacob's service to God was still considered significant. It emphasizes that even in the challenging environment of Egypt, where he faced the influence of negative forces, his devotion was counted equally with his years of spiritual elevation. This reflects a key Hasidic concept that true service to God can transcend external circumstances and maintain its value. Ultimately, Jacob's life in Egypt is viewed as a continuation of his spiritual journey, affirming the idea that every moment of devotion is meaningful.","עבודתו  
מדריגת קטנות  
גימטריה  
שם הקדוש  
קליפות  
עבדות  
עריצים  
מדריגת גדלות  
ימי יעקב  
שנותיו"
Noam Elimelekh,Vayechi,5,1,"או יאמר ""ימי יעקב שני חייו כו'"", לפי שעיקר החיות של הצדיק הם אותן הימים שמוסיף בהם אור העבודה, והם נקראים 'ימים' ע""ד שנאמר ""ויקרא אלהים לאור יום"", וזהו ""ויהי ימי יעקב"", פירוש הימים שהיה מוסיף בהם אור, הם היו עיקר ""שני חייו"". וק""ל.","Or he may say, ""The days of Jacob, the years of his life, etc."", because the essence of the vitality of the tzaddik is those days in which he adds light to his service, and they are called 'days' as it is stated, ""And God called the light Day."" And this is ""And the days of Jacob were,"" meaning the days in which he added light, they were the essence of ""the years of his life."" And it is clear.","The passage emphasizes that the essence of a righteous person's life, particularly that of Jacob, is defined by the days in which they enhance their spiritual work and bring forth light. These days are referred to as ""days"" in a deeper sense, akin to the creation of light in the biblical narrative. Thus, Jacob's life is characterized by the moments he contributed to spiritual illumination, which are considered the true essence of his years. This reflects a key Hasidic concept that the value of life is measured by one's spiritual achievements and the light they bring into the world.","חיות  
צדיק  
אור  
עבודה  
ימים  
ויקרא  
אלהים  
שני  
חייו  
קבלה"
Noam Elimelekh,Vayechi,6,1,"או יאמר ""ויחי כו'"", ונקדים לפרש הפסוק ""הודו לה' כי טוב כו'"", דהנה הצדיק ע""י תפילתו הזכה והצלולה הוא ממשיך את הבורא ב""ה וב""ש לעוה""ז, והרי הוא כמו שמביא שמו הגדול אל הקטנות, כי עיקר גדולתו על השמים כבודו, וגדולתו על כל העולמות, והצדיק ממשיכו לזה העולם הוא כמו קטנות, והשם הקדוש בקטנות גימטריה י""ז, אך עי""ז שממשיך את הבורא לעוה""ז אזי מלאה הארץ חסדו בהשפעות וברכות וטובות הרבה, וזה ""הודו לה'"", היינו שתתפללו לפניו והודו לו, ""כי טוב"", ר""ל הגם שתביאו אותו ית""ש ויתעלה כמו אל הקטנות, דהיינו השם הקדוש הויה ב""ה בקטנות גימטריה טוב כנ""ל, ""כי לעולם חסדו"", ר""ל כי עי""ז תפעלו להמשיך לעוה""ז חסדו, היינו השפעות חסדים וטובות.","Or he may say ""And he lived, etc."", and we will begin to explain the verse ""Give thanks to the Lord for He is good, etc."" Behold, the righteous, through his pure and clear prayer, draws down the Creator, blessed be He, and exalted be He, to this world. He is like one who brings His great name to the smallness, for His main greatness is ""His glory is above the heavens,"" and His greatness is over all the worlds. The righteous who brings Him to this world is like smallness, and the holy name in smallness has the gematria of 17. However, by drawing down the Creator to this world, the earth is filled with His kindness through influences, blessings, and many good things. This is ""Give thanks to the Lord,"" meaning that you should pray before Him and give thanks to Him, ""for He is good,"" meaning that even though you bring Him, blessed be He and exalted be He, like to the smallness, that is to say, the holy name Havayah, blessed be He, in smallness has the gematria of good, as mentioned. ""For His kindness endures forever,"" meaning that through this you will cause to draw down to this world His kindness, which is influences of kindness and good things.","In this passage from Sefer Divrey Yoel, the author emphasizes the role of the tzaddik (righteous person) in connecting the divine presence to the physical world through pure and sincere prayer. The tzaddik brings the greatness of God into the realm of the small, symbolizing the divine's accessibility and the flow of blessings into the world. The verse ""Give thanks to the Lord for He is good"" reflects the idea that through prayer and acknowledgment of God's goodness, one can draw down His kindness and blessings into the world, highlighting the eternal nature of God's mercy. Ultimately, the passage illustrates the profound relationship between the tzaddik's actions, divine presence, and the manifestation of God's goodness in the world.","צדיק  
תפילה  
בורא  
כבוד  
גדולה  
השם הקדוש  
גימטריה  
חסד  
השפעות  
ברכות"
Noam Elimelekh,Vayechi,7,1,"‎וזהו ""ויחי יעקב בארץ מצרים שבע עשרה שנה"", ר""ל ע""י שם הקדוש שהמשיך למטה והוא גימטריה י""ז כנ""ל, עי""ז היה לו חיות והשפעות טובות בארץ מצרים. וזהו ""ברוך ה' אשר כו' וחסדו מאתי"", דהיינו שע""י תפילתי אני גורם להמשיך חסדו לעולם כנ""ל. וק""ל.","And this is ""And Jacob lived in the land of Egypt seventeen years,"" meaning through the Holy Name that was drawn down below, which is the gematria of seventeen as mentioned above, through this he had vitality and good influences in the land of Egypt. And this is ""Blessed is the Lord who... and His kindness is from me,"" meaning that through my prayer I cause the continuation of His kindness to the world as mentioned above. And it is clear.","The passage emphasizes the significance of the holy name and its numerical value of seventeen (י""ז), which enabled Jacob to draw down vitality and positive influences during his time in Egypt. It highlights the connection between prayer and the ability to channel divine kindness into the world. The text reflects a Hasidic understanding of the interplay between human action and divine grace, illustrating how one's spiritual efforts can manifest blessings in the physical realm.","שם הקדוש  
גימטריה  
חיות  
השפעות  
ברוך  
חסד  
תפילה  
המשך  
עולם  
כנסת ישראל"
Noam Elimelekh,Vayechi,8,1,"או יאמר ""ויחי יעקב כו'"", דהנה ראוי להשכיל ולהבין על קבלת שכר המצוות, הנה מצד השכל והדין אינו מחמת קיום המצוות, כי מאחר שהבורא ית""ש ויתעלה בראנו לכבודו, ואין אנו מספיקים להודות על אחת מאלף כו' על הטובות כו' שעשה עמנו, וראוי ונכון היותינו מקיימים מצוותיו הקדושים כמאמר התנא ""אם למדת תורה הרבה אל תחזיק כו' כי לכך נוצרת"", אך עיקר קבלת שכרינו הוא מצד שהבורא ית""ש נתן בנו יצה""ר המסית אותנו בכל עת ורגע ומתגבר עלינו להתאוות תאוה ולהרהר חלילה בעבירה וכל יצר מחשבותיו רק רע כל היום, והאדם עומד כנגדו ובתחבולות יעשה מלחמה נגדו להזהר ולהשמר מכל דבר רע, מחניפות ושקרים וליצנות ולשון הרע ותאוות והרהורים והדומה להם, לזה צריך מלחמה ועבודה רבה לשבר כח התאוות היצה""ר, וזהו עינוי וסיגוף גדול, עי""ז הקב""ה מקדשו ומטהרו כאילו עשה מצוה, כי ע""י המצוות אנו מתקדשים ומתטהרים כאמור ""אשר קדשנו במצותיו"", וזהו דאמרינן בגמרא ""היושב בטל ואינו עובר עבירה מעלה עליו הכתוב כאלו עשה מצוה"", והיינו כנ""ל, ע""י שהוא משבר כח התאוה של היצה""ר שלא לחטוא חלילה עי""ז והוא מתקדש כאילו עשה מצוה.","Or he may say, ""And Jacob lived, etc."" Behold, it is fitting to understand and comprehend the acceptance of reward for the commandments. From the perspective of intellect and law, it is not due to the fulfillment of the commandments, for since the Creator, blessed be He and exalted, created us for His honor, and we are not sufficient to thank Him for even one out of a thousand, etc., for the good things, etc., that He has done with us, it is fitting and proper for us to fulfill His holy commandments, as the Tanna said, ""If you have learned much Torah, do not hold it as your own, for this is why you were created."" However, the essence of our reward is because the Creator, blessed be He, has placed within us the evil inclination that entices us at every moment and strengthens itself over us to desire desires and to think, Heaven forbid, of sin, and every inclination of the thoughts of his heart is only evil all day long. And a person stands against it and, with cunning, makes war against it to be careful and to guard himself from all evil things, from flattery and lies, mockery, slander, desires, and thoughts similar to them. For this, a great struggle and much work is needed to break the power of the desires of the evil inclination, and this is a great affliction and suffering. Through this, the Holy One, blessed be He, sanctifies and purifies him as if he had performed a commandment, for through the commandments we are sanctified and purified, as it is said, ""Who sanctified us with His commandments."" And this is what we say in the Gemara, ""One who sits idle and does not commit a sin, the Scripture considers it as if he had performed a commandment."" And this is as mentioned above, for by breaking the power of the desire of the evil inclination not to sin, Heaven forbid, through this he is sanctified as if he had performed a commandment.","The passage discusses the concept of reward for fulfilling commandments (mitzvot) from a Hasidic perspective, emphasizing that true merit arises not merely from performing mitzvot, but from the struggle against the evil inclination (yetzer hara). It highlights that the constant battle against temptation and sin is a significant form of spiritual work, akin to performing a mitzvah. The text asserts that by overcoming the yetzer hara, an individual is sanctified and purified, receiving divine recognition as if they had fulfilled a commandment. Ultimately, it underscores the importance of inner struggle and moral vigilance in the path of spiritual growth.","קבלת שכר  
מצוות  
בורא  
יצה""ר  
מלחמה  
עבודה  
עינוי  
סיגוף  
קדושה  
טהרה"
Noam Elimelekh,Vayechi,9,1,"‎וזהו שהתפלל משה רבינו ע""ה ""שמחינו כימות עניתנו"", פירוש שתשמחנו בקדושתך כימות עניתנו ע""י היצה""ר שאנחנו מוכרחים לשבר כח תאוותו, ""שנות ראינו רעה"", פירוש כל השנים אשר ראינו והסתכלנו ברעה להזהר ולהשמר ממנו, עי""ז ""יראה אל עבדיך פעליך"", ר""ל יחשב לפניך כאילו עשינו כל מצוותיך ופעליך, כנ""ל שע""י עינויים וסיגופים מהיצה""ר לשבר כחו, יחשב כאילו עשיתי כל המצוות.","And this is what our teacher Moses, peace be upon him, prayed: ""Make us happy as the days You afflicted us,"" meaning that You should make us rejoice in Your holiness as the days we were afflicted by the evil inclination, which we must break the power of its desires. ""The years we have seen evil,"" meaning all the years during which we have seen and looked at evil to be careful and guard ourselves from it, through this ""He will look at Your servants, Your deeds,"" meaning it will be considered before You as if we have fulfilled all Your commandments and Your deeds. As mentioned, that through afflictions and self-denial from the evil inclination to break its power, it will be considered as if I have performed all the commandments.","In this passage, the author reflects on Moses' prayer, ""Make us happy as the days of our affliction,"" emphasizing the idea that true joy comes from overcoming the challenges posed by the evil inclination (yetzer hara). The years spent grappling with adversity serve to strengthen one's commitment to holiness and observance of commandments. Through the struggles and self-discipline against temptation, one is considered to have fulfilled all commandments, highlighting the transformative power of suffering and resistance in the spiritual journey.","שמחינו  
קדושתך  
יצה""ר  
תאווה  
שנות  
רעה  
יראה  
עבדיך  
מצוותיך  
סיגופים"
Noam Elimelekh,Vayechi,10,1,"‎תהו ""תאות לבו נתת לו כו'"", זה שנתת לאדם הבחירה שיעשה כתאות לבו, ""וארשת שפתיו בל מנעת סלה"", שלא מנעת ממנו לדבר בשפתיו כרצונו, כל זאת עשית לטובת האדם, ""כי תקדמנו ברכות טוב"", פירוש עי""ז שהבחירה לאדם והיצה""ר מסיתו והוא כובש את יצרו, עי""ז יקדמנו השי""ת ברכות ושכר גדול, ע""י השם הקדוש שם הויה ב""ה שהוא גימטריה טוב, והיינו אפילו בגלות המר שהשם הוא בקטנות, כי לעתיד שיהיה השם בגדלות, בוודאי אין קץ וסוף להשפעתו, וזהו ""הודו לה'"", ר""ל להשם הויה שמו הגדול ית""ש, ""כי טוב"", ר""ל אף בגלות המר שהשם בקטנות, אעפ""כ הוא בגימטריה טוב, וזהו ""כי לעולם חסדו"".","""Behold, 'the desires of his heart You have given him,' this means that You have given man the choice to act according to the desires of his heart. 'And You have not withheld the speech of his lips,' meaning that You have not prevented him from speaking as he wishes. All this You have done for the benefit of man. 'For You will advance him with blessings of goodness,' which means that through the choice given to man and the evil inclination that entices him, and he conquers his inclination, through this the Holy One, blessed be He, will advance him with great blessings and reward, by the holy name, the name of Havayah, which is the gematria of goodness. And this is even in the bitter exile when the name is in a state of smallness, for in the future, when the name will be in a state of greatness, certainly there will be no end to its influence. And this is 'Give thanks to Hashem,' meaning to the name Havayah, His great name, may He be blessed, 'for He is good,' meaning that even in the bitter exile when the name is in smallness, nevertheless, it is in the gematria of goodness, and this is 'for His kindness endures forever.'""","The passage emphasizes the concept of human free will, highlighting that God grants individuals the choice to act according to their desires, which ultimately serves their benefit. It suggests that by exercising this choice and overcoming the evil inclination, one can receive divine blessings and rewards from God, whose name represents goodness. Even in times of hardship and spiritual diminishment, God's essence remains good, and His kindness endures forever, promising a future of abundant blessings. The text underscores the importance of recognizing God's goodness, even in challenging circumstances, as a central tenet of faith.","תהו  
תאות  
בחירה  
יצה""ר  
ברכות  
שכר  
הקדוש  
גימטריה  
גדלות  
חסד"
