book_name,parsha_name,dvar_torah_id,passage_id,passage_content,translation,summary,keywords
Tiferet Shlomo,Vayechi,87,1019,"ויקרבו ימי ישראל למות ויקרא לבנו ליוסף. שכך הוא הסדר בתחלה צריך היחוד עם יוסף אח""כ יכול לברך את בניו. והבן:","""And the days of Israel drew near to die, and he called his son Joseph. For thus is the order: first, the unification with Joseph; afterwards, he can bless his sons. And understand:""","In this passage, the approaching death of Israel (Jacob) signifies the importance of unity and connection with Joseph before bestowing blessings upon his other sons. This reflects a key Hasidic concept that emphasizes the necessity of spiritual alignment and harmony within the family and community. The act of calling Joseph first highlights the unique role of Joseph in the divine plan, suggesting that true blessings can only flow from a place of unity and recognition of one's spiritual lineage. Ultimately, it underscores the idea that individual and collective spiritual elevation is essential for receiving divine favor.","יוסף  
ברכה  
יחוד  
סדר  
בנים  
מות  
ישראל  
הבן  
קבלה  
חסידות"
Tiferet Shlomo,Vayechi,88,1020,"ועשית עמדי חסד ואמת. פירש""י חסד שעושים עם המתים הוא חסד של אמת שאינו מצפה לתשלום גמול. עיין ברמב""ן שהקשה עליו הא גבי אליעזר כתיב ג""כ ואמת. אך הנ""ל להבין דברי רש""י דהנה נודע בספרים כי יש אשר האדם זוכה לנשמה גבוה מאד מיד בשעת תולדתו. ויש אשר אח""כ ע""י עשיית איזה מצוה בכוונה טובה מתעבר ודבק בו איזה נשמה גבוה והכל ידוע לי""ח. והנה בכוונה טובה ע""י נשמות האלו אשר נתעברו בו מוסיף כח וחיל בעבדות הבורא כי המה עומדים בעזרו וז""ש הבא לטהר מסייעין אותו פי' הנשמות האלו מסייעין אותו לעבודת הבורא וכן אמרו המתחיל במצוה אומרים לו גמור מי הוא האומר לו אך הנשמות האלו אשר קנה הם המעוררים אותו ואומרים לו גמור. וזה פי' המשנה באבות יהי ביתך בית ועד לחכמים כמ""ש בחכמה יבנה בית הוא הנפש ור""ל תכין נפשך בהמצות ותזכה לנשמות רבות של חכמים כמו שמצינו אצל הר""י מיגאש היה בו כמה נשמות מתנאים כמבואר בהאר""י ז""ל ואז תהיה שותה בצמא את דבריהם תעשה המצות בחשק רב כי יעוררוך. וז""ש במלאכת המשכן וכל חכם לב בכם יבאו ויעשו. הם הנשמות המעוברים בכם יבואו ויעשו כל אשר צוה ה'. וכן כתיב ויעשו כל חכם לב בכם בעושי המלאכה כי הנשמות העליונים עשו עמהם לכוון במלאכת המשכן בסודות העמוקים. וזה כוונת רש""י חסד שעושים עם המתים. היינו שהמתים הקדושים עושים עמו הוא חסד של אמת כי הם בודאי כוונתם אמיתית ואינם מצפי' לתשלום גמול ובלי שום כוונה זולתו:","And you shall do kindness and truth with me. Rashi explains that the kindness done with the dead is the kindness of truth, which does not expect a reward. See the Ramban, who questions this regarding Eliezer, where it is also written ""and truth."" However, the above is to understand Rashi's words, for it is known in the books that there are those who merit a very high soul immediately at the time of their birth. And there are those who afterwards, through performing some mitzvah with good intention, become possessed by and attach themselves to a high soul, and all is known to the Yichud. And behold, with good intention, through these souls that have entered into him, he adds strength and vigor in the service of the Creator, for they stand by to assist him. And this is what is meant by ""one who comes to purify himself, they assist him,"" meaning these souls assist him in the service of the Creator. And so it is said, ""One who begins a mitzvah, they say to him, complete it,"" who is it that tells him? It is these souls that he has acquired; they are the ones who awaken him and say to him, ""Complete it."" This is the meaning of the Mishnah in Avot: ""May your home be a meeting place for the wise,"" as it is said, ""With wisdom a house is built,"" which refers to the soul. And it means to prepare your soul with the mitzvot and merit many souls of the wise, as we find with Rabbi Yitzchak of Girona, who had several souls of Tanaim, as explained in the teachings of the Ari, blessed be his memory. Then you will drink thirstily from their words and perform the mitzvot with great enthusiasm, for they will awaken you. And this is what is said regarding the work of the Tabernacle: ""And every wise-hearted among you shall come and make."" They are the souls that have been transferred into you; they will come and do all that the Lord has commanded. And it is also written, ""And every wise-hearted among you who does the work,"" for the elevated souls worked with them to direct the work of the Tabernacle in the deep secrets. And this is the intention of Rashi: the kindness that is done with the dead, meaning that the holy dead do kindness with him; it is a kindness of truth because their intention is certainly genuine, and they do not expect any reward or any other intention.","The passage discusses the concept of ""chesed shel emet"" (true kindness) performed for the deceased, emphasizing that such acts are done without expectation of reward. It highlights the belief that through good intentions and mitzvot, individuals can connect with elevated souls, which in turn aids their divine service. The text illustrates how these elevated souls inspire and assist the living in fulfilling their spiritual duties, reinforcing the idea that true kindness transcends earthly rewards and is rooted in genuine intention. Ultimately, it underscores the interconnectedness of the living and the deceased in the pursuit of holiness and divine service.","חסד  
אמת  
נשמה  
מצוה  
כוונה  
עבודה  
חכמים  
תיקון  
סודות  
גמול"
Tiferet Shlomo,Vayechi,89,1021,"וימאן אביו ויאמר ידעתי בני ידעתי גם הוא יהיה לעם וגם הוא יגדל ואולם אחיו הקטן יגדל ממנו וזרעו יהיה מלא הגוים. הנ""ל בפי' הפ' הזה עפ""י מ""ש בפ' והכהן הגדול מאחיו. רמז למעלת הצדיק המשפיע כל טוב ומעורר חסד העליון עי""ז שכל מגמתו וחפצו לראות בטובת בנ""י וכמ""ש במשה רבינו ע""ה ויגדל משה ויצא אל אחיו. פי' שזה היה גדולתו מה שהיה מצטער בצרת ישראל וכולם היו כאחיו ממש עי""ז בא לו הגדולה להיות מנהיג הדור ומשפיע. כי כן עיקר העבדות של בנ""י להיות בבחינת הערבות כל אחד בעד חבירו כמ""ש במ""א משרתיו שואלים זה לזה. פי' הם המשרתים ההולכים בדרך הישר בעבודת ה' ב""ה כאשר הם שואלים ומבקשים זה בעד זה ומצפים לטובת זולתו והוא בבחי' שואל שכל הנאה שלו.וז""ש השמיעני את קולך כי קולך ערב ומראך נאוה. פי' אם קול תפלתך הוא בבחי' ערב בחבירו כנ""ל. עי""ז מראך נאוה להתקבל תפלתך ברצון למעלה. והנה זה הרמז בדברי יעקב. ידעתי בני ידעתי גם הוא יהיה לעם וגם הוא יגדל. פי' שהוא בבחי' צדיק כזה המשפיע טובות לעם ומתפלל עליהם ועי""ז הו""א יגד""ל הוא רומז לעולם הנסתר אשר שם רחמים גדולים כמ""ש ממקומו הו""א יפן ברחמים לעמו. ומעורר חסד עליון הרמז לבחי' גדולה כמ""ש הכהן הגדול מאחיו. ואולם אחיו הקטן יגדל ממנו וזרעו יהיה מלא הגוים. פי' הוא יוציא כל הני""ק שנפלו בין העובדי כוכבים ע""י זה יוצמח הגאולה שלימה מקבץ נדחי ישראל. בונה ירושלים ה'. והבן:","And his father refused and said, ""I know, my son, I know; he too will be a people, and he too will grow. However, his younger brother will grow greater than he, and his seed will be full of the nations."" The above is explained in this verse according to what is stated in the portion ""And the high priest from among his brothers."" This hints at the greatness of the righteous who bestow all good and awaken the upper kindness by having all their intent and desire to see the good of the children of Israel, as it is said about our teacher Moses, peace be upon him, ""And Moses grew and went out to his brothers."" This means that his greatness came from his suffering in the distress of Israel, and all were truly like his brothers. Through this, greatness came to him to be the leader of the generation and a bestower. For this is the essence of the servitude of the children of Israel, to be in the aspect of mutual responsibility, each one for his friend, as it is said elsewhere, ""His servants ask one another."" This means they are the servants who walk in the straight path in the service of the Blessed One, as they ask and request for one another and hope for the good of others, and this is in the aspect of asking for all their enjoyment. And this is what is meant by ""Let me hear your voice, for your voice is sweet, and your appearance is lovely."" This means if the voice of your prayer is in the aspect of being sweet for your friend, as mentioned above, then your appearance is lovely to have your prayer accepted willingly above. And behold, this is the hint in the words of Jacob: ""I know, my son, I know; he too will be a people, and he too will grow."" This means he is in the aspect of such a righteous person who bestows goodness upon the people and prays for them, and through this, ""he will grow"" hints at the hidden world where there is great mercy, as it is said, ""From his place, he will turn with mercy to his people."" And he awakens upper kindness, hinting at the aspect of greatness, as it is said, ""the high priest from among his brothers."" However, ""his younger brother will grow greater than he, and his seed will be full of the nations."" This means he will bring out all the sparks that fell among the idol worshippers, and through this, the complete redemption will sprout, gathering the exiles of Israel, building the Jerusalem of the Lord. Understand this.","The passage emphasizes the role of the tzaddik (righteous person) as a conduit for divine blessings and intercession on behalf of the Jewish people, highlighting the importance of communal responsibility and mutual support in spiritual service. It draws a parallel between Moses' compassion for his brethren and the tzaddik's ability to elevate the collective through prayer and good deeds. The text also suggests that the tzaddik's influence extends to the hidden realms of mercy, ultimately leading to the redemption of Israel and the restoration of Jerusalem. The mention of the ""younger brother"" signifies the emergence of a leader who will gather the exiled and bring about complete redemption.","צדיק  
חסד  
ערבות  
מנהיג  
עבודת ה'  
תפילה  
רחמים  
גאולה  
ירושלים  
נסתר"
Tiferet Shlomo,Vayechi,90,1022,"האספו ואגידה לכם את אשר יקרא אתכם באחרית הימים. יבואר עפ""י מ""ש בכתוב משכני אחריך נרוצה. פי' אנו מתפללים להקב""ה להמשיך אותנו אליו במדת החסד ואנחנו נרוצה אחריו. כי בענין קנין משיכה הוא ב' אופנים. הא' הכישה במקל והיא תבוא. והב' קוראה לה והיא באה. והנה באופן הראשון בבחי' הכישה במקל הנה כבר לקינו והוצללנו בכובד הגלות המר. אך אנו מצפים להיות הגאולה וישועה באופן השנית בבחינת קוראה לה והיא באה. וז""ש יעקב אבינו את אשר יקרא אתכם באחרית הימים. שהיה מתפלל. על אחרית הימים קודם ביאת הגואל שאין בנו עוד כח לסבול היסורים מכובד הגלות המר. הנה יקרא אתכם בקריאה בעלמא ויהיה המשיכה אליו בקריאה והיא בבחי' הדעת ולא ע""י יסורים ח""ו. אז השיבנו ה' אליך ונשובה בתשובה שלימה חדש ימינו כקדם:","Gather and I will tell you what will call you in the end of days. It will be explained according to what is written, ""Draw me, we will run after you."" This means we pray to the Holy One, Blessed be He, to draw us to Him with the attribute of kindness, and we will run after Him. For in the matter of acquisition through drawing, there are two ways. The first is striking with a stick, and it will come. The second is calling to it, and it comes. Now, in the first way, by striking with a stick, we have already been struck and have been submerged in the heaviness of the bitter exile. But we are hoping for redemption and salvation in the second way, in the aspect of calling to it, and it comes. And this is what our forefather Jacob said, ""What will call you in the end of days,"" as he was praying for the end of days before the coming of the Redeemer, for we no longer have the strength to endure the suffering from the heaviness of the bitter exile. Behold, He will call you with a mere call, and the drawing to Him will be through calling, and this is in the aspect of knowledge, not through suffering, Heaven forbid. Then the Lord will bring us back to You, and we will return with complete repentance, renewing our days as of old.","The passage emphasizes the longing for divine connection and redemption in the context of suffering and exile. It contrasts two methods of drawing closer to God: one through painful experiences (symbolized by striking with a stick) and the other through a gentle call that invites a response. The author reflects on Jacob's prayer for the end of days, expressing hope for a future redemption that comes without suffering, allowing for a return to God through understanding and repentance. Ultimately, it envisions a time when the Jewish people will be restored to their former state of grace and closeness to God.","אספו  
אחרית הימים  
חסד  
משיכה  
גאולה  
ישועה  
קריאה  
דעת  
תשובה  
חדש ימינו"
Tiferet Shlomo,Vayechi,91,1023,"א""י האספו ואגידה לכם כו'. פירש""י בקש לגלות את הקץ ונסתלקה ממנו שכינה. להבין זה דהנה כשנתן את עצמו להסתכל בכל דור ודור מה שיעברו על בנ""י עד ביאת משיח. וראה באורך הגלות המר ובחשכות הגדול. הנה מזה נתעצב אל לבו מאד ונסתלקה ממנו שכינה בעבור העצבות. אך השבטים נחמו אותו ופתחו ואמרו שמע ישראל ה אלהינו ה' אחד כמו שפרש""י בפירושו ה' שהוא עתה אלהינו לעתיד יהיה ה' אחד ושמו אחד. כי צריך להיות שמח בזה במה שיהיה לעתיד בהגאולה ה' אחד לכל העולם ביום ההוא יהיה כו'. לכן אמר הוא ברוך שם כבוד מלכותו לעולם ועד שיהיה כן במהרה בימינו. אמן:","""Israel, gather and I will tell you, etc."" Rashi explains that he sought to reveal the end, and the Shechinah withdrew from him. To understand this, behold, when he devoted himself to look into every generation and what would befall the Children of Israel until the coming of the Messiah, he saw the length of the bitter exile and the great darkness. From this, he became very saddened, and the Shechinah withdrew from him because of the sadness. However, the tribes comforted him and opened by saying, ""Hear, O Israel, the Lord our God, the Lord is One,"" as Rashi explains in his commentary: ""The Lord, who is now our God, in the future will be One and His name will be One."" For one must be happy about what will be in the future with the redemption, when the Lord will be One for the whole world on that day, etc. Therefore, he said, ""Blessed be the name of His glorious kingdom forever and ever,"" that it should be so speedily in our days. Amen.","In this passage from Sefer Divrey Yoel, the author discusses the profound sadness experienced by Moses when he sought to reveal the end of days and was met with the withdrawal of the Divine Presence due to his sorrow. The tribes comfort him by affirming the unity of God, emphasizing that despite the current darkness of exile, there is a future promise of redemption when God's oneness will be recognized universally. This highlights the importance of maintaining joy and hope in the face of adversity, as the ultimate redemption will bring about a time when God's name will be one. The passage concludes with a declaration of faith in the eternal glory of God's kingdom, affirming the belief in a swift and imminent redemption.","א""י  
שכינה  
משיח  
גלות  
עצבות  
שבטים  
שמע ישראל  
הגאולה  
ברוך שם  
מלכותו"
Tiferet Shlomo,Vayechi,92,1024,"א""י בקש יעקב לגלות את הקץ ונסתלקה ממנו שכינה. שיעקב אבינו בקש אז בתפלתו על קץ הגאולה לגלות הקץ. עי""ז נסתלקה ממנו שכינה. פי' שהיה עלייה לשכינה הקדושה ונסתלקה למעלה למעלה ממנו ע""י תפלתו:","Jacob sought to reveal the end, and the Shechinah withdrew from him. When our forefather Jacob prayed for the end of the redemption, he sought to reveal the end. As a result, the Shechinah withdrew from him, meaning that there was an elevation of the Holy Shechinah, and it ascended higher and higher from him due to his prayer.","יעקב אבינו ביקש לגלות את הקץ של הגאולה, אך בעקבות תפילתו נסתלקה ממנו השכינה. זהו ביטוי לכך שהתפילה שלו גרמה לעלייה של השכינה הקדושה למקום גבוה יותר, מה שמעיד על הקשר העמוק בין תפילה, גאולה ושכינה. המעשה הזה מדגיש את המתח בין רצון האדם לגלות את העתיד לבין ההשגחה העליונה שמונעת זאת.","א""י  
יעקב  
שכינה  
קץ  
גאולה  
תפלה  
קדושה  
עלייה  
נסתלקה  
מעלה"
Tiferet Shlomo,Vayechi,93,1025,"דן ידין עמו כאחד שבטי ישראל יהי דן נחש עלי דרך כו' לישועתך קויתי ה'. הנ""ל עפ""י מ""ש בפי' המשנה הוה דן את כל האדם לכף זכות. להורות דרכי הצדיקים ההולכים תמיד במס""נ עבור כלל ישראל ומקבלים עליהם יסורים ודנים את עצמם עבור כלל ישראל כמ""ש ונשא אהרן את משפט בנ""י על לבו כו' כמבואר במ""א. וז""ש דן ידין עמו כאחד שבטי ישראל. פי' הצדיק הדן את עצמו עבור עמו בני ישראל ומצפה לטובתם הוא העושה היחוד למעלה כאח""ד. פי' כמו שצריך להיות במס""נ בשעת היחוד בק""ש כו' ה' אחד כן ג""כ צריך מס""נ עבור בני ישראל כי כן הוא שקול אהבת הבורא ב""ה ואהבת ישראל והכל צריך להיות במס""נ כנ""ל. ועי""ז יהי דן נחש עלי דרך וכו' לבטל כל הקטרוגים ולהכרי' כל הקוצים והחוחים המעכבים את התפלה. ויעורר רחמים עליהם כמ""ש לישועתך קויתי ה':","Dan will judge his people as one of the tribes of Israel. May Dan be a serpent on the path, etc. ""For Your salvation, I have hoped, O Lord."" The above is according to what is stated in the commentary on the Mishnah: ""He judged every person favorably."" To teach the ways of the righteous who always go with self-sacrifice for the sake of all Israel and accept upon themselves suffering and judge themselves for the sake of all Israel, as it is written, ""And Aaron shall bear the judgment of the children of Israel upon his heart,"" etc., as explained elsewhere. And this is what is meant by ""Dan will judge his people as one of the tribes of Israel."" The meaning is that the righteous who judges himself for his people, the children of Israel, and hopes for their good, is the one who makes the unification above as one. Just as one must have self-sacrifice at the time of unification during the Shema, etc., ""The Lord is One,"" so too there must be self-sacrifice for the children of Israel, for this is equal to the love of the Creator, blessed be He, and the love of Israel, and everything must be with self-sacrifice as stated above. And through this, may Dan be a serpent on the path, etc., to nullify all accusations and to uproot all the thorns and thistles that hinder the prayer. And may he awaken mercy upon them, as it is written, ""For Your salvation, I have hoped, O Lord.""","The passage emphasizes the importance of self-sacrifice (mesirat nefesh) by the righteous for the sake of the Jewish people, drawing parallels between their actions and the unity of Israel. It highlights that just as Aaron carried the judgment of the people on his heart, so too must the tzaddikim judge themselves favorably for the benefit of all Israel. This selfless love and commitment to the collective is seen as a means to invoke divine mercy and overcome obstacles to prayer, ultimately leading to the fulfillment of hope for salvation. The connection between love for God and love for Israel is central, underscoring that both must be approached with the same spirit of self-sacrifice.","דן  
מסירות נפש  
צדיק  
כף זכות  
יחוד  
אהבת הבורא  
אהבת ישראל  
תפילה  
רחמים  
קטרוגים"
Tiferet Shlomo,Vayechi,94,1026,"מכי""קמשלי כ""ו ראית איש חכם בעיניו תקוה לכסיל ממנו. הנ""ל עפ""י דברי הזוה""ק חכם עיניו בראשו. שהשכינה שורה על ראשו. יש כח בידו להיות דבריו נשמעים ולהחזיר בנ""א בתשובה. וזה תקוה לכסיל ממנו להיות נעשה בעל תשובה ע""י החכם. וז""ש תקוה. ע""ד שפי' בסידור האר""י ז""ל ולמלשינים אל תהי תקוה. תי""ק ו""ה ותקוה טובה לדורשיך שורש התשובה תשוב ו""ה. וז""ש תקוה לכסיל ממנו היינו.שישוב ו""ה לתוך בני אדם:","From Proverbs 26:12, ""Have you seen a wise man in his own eyes? There is more hope for a fool than for him."" The above is according to the words of the Zohar: a wise man has his eyes on his head, for the Shechinah rests upon his head. He has the power to have his words heard and to bring people back to repentance. This is the hope for a fool from him, that he may become a Baal Teshuvah through the wise man. And this is what is meant by ""hope,"" as explained in the Siddur of the Ari, may his merit protect us, ""And to the informers, let there be no hope."" ""Hope"" and ""good hope"" for those who seek You, the root of repentance will return. And this is what is meant by ""hope for a fool from him,"" meaning that he will return to the people.","The passage discusses the concept of a wise person whose insight and connection to the Divine (represented by the Shechinah resting on his head) enable him to guide others towards repentance. This wisdom instills hope in the foolish, suggesting that through the wise one's influence, even the foolish can return to a path of righteousness. The text emphasizes the importance of hope in the process of repentance, contrasting it with the lack of hope for those who slander. Ultimately, it highlights the transformative power of wisdom and the potential for redemption within the community.","מכ""י  
חכם  
שכינה  
תשובה  
תקוה  
מלשינים  
האר""י  
שורש  
בעל תשובה  
נשמעים"
Tiferet Shlomo,Vayechi,95,1027,"ויראו אחי יוסף כי מת אביהם ויאמרו לו ישטמנו יוסף והשב ישיב לנו את כל הרעה אשר גמלנו אותו ויצוו אל יוסף כו' אנא שא נא פשע אחיך וכו' ועתה שא נא לפשע עבדי אלהי אביך וכו' ויבך יוסף בדברם אליו. העירו המפרשים על כפל הלשון שא נא כו' ועתה שא נא וכו'. ועוד מהו ענין הבכיה שבכה יוסף. אך הנה מבואר בספרים הקדושים שעיקר התשובה הוא ע""י הצדיק הדור בעת שבא בעל תשובה לפני הצדיק הדור אזי נגמר תשובתו והצדיק מעלה תשובתו למעלה. ובזה פרשתי הפסוק ויאמר אברהם אל נעריו שבו לכם פה עם החמור וכו' ונשתחוה ונשובה אליכם. הנה מה שאמר ונשובה אליכם נראה מיותר שעיקר כוונתו שלא ילכו אתו. אך כוונת אברהם שראה שהם דומים לחמור כדרשת חכז""ל ואמר אברהם שלאחר העקידה יהיה זוכה למדריגה גדולה ולזה אמר נלכה עד כה שזה מדריגה כמובא בזוה""ק על פסוק כה תברכו וכו' ולזה אמר ונשתחוה ונשובה אליכם היינו שישוב אותם בתשובה להקב""ה. וז""ש בסוף העקידה וישב אברהם אל נעריו ויקומו וילכו יחדו אל באר שבע. העירו המפרשים למה נכתב הפ' הזה ומה מלמדנו בזה. אך להנ""ל אמר הכתוב שנתקיימו דבריו של אברהם אבינו שלאחר העקידה השיב אותם בתשובה וזה וישב אברהם כו' שהחזיר אותם בתשובה וילכו יחדו אל באר שבע שהושוו לאברהם אחר התשובה. ונחזור לאחי יוסף. ששני דברים אמרו. א' אמרו ליוסף שימחול להם על מכירת יוסף. והשני אמרו שהוא ישא לפשעיהם. וכן כל העבדות תורה ומצות הכל נושא הצדיק למעלה כמבואר בסה""ק ולזה אמרו ועתה אין ועתה אלא לשון תשובה. ועתה שא נא לפשע מה שיעשו מכאן ולהלאה שיעלה תשובתו למעלה. ועוד ישא לעבדי אלהי אביך. היינו העבדות שלהם התורה והמצות יעלה וישא למעלה שכל זמן שיעקב היה קיים הוא היה מעלה אותם בכל עניניהם ואחר מיתת יעקב ידעו כי יוסף הוא הצדיק הדור ולזה רצו שהוא יעלה תורתם ותפלתם. ולזה בכה יוסף על שאמרו לו כי הוא הצדיק הדור. ולזה מדויק שאמר באמרם אליו. היינו שאמרו אליו שהוא הצדיק הדור:","And Joseph's brothers saw that their father was dead, and they said, ""Perhaps Joseph will hate us and will surely repay us for all the evil that we did to him."" And they commanded Joseph, saying, ""Please forgive the transgression of your brothers..."" And now, please forgive the transgression of the servants of the God of your father..."" And Joseph wept when they spoke to him. The commentators have noted the repetition of the phrase ""please forgive"" and ""and now, please forgive."" Furthermore, what is the significance of Joseph's weeping? However, it is explained in the holy books that the essence of repentance is through the righteous of the generation. When a penitent comes before the righteous of the generation, then their repentance is completed, and the righteous elevates their repentance above. In this, I explained the verse, ""And Abraham said to his young men, 'Stay here with the donkey... and we will bow down and return to you.'"" What he said, ""and we will return to you,"" seems superfluous, as his main intention was that they should not go with him. But Abraham's intention was that he saw they were similar to a donkey, as our sages have interpreted. And Abraham said that after the binding, he would merit a great level, and therefore he said, ""We will go until here,"" which is a level, as brought in the Zohar on the verse, ""Thus you shall bless..."" And therefore he said, ""and we will bow down and return to you,"" meaning that he would bring them back in repentance to the Holy One, Blessed be He. And it is said at the end of the binding, ""And Abraham returned to his young men, and they arose and went together to Beersheba."" The commentators have noted why this verse is written and what it teaches us. However, according to the above, the verse states that the words of our father Abraham were fulfilled, that after the binding, he brought them back in repentance, and this is ""And Abraham returned..."" which means he brought them back in repentance, and they went together to Beersheba, having been equalized to Abraham after the repentance. And let us return to Joseph's brothers. They said two things. One, they said to Joseph to forgive them for selling him. The second, they said that he should bear their transgressions. And so it is with all the service of the Torah and commandments; the righteous bears everything above, as explained in the holy book. And therefore they said, ""And now,"" and ""and now"" is only a term of repentance. ""And now, please forgive the transgression..."" for what they will do from now on, that their repentance should ascend above. Furthermore, ""he will bear the servants of the God of your father."" This means their service, the Torah and the commandments, will ascend and be borne above, for as long as Jacob was alive, he was elevating them in all their matters, and after Jacob's death, they knew that Joseph was the righteous of the generation, and therefore they wanted him to elevate their Torah and prayer. And this is why Joseph wept when they said to him that he is the righteous of the generation. And thus it is precise that it says, ""when they spoke to him,"" meaning that they said to him that he is the righteous of the generation.","In this passage, the author explores the concept of repentance (teshuvah) through the lens of the relationship between Joseph and his brothers after their father's death. The brothers express their fear that Joseph will seek revenge for their past wrongs, prompting them to ask for forgiveness and to have their transgressions elevated by Joseph, who is recognized as the tzaddik (righteous one) of the generation. The text emphasizes that true repentance is facilitated by the tzaddik, who can elevate the prayers and actions of others, and Joseph's tears reflect his deep emotional response to being acknowledged as the spiritual leader. Ultimately, the passage highlights the transformative power of the tzaddik in guiding others towards divine connection and redemption.","תשובה  
צדיק  
עיקידה  
מדריגה  
נשובה  
הקב""ה  
עבדות  
תורה  
מצות  
ספירות"
Tiferet Shlomo,Vayechi,96,1028,"מכי""קשא נא לפשע עבדי אלהי אביך. ע""ד אמרם ז""ל אין צדיק בארץ אשר יעשה טוב ולא יחטא. היינו איזה פניה בעשית המצוה או חסרון כוונה או בלא דחילו ורחימו דלא פרחית לעילא הכל ביד הצדיקים להעלות התורה והמצות. וז""פ פשע עבדי אלהי אביך היינו החסרון מה בהעבדות אלהי אביך שהוא ישא התורה והמצות שלהם כנ""ל:","""Because of the transgression of the servants of the God of your father. As our sages of blessed memory said, there is no righteous person on earth who does good and does not sin. This refers to some aspect of the performance of the commandment or a lack of intention, or without fear and love, which does not ascend above. Everything is in the hands of the righteous to elevate the Torah and the commandments. And the meaning of the transgression of the servants of the God of your father is the deficiency in the service of the God of your father, who bears their Torah and commandments as mentioned above.""","The passage discusses the inherent imperfections in human actions, even among the righteous, as expressed in the saying that no one is entirely free from sin. It emphasizes that any shortcomings in the performance of commandments or the lack of proper intention can affect the elevation of Torah and mitzvot. The phrase ""the transgression of the servants of the God of your father"" highlights the deficiencies in their divine service, which ultimately impacts the spiritual ascent of their Torah and commandments. This reflects a key Hasidic concept of striving for higher intentions and the continuous effort to elevate one's spiritual practice.","מכי""קשא  
צדיק  
מצוה  
כוונה  
דחילו ורחימו  
תורה  
מצות  
עבודות  
פשע  
חסרון"
