book_name,parsha_name,dvar_torah_id,passage_id,passage_content
Divrey Yoel,Ba,0,0,"באה' אל משה בא אל פרעה וגו' כבר דקדקו באומרו בא ולא אמר לך אל פרעה, גם אומרו כי אני הכבדתי את לבו קשה להבין מה נתינת טעם הוא זה, גם תיבת אני מיותר דהי' סגי לומר כי הכבדתי, ובמדרש הובא בישועות יעקב בא אל פרעה בשליחותי וצ""ב מה בעי בזה."
Divrey Yoel,Ba,0,1,"ואפשרלומר דהנה לכאורה קשה הלא אין הקב""ה מייחד שמו על הרעה, וענין הכבדת הלב הי' עונש לפרעה על שחטא ברצונו תחלה כמבואר ברמב""ם ז""ל (פ""י מה' תשובה עיי""ש), וא""כ האיך הי' הקב""ה מייחד שמו ע""ז באומרו ""אני"" הכבדתי את לבו ומאתו ית' לא תצא הרעות, אמנם כבר נודע מ""ש הקדושת לוי בכללות הנסים דלכן הי' מכות בכורות ע""י הקב""ה בכבודו ובעצמו אף דמאתו לא תצא הרעות, מ""מ כאן הי' טובה גדולה גם למצרים. שע""י מכה זו נתקדש ש""ש על ידם, ואין לך טובה גדולה מזו, שע""ז נברא העולם לקדש ש""ש ברבים יעיי""ש שהאריך בדברות קדשו מלהבות אש, אמנם בליקוטי תורה מהאר""י ז""ל כתב בפ' לכה ואשלחך אל פרעה דכיון שהולך לשני דברים לעשות טובה לישראל ורעה למצרים, ועל הרעה אין הקב""ה מייחד שמו, ע""כ אמר לכה נגד בחי' הרעה כלומר שילך מעצמו, ונגד הטובה לישראל אמר ואשלחך שיהי' בתורת שליחות מאתו ית'."
Divrey Yoel,Ba,0,2,"ובקדושתלוי הנ""ל כתב לחלק שמכות הקודמין לא היו גורמים קידוש השם כ""כ, ע""כ הי' עדיין רעה למצרים, להכי היו ע""י שליח כי מאתו ית' לא תצא הרעה, משא""כ במכת בכורות שגרמה קדושת שמו הגדול, הי' טובה גמורה גם להם והי' באפשרי שיהי' ע""י הקב""ה בכבודו ובעצמו יעיי""ש, ובאמת גם במכות הכנים כבר הודו החרטומים ואמרו אצבע אלקים הוא, ובוודאי מה שהודו כל חרטומי מצרים בכח אלקי נצמח קידוש השם גדול, א""כ גם מכה זו הי' להם לטובה גדולה, וע""כ נראה כי מה שאמר הקב""ה לכה ואשלחך שלא רצה שהמכות למצרים יהי' בדרך שליחות, זה הי' רק במכות הראשונים שהיו המצריים מחזיקים אותם למעשה כשפים כמו שאמרו תבן אתם מכניסים לעפרים, ולא נתקדש ש""ש עי""ז כלל, ואדרבה כי נתחזקו למכשפים, וא""כ הי' לפי שעה באמת רעה גדולה להם, ולא הי' באפשרי שיהי' בדרך שליחות מאתו ית', משא""כ אח""כ שהודו אצבע אלקים הוא, ומה שלא עשה הקב""ה בכבודו ובעצמו כ""א מכת בכורות, ולא המכות הקודמין אף שהיו ג""כ טובה כנז""ל אין זה קושיא, דמכות בכורות הי' עיקר הפירסום הגדול בקדושת שמו ית' עד סוף כל הדורות והוא טובה לאין שיעור וערך למעלה מהשגת כל הנבראים, אולי עבור זה לא הי' מהראוי שיהי' נעשה ע""י שליח כ""א ע""י הקב""ה בכבודו ובעצמו. אבל מכות הראשונות אף שהיו באמת ג""כ טובה להם, מ""מ הלא מצינו כמה טובות באים לעולם ע""י שליח ממנו ית', וכן גאולתן של ישראל במצרים הי' ע""י שליח, יען שלא הי' עדיין גאולה נצחית ואך הגאולה העתידה במהרה יהי' ע""י הקב""ה בעצמו יען שהוא גאולה נצחית כנודע וכן במכות מצרים אף שהיו טובה גדולה להם. אבל תכלית טובתן בשלימות הי' רק במכות בכורות שנתפרסם שמו ית' עי""ז עד סוף כל הדורות."
Divrey Yoel,Ba,0,3,"והנהגם בענין הכבדת לבו של פרעה, דלולא זאת לא הי' באפשרי שיבואו עליו כל המופתיםהאלה עד מכת בכורות, כמבואר בקרא כ""פ דלכן הכביד את לבו למען רבות המופתים, ש""מ דלא סגי בלא""ה שלא הי' מקום לעשות גמר כל המופתים לולא הכבדת הלב, א""כ גם ענין זה הי' טובה גדולה לאין שיעור וערך, שהי' הכנה לגמר כל המופתים ותכלית טובתן בעולם, וע""כ מובן שפיר למה גם זה נעשה ע""י הקב""ה בעצמו, ואמר ""ואני"" אקשה את לב פרעה, וגם כאן כתיב ""אני'' הכבדתי, דאף שזה עונש, הי' באפשרי שיהי' נעשה ע""י הקב""ה בעצמו, ומזה ראי' לדברינו דגם כל המכות שבאו מעת שהכביד הקב""ה את לבו בע""כ, נחשבים ג""כ לטובה ולא רעה ח""ו, כי יען שהכל הי' אך ע""י הכבדת הלב מהקב""ה, ואילו הי' נחשב לרעה לא הי' באפשרי שיגרום זה הקב""ה ע""י פעולתו בעצמו ית', וע""כ אך במכות הראשונות הי' קפידא שאמר ית""ש לכה מעצמך ולא בדרך שליחות כמבואר לעיל."
Divrey Yoel,Ba,0,4,"והנהנודע מ""ש זקיני הגה""ק זלה""ה בישמח משה עה""פ וזרח השמש ובא השמש ואל מקומו שואף זורח הוא שם, דהטעם שנקרא שקיעת השמש בלשון ביאה, עפי""מ שאמרו חכז""ל (סנהדרין דף צ""א ע""ב) למה חמה יוצאת במזרח ושוקעת במערב כדי לתת שלו' לקונה, וההתרחקות מבורא ית""ש נקרא בלשון יציאה, והתקרבות אליו נקרא בלשון ביאה, וע""כ נקרא בלשון ביאת השמש יען שמתקרבת אז אליו ית""ש, וז""ש וזרח השמש ובא השמש שנקרא בלשון ביאה יען] ואל מקומו שואף זורח הוא שם עכ""ד."
Divrey Yoel,Ba,0,5,"והנהמרע""ה אשר תמיד הי' דבוק בקדושתו ית""ש והוצרך לילך למצרים ארץ מלאה גילולים. אשר אפי' תפלה קלה לא הי' באפשרי להתפלל שם, כנאמר כצאתי את העיר אפרוש כפי, ולא הי' שם מקום להשראת שכינתו ית', הנה בוודאי הי' הדבר נקרא אצלו ליציאה שהוצרך לצאת ממקום דביקותו בהשי""ת למקום יבש מלחלוחית קדושה, וע""כ אמר לו הקב""ה שמעת הכביד את לב פרעה למען עשות בו כל המופתים הגדולים לפרסם קדושת שמו ית', מאז נעשה כלי לקדושת השם שזה תכלית כל הנבראים והי' לו קצת עלי' וממילא יש גם שם מציאת השי""ת, וע""כ ביאתו אליו באפשרי לקרותו גם בלשון ביאה לכח אלוקי שהי' אז בתוכו להכביד את לבו."
Divrey Yoel,Ba,0,6,"ובזהאפשר לתרץ מה שנתחבטו המפורשים בדברי רש""י ז""ל שפי' דבעמדו לפני פרעה נאמרה לו נבואה זו, דהאיך אפשר לומר במקום שלא הי' יכול להתפלל אפי' תפלה קלה, ואיך נאמרה לו פרשה שלימה שם, ועפ""י הנ""לאפשר לומר דמעת שנמצא אצלו הקב""ה עכ""פ לענין הכבדת לבו, מעט מן האור דוחה הרבה מן החושך, והי' באפשרי גם למרע""ה לקבל שם נבואה מאתו ית'."
Divrey Yoel,Ba,0,7,"וז""שבא אל פרעה, שכעת נקרא ביאתך אל פרעה בלשון ביאה, כי אני הכבדתי את לבו למען שיתי אותותי וגו', וכיון שאני נמצא שם לצורך הטובה הגדולה של האותות והמופתים, שפיר דמי למיקרי הליכתך לשם בלשון ביאה, וזה אפשר לומר גם בכוונת דברי המדרש בא אל פרעה בשליחותי, שא""צ לזה לשון הליכה שיהי' ע""י עצמך כמו שאמר בתחלה לכה שלא רצה שיהי' בדרך שליחות יען שהי' רעה, אבל כאן ע""כ שהוא טובה והראי' ממה שאני הכבדתי את לבו כנז""ל, וע""כ אפשר שיהי' בשליחותי והבן. (ע""כ מכתי""ק)."
Divrey Yoel,Ba,0,8,"ובזהאפ""ל למען שתי אותותי אלה בקרבו, רומז על אותיות התורה שפרשה שלימה בתורה עוד נגע אחד אביא על פרעה וגו' נאמרה בתוך פלטין שלו, ומסתמא הי' זה לצורך התקון להוציא בלעם מפיהם, ועמקו מחשבותיו ית', והנה זכה לזה בסיבת הכבדת הלב כנ""ל, וז""א כי אני הכבדתי את לבו למען שתי אותותי אלה היינו אותיות התורה בקרבו דייקא."
Divrey Yoel,Ba,1,9,"(מכתי""ק)ה' אל משה בא אל פרעה וגו' למען שיתי אותותי אלה בקרבו, צ""ב הלשון שאמר במכה זו מכת הארבה למען שיתי אותותי אלה ולא אמר כן בשאר המכות, גם צריך להבין הלא אמרו חז""ל כל מקום שנאמר אלה פוסל אתהראשונים, וא""כ צ""ב מה שאמר אותותי ""אלה"" דמה פוסל בזה."
