book_name,parsha_name,dvar_torah_id,passage_id,passage_content
Divrey Yoel,Shemot,0,0," dir=""rtl"">"
Divrey Yoel,Shemot,1,1,"דברי יואל  שמות ואלה שמות בני ישראל הבאים מצרימה את יעקב איש וביתו באו. יש לדקדק טובא, אומרו את יעקב מה משמיענו בזה הלא כבר ידענו שיעקב בא למצרים ובניו עמו. ב) למה שינה הכתוב דרכו דמתחלה קורא אותו ישראל ואח""כ יעקב. ג) אומרו איש וביתו באו מיותר, "
Divrey Yoel,Shemot,2,2,"ד) במדרש רבה הבאים מצרימה, וכי היום באים והלא ימים רבים היו להם שבאו למצרים אלא כל זמן שהי' יוסף קיים לא היו להם משוי של מצרים, מת יוסף נתנו עליהם משוי, לפיכך כתיב הבאים כאילו אותו היום נכנסו למצרים, מבואר דמשמת יוסף התחיל השעבוד, ובפ' ויחי פרש""י ז""ל למה פרשה זו סתומה, לפי שכשמת יעקב נסתמו עיניהם ולבם של ישראל מצרת השעבוד שהתחילו לשעבדם, ולהלן עה""פ וימת יוסף וכל אחיו וכל הדור ההוא דרשו רז""ל ללמדך שכל זמן שהי' אחד מהם קיים מאותן שירדו למצרים לא שיעבדו המצרים בישראל הרי לך ג' סתירות בדברי רז""ל בזמן התחלת השעבוד. "
Divrey Yoel,Shemot,3,3,"ה) במדרש את יעקב כל אלו מכוחו של יעקב שסגל מצות ומעשים טובים וזכה להעמיד י""ב שבטים. ויש לתמוה דהפסוק בא לספר התחלת הגלות והשעבוד ואיך שייך לומר ע""ז שהוא בזכות יעקב, אדרבה בזכות יעקב זכו ישראל לישועה וגאולה, והו""ל להזכיר זכותו של יעקב אצל פסוקי הגאולה. "
Divrey Yoel,Shemot,4,4,"ו) ויקם מלך חדש על מצרים אשר לא ידע את יוסף ובתרגום אונקלס פי' דלא מקיים גזירת יוסף וצ""ב ואינו מבואר ענין גזירה זו מהו. "
Divrey Yoel,Shemot,5,5,"ולבאר הענין ולהשוות הג' זמנים הנ""ל שלא יהיו סותרין זה את זה, נקדים דברי רז""ל עה""פ ויעבידו מצרים את בני ישראל בפרך, פרש""י ז""ל בעבודה קשה המפרכת את הגוף ומשברתו, ובגמ' סוטה (י""א ע""א) בפרך בפה רך, פרש""י משכום בדברים ובשכר עד שהרגילום לעבודה. ובעלי התוס' הביאו מדרש רז""ל עה""פ ערי מסכנות לפרעה, בתחלה אמר להם פרעה, לכל אחד מכם אני נותן שכר מכל לבנה שיעשה, ובאו כולן ודחקו עצמן מפני חימוד השכר ועשו יותר מדאי, וכוון שראה פרעה כך, אמר להם השלימו חקכם ללבון כאשר בהיות השכר נתן לכם והכי איתא נמי בגמ' (פסחים ל""ט ע""א) למה נמשלו מצרים למרור, לומר לך מה מרור זה תחלתו רך וסופו קשה, אף מצרים תחלתן רכה וסופן קשה, פרש""י בתחלה נשתעבדו להן ע""י שכר ששכרו אותן עיי""ש. ובמדרש הובא בבעלי תוס' עה""פ לכו לסבלותיכם שבט לוי אמרו עתידין אנו לעבוד עבודת משא של הקב""ה, חלילה שלא נעבוד שום עבודה לרשע זה בשום שכר שיתן לנו, וענו הלוים ואמרו כולם שאינם יודעים לעשות לבנים, ומאותו היום והלאה לא הי' לו פתחון פה לשאול להם שום דבר עבודה עכ""ד המדרש, לכאורה ראוי להבין הרי לבסוף שעבד פרעה לישראל בכפי' ובכח גזירת המלכות, וכמו""כ הי' בידו להכריח את בני לוי לשעבד בהם ומדוע נמנע מעשות כן, ואין בזה טעם מספיק, מפני שבני לוי לא רצו לקבל עליהם בתחלה עבודתו של פרעה ברצונם, דלענין כפי' אין נפק""מ אם רצו או לא רצו, ואפשר להסביר עפי""ד הרמב""ן הק' עה""פ הבה נתחכמה לו, וז""ל שלא ראה פרעה וחכמי יועציו להכותם בחרב, כי תהי' בגידה גדולה להכות חנם העם אשר באו בארץ במצות המלך הראשון וכו', אבל אמר שיעשו דרך חכמה שלא ירגישו ישראל כי באיבה יעשו בהם, ולכך הטיל בהם מס, כי דרך הגרים בארץ להעלות מס למלך וכו' עכ""ל עיי""ש. ועד""ז התחכם שמתחלה נתן להם שכר, והיו ישראל עובדים עבודתו ברצונם להרויח שהיו נותנין עיניהם בממון, ועי""כ הי' לו פ""פ ושליטה, לשעבד בהם אח""כ, משא""כ שבע לוי שמעיקרא לא קבלו עבודתן, לא רצה להכריח אותם גם אח""כ לטעם הנ""ל. "
Divrey Yoel,Shemot,6,6,"ואפשר לומר עוד טעם פנימי, מדוע לא שיעבדו המצרים בבני לוי בכפי', דהנה אף שהגלות היתה גזירה מן השמים, אבל לא בשעבוד קשה כ""כ, אלא שהמצרים העדיפו השעבוד והעינוי ולכך נענשו, והשיג פרעה שלא יוכל לשעבד בהם שעבוד קשה בלתי אם יחטיאם תחילה וכן עשה, וכמ""ש השלה""ק (מאמר מצה עשירה) וירעו אותנו המצרים שעשו אותנו רעים וחטאים לד' ולזה התחכם להמשיכם לדעתם ולדרכיהם בפה רך, כמש""כ רש""י ז""ל משכום בדברים ובשכר, גם נתן להם שררות ופטרונין, עד שנמשכו לדרכיהם הרעים לעבוד ע""ז והחטא גרם אח""כ לשעבד בהם שעבוד קשה בכפי' ובאונס, ולפי שמעיקרא התאוו תאוה להרויח ממון ע""כ אותו הרצון שיחדה אותם, דאין לך משוחד יותר ממי שמשוחד לתאוותיו ורצוניו, והשוחד יעור עיני חכמים, ולכן לא השיגו נכונה, שימשכו לדעתם עי""כ להחטיאם בע""ז, אבל שבט לוי לא רצו לקבל מהם שכר ולא נעשו משוחדים, וע""כ השיגו האמת מה שעתיד לצמוח מזה השכר, ולכך נמנעו מתחלה מלעבוד להם, ושוב לא הי' לכוחות הטומאה שליטה עליהם. "
Divrey Yoel,Shemot,7,7,"והנה הכלל הוא שהסיבה הגורמת נחשבת כמעשה וע""ד שכתב הב""י (באו""ח סי' תר""ד) לפרש אמרם ז""ל (ר""ה ט.) כל האוכל ושותה בתשיעי מעלה עליו הכתוב כאילו התענה תשיעי ועשירי, וז""ל מדכתיב בערב ע""כ לא מקפיד אעינוי דט', והכי משמע קרא כלומר התקן עצמך בט' שתוכל להתענות בעשירי, ומדאפקה קרא בלשון עינוי ילפינן דהרי הוא כאילו התענה בט' עכ""ד, מבואר שהאכילה בתשיעי על שהוא סיבה והכנה המסייעתו להתענות בעשירי נחשבת ג""כ כאלו התענה, ועד""ז לענינינו דמה שהתחילו לעבוד בשביל ממון גרם שעבודם אח""כ, א""כ גם זמן ההוא שעבדו בשכר נכלל בזמן השעבוד כי דין גרמא בנזקין להשתעבד בהם אח""כ באונס, ולפי""ז אין סתירה בזמן השעבוד, דכ""ז שהי' יע""א קיים השפיע והאציל מאור קדושתו על כל ישראל ע""כ לא התאוו תאוה להשפעת הממון של המצריים, והשיגו וראו את הנולד מה שעתיד לצמוח מזה אם יסכימו לעבוד בשכר, אבל אחר הסתלקות יע""א נחלש כח הקדושה, ונתעורר אצלם הרצון להרויח ממון ולעבוד אצל המצריים בשכר, ועל כי היו משוחדים אל התאוה לא ראו את הנולד כי השוחד יעור, אולם יוסף הצדיק שהי' מלך ומושל עליהם ועל המצריים, לא הניחם לעבוד אף בשכר כי ראה את העתיד לצמוח מזה. ע""כ גזר שלא יעבדו עבודת המצריים אף בשכר. "
Divrey Yoel,Shemot,8,8,"נמצא דבני עלי' ושבע לוי שהשיגו ירידת מדרגתם של ישראל, שבשביל הרווחת ממון רוצים לעבוד למלכות הרשעה, ושמזה יומשך אח""כ השעבוד. הם הרגישו בחי' השעבוד מיד בהסתלקות יעאע""ה, ואף שלא עבדו ישראל עדיין עבודת המצריים בפועל, דכ""ז שיוסף קיים גזר עליהם ועל המצריים שימנעו מזה, אבל עצם ידיעה זו שישראל מתאוים לזה בשביל הרווחת ממון הי' להם שעבוד רוחני, גם השיגו שאם יוסר כח המונע אחר הסתלקות יוסף הצדיק לא יקיימו עוד גזירת יוסף וסופם להשתעבד בהם, ולכן נחשב להם מיד להתחלת השעבוד, אולם השעבוד הי' רק בכח ולא בפועל, אבל כשנסתלק יוסף הצדיק הוסר מהם כח המושל, כי להשבטים לא הי' כח הממשלה ומי שרצה להרויח ממון לא מנע את עצמו מזה אחר פטירת יוסף, ועי""כ התחיל השעבוד בפועל, אלא שעדיין לא עבדו רק בשכר, דכ""ז שהיו השבטים הקדושים וכל הדור ההוא קיימים היו המצריים בושים לשעבד בהם בכפי', ואחר שנסתלק יוסף וכל אחיו וכל הדור ההוא נסתלקה הבושה מהם והתחילו לשעבד בהם בכפי' בלא שכר, ומעתה כל אלו הזמנים שארז""ל בהתחלת השעבוד כולן איתנייהו, אלא שכל א' בחינתו שונה מחבירו ואין בהם סתירה. "
Divrey Yoel,Shemot,9,9,"ועד""ז יל""פ דברי התרגום אונקלס עה""פ אשר לא ידע את יוסף די לא מקיים גזירת יוסף ולדרכנו ר""ל דיוסף גזר על המצריים שלא יעבידו בבני ישראל אפי' בשכר, וגם על ישראל גזר שלא יקבלו עליהם עבודתם של המצרים, ואחר הסתלקות יוסף הצדיק קם מלך חדש די לא מקיים גזירת יוסף הנ""ל והתחיל לעבוד בהם בשכר כדי להמשיכם לתועבת מצרים. וזה יהי' סיבה אח""כ להכריחם ולשעבדם בכפי', ובזה יבואר דברי המדרש הנ""ל (בקושיא ד') כ""ז שהי' יוסף קיים לא הי' להם משוי של מצרים, מת יוסף נתנו עליהם משוי, לפיכך כתיב הבאים כאילו אותו יום נכנסו למצרים, דהתחלת השעבוד בפועל הי' משמת יוסף כנ""ל, וע""כ נחשב להם כאילו אותו יום נכנסו למצרים. "
