book_name,parsha_name,dvar_torah_id,passage_id,passage_content
Divrey Yoel,Va'era,0,0,"ואראאלקיםאל משה ויאמר אליו אני ד'. דקדקו המפורשים מ""ט התחיל הכתוב בשםאלקיםמדה""דובלשון דיבור קשה, וסיים ויאמר אליו אני ד' שם של רחמים ואמירה לשון רכה, ורש""י ז""ל פי' דבר אתו משפט על שהקשה לדבר ולומר למההרעותהוגו' ויאמר אליו אני ד' נאמן לשלם שכר טוב וכו'וצ""בדלפי""זהמה ב' דברות סמוכיםזל""ז,וה""זמקרא קצר ולא נתבאר כוונת הדיבור והקישור בין שניהם,ובמד""ר(פ' ו' סי' א') נתבאר יותר לפי שאמר למההרעותהוגו' על דבר זה בקשהמדה""דלפגוע במשההה""דוידבראלקיםאל משה, ולפי שנסתכל הקב""ה שבשביל צער ישראל דבר כן חזר ונהג עמובמדתהרחמים,הה""דויאמר אליו אני ד' עכ""ד המדרש,וצ""בדהלאהבוי""תמסתכל בסוף דבר בקדמותו, ומעיקרא ידעדבשבילצערן של ישראל דיבר כך, ומהו זה שאמרו חזר ונהג עמובמדתהרחמים, ולא שייך חזרה לפניוית'."
Divrey Yoel,Va'era,0,1,"ב)דרשובמד""ר(פ' ו' סי' ב') ר""יב""רחנינאאמראלקיםעל המצרים: אני ד' על ישראל, ופי'היפ""תאלקיםעל המצרים שיבוא בדין עליהם. אני ד' על ישראל לרחם עליהם כנגד מה שהרעו להם לישראל,וצ""בדמצרייםמאןדכרשמי', ולפי פשוטו נאמר דיבור זה למשה, גםלפי""זאין לו קישור לא לפרשה של מעלה למההרעותהוגו' ולא לפרשהשלאחרי'."
Divrey Yoel,Va'era,0,2,"ג)איתא (רמז קע""ו) וידבראלקיםאל משה וגו'זש""ה(תהלים נ') שמעה עמי ואדברה ישראל ואעידה בךאלקיםאלקיךאנכי,א""רפנחס הכהן ברחמאאמר הקב""ה למשה בשביל שקראתי אותךאלקיםשנא' ראהנתתיךאלקיםלפרעה,אלקיךאני ולכך נאמר וידבראלקיםאל משה עכ""ד המדרש,וצ""ב."
Divrey Yoel,Va'era,0,3,"ויתבארבהקדםמ""שק""זהיש""מזלל""הבפ' שמות לפרש דבריהילקו""שבשלח (רמז רל""ד) והמים להם חומה, חמה כתיב שנתמלא עליהם הים חמה להטביעןוכו', מיד אותה חמה שנתמלא על ישראל החזירו על מצרים,הה""דוישבו המים ששבו מישראל על מצרים, ולכאורה תמוה וכי יעבידקוב""הדינאבלאדינאח""ו,דחימהשל ישראל יהי' על מצרים, הלא די להם בשלהםוק""לאמונה ואין עול, אבל יובן כפשוטועפי""דהמדרש שטען שר של מצרים מהנשתנואלו מאלו הללועוע""זוהללו עובדי ע""ז, והשיבית' וכי לדעתם עבדוה, והלא לא עבדוה אלא מתוך שעבוד ומתוך טירוף הדעת, ואתה דן שוגג כמזיד ואונס כרצוןוכו', וידועמ""שהשלה""קוירעו אותנו המצרים וגו' שעשו אותנו רעים וחטאים,ועפי""זיבוא על נכון המדרש הנ""ל,דאותהחמה החזיר על המצריים, כי הם הגורמים וישראל אנוסים עכת""דהק', ולכאורה עדיין ראוי להבין למה הי' הצורך להשתמשבחימהשל ישראל, וכי לא הי' מספיק בשלהם,ובל""סראויים היו המצרים למדת עונשם גם בשבילעוונותםשעבדו ע""ז ועוד הרבה רעות שעשו."
Divrey Yoel,Va'era,0,4,"ואפשרלתרץעפימ""שבמתני' (סוטה דף כ' ע""א) יש זכות תולה ב' שנים. יש זכות תולה ג' שנים, ובגמ' שם רצו ללמדה מפסוקדכתיבגבי אדום (עמוס א') כה אמר ד' על שלשה פשעי אדום וגו', ומסיק דאין ראי' לדבר אלא זכר לדבר,דדלמאשאני עכו""ם דלא מפקידדינאעלייהועכ""דהגמ'ופרש""יאיןממהריןמן השמים לפקודעונותםעליהם בעוה""ז, אבל מישראלממהריןליפרעבעוה""זומדקדקיןאחריהם, ובזה יבואר דברי מדרש הנ""לדאותהחמה שנתמלא על ישראל החזירו על מצרים אע""פ שגם הם עבדו ע""ז וראויים היו לעונש, אבל עכו""ם לא מפקדדינאעלייהוואיןממהריןלהפרעמהם מידת ענשם, ואפשר הטעם כדי שיקבלו מדת שכרם עבור הטוב המגיע להם, וכשנתמלא סאתם הקב""ה פורע מהם, אבל לפי שהי' שליטת הדיןוהחימהעל ישראל, והמצריים היו הגורמים ומחטיאים אותם, ע""כ נמדד להםבמדתםשל ישראלשמדה""דממהרתלהפרעמהםומדקדקיןאחריהםכפרש""יז""ל."
Divrey Yoel,Va'era,0,5,"ומעתהיתבארו ב' המדרשים הנ""ל, ושניהם על קוטב א' נאמרו, והואדבקשהמדת הדין לפגוע במשה על שהקשה לומר למההרעותה, והגם שבשביל צערן של ישראל דבר כן, אבל לפי מידת גדלו וצדקתו הי' בזה פגם קצת ע""דוסביביונשערה מאוד, אולם לפי שהמצריים היו הגורמים לצערן של ישראל, והם אשר סובבולמדה""דשיחול, ע""כ בדין הוא שאותוהחימהומדה""דפגעה בהם במצרים, וזה לעומת זה נהג הקב""ה עם ישראלבמדתהרחמיםוז""שבמדרשאלקיםעל מצרים, אני ה' על ישראל, ומעתה א""ש קישור דרשתם ז""ל עה""פ וידבראלקיםאל משה."
Divrey Yoel,Va'era,0,6,"ועד""זיתבאר קישור הכתוב וידבראלקיםאל משה ויאמר אליו אני ד', שנתעוררמדה""דעל משה בשביל שאמר למההרעותהומקושר לפרשה שלמעלה הימנו אלא בשביל שהמצרים גרמו לזה ע""י שציערו את ישראל, ע""כ חזרהמדה""דעל המצריים ומדת הרחמים על ישראל, ובזה יתבאר דברי הילקוט הנ""ל אמר הקב""ה למשה בשביל שקראתי אותךאלהיםשנא' ראהנתתיךאלהיםלפרעה, ר""ל להמשיך מדת הדין על פרעה ועל מצרים, ע""כאלקיךאני שנא' וידבראלקיםאל משה, ונתעוררמדה""דעל משה כדי להחזירו על ראש מצרים, שהם היו הגורמים להחטיאם ומגיע להםמדינאכנ""ל."
Divrey Yoel,Va'era,1,7,"וידבראלקיםאל משה ויאמר אליו אני ה', פי' רש""י ז""ל דבר אתו משפט על שהקשה לדבר ולומר למההרעותהלעם הזה, לכאורה יש להפליא דהרי משה רבינו הי' מובחר היצורים ולגודל מדריגת קדושתו אין חקרוהי""לאימהופחד ורעדה מהקב""ה יותר מכל הברואים שבעולם, ואיך דיברמרע""הלפני הקב""ה דברים קשים כאלה, ואף לפני מלךב""ולא יאות לומר כןומכ""שלפניממ""ההקב""ה, גם צ""ב הקישור בשאלתו למה זה שלחתנילמ""שלמההרעותהלעם הזה."
Divrey Yoel,Va'era,1,8,"ונל""פבהקדם מה שפירשתי (פ' לך עמוד של""ד)במאמה""כבמה אדע כיאירשנהוגו'פירש""ילא שאל לו אות על בשורת הזרע אבל על ירושת הארץ שאל לו אות ואמר לו במה אדע כיאירשנה, והקשה הרמב""ן ז""ל למה שאל אות בירושת הארץ ובנתינת זרע לא שאל אות עיי""ש תירוצו, עוד פי'רשיז""לד""א במה אדע לא שאל לו אות, אלא אמר לפניו הודיעני באיזה זכות יתקיימו בה, א""ל הקב""ה בזכותהקרבנות, ולכאורה קשה להעמיס זאת בלשון הכתוב במה אדע כיאירשנה. שמשמעותו מורה על הידיעה בעצם ההבטחה אם תתקיים ולא על הזכות במה יזכו, ופירשתי עפ""י המבואר בדבריחכז""לבכ""מכי א""י ניתן על תנאי אם ישמרו ישראל את התורה,כדאיתאבמכילתא פ' יתרו (הובא בילקוט מלכים רמז ק""ע) ג' דברים נתנו על תנאי ארץ ישראל בית המקדש ומלכות בית דוד עיי""ש, והכתוב עומד וצווחויתןלהם ארצות גוים וגו' בעבור ישמרוחקיווגו', ובזה יובן שעל בשורת הזרע לא שאל לו אות, מפני שההבטחההיתהמוחלטת ובלי תנאי,משא""כבשורת הארץ הי' על תנאי אם ישמרו את התורה,ועד""זהיתהשאלתו אם יזכו לירושת הארץ ובאיזה זכות יזכו אלי', והשיב לו הקב""ה בזכותהקרבנותעיין שם בדברינו ביאורהעניןבאריכות, ולכאורה עדיין ראוי להבין מדוע שאל על ידיעת הזכות, ויספיק שיתפלל אל הקב""ה שיזכובנ""ילהרבות מצותומע""טואזבודאייזכו לירושת הארץ."
Divrey Yoel,Va'era,1,9,"אמנםידוע כי האבות הקדושים כל פעולתם הי' בשביל דורות העתידים, ועשו פועל דמיוני להכין ישועה לדורות לישראל, וכמושמצינובאאע""הכשבא לשכם הי' מתפלל על בני יעקב כשיבואולהלחםבשכם כפי' רש""יעה""כעד מקום שכם וגו'ועד""זיתבאר שאלת אאע""ה במה אדע באיזה זכות יזכו ישראלוכו', ותכלית ידיעה זו אליו כדי להכיןכחהשפעת זכות זה לבניו שיחזיקו בו, כי זה הי' כל עבודתוהק', וכמ""שכוידעתיו למען אשריצוהאת בניו ואת ביתו אחריו ושמרו דרך ה' וגו' ולזה רצה אאע""ה לידע באיזה זכות יזכו לירושת הארץ כדי להכין להםכחהשפעה זו."
