book_name,parsha_name,dvar_torah_id,passage_id,passage_content
Divrey Yoel,Vayechi,1,1,"ויחי יעקב באמ""צ וגו'. פרש""י למה פרשה זו סתומה, לפי שכיון שנפטר יעקב אבינו נסתמו עיניהם ולבם של ישראל מצרת השעבוד וכו'. הקשו המפרשים הרי אמרז""ל דכל זמן שאחד מהשבטים היה קיים לא שעבדו המצריים בבנ""י, ואיתא במד""ר פ' שמות עה""פ וימת יוסף וכל אחיו וכל הדור ההוא, ללמדך שכ""ז שהי' קיים א' מאותן ע' נפש שירדו למצרים, לא שעבדו המצרים בישראל, וצ""ב דברי רש""י ז""ל מ""ש שכיון שנפטר ועאע""ה נסתמו עיניהם של ישראל מצרת השעבוד, והרי לא היתה עליהם שעבודם של מצרים באותה שעה. גם הקשו המפרשים ז""ל דלפי דרשתם ז""ל אין כאן מקומה של הסתומה, וראוי להיות להלן בסוף הפרשה אצל ויגוע ויאסף אל עמיו."
Divrey Yoel,Vayechi,1,2,"ב) ויקרא לבנו ליוסף וגו' שים נא ידך תחת ירכי וגו' פרש""י ז""ל שים נא ידך. והשבע, וכן פרש""י לעיל (פ' חיי) שים נא ידך תחת ירכי, שהוא ציווי על השבועה עיי""ש, אמנם הראב""ע והרשב""ם ז""ל פירשו שם שענינו להראות הכנעה ושעבוד כעבד אל אדוניו, וזה המשפט עדיין בארץ הודו עכ""ד. ואף כאן בפ' ויחי רמזו הראב""ע והרשב""ם ז""ל על פירושם שם, וכתב ק""ז הישמח משה זלל""ה דכאן מוכרח כפי' הראב""ע והרשב""ם, דא""א לומר שהוא ציווי לשבועה, דהרי אחר שהשיב יוסף אנכי אעשה כדבריך, כתיב ויאמר השבעה לי מכלל דמעיקרא לא לשבועה נאמר עכ""ל ק""ז זלל""ה, וצ""ב ליישב שיטת רש""י ז""ל, דכפל הציווי למה, וכבר צוהו על השבועה במאמר שים נא ידך, ומדוע כפל ציוויו לומר השבעה לי."
Divrey Yoel,Vayechi,1,3,"ג) עוד הקשה קיז זלל""ה מדוע שינה יעקב את טעמו בשבועתו מאברהם אבינו שמצינו באאע""ה כשהי' רוצה לצוות לאליעזר ולהשביעו, תיכף במאמר ראשון אמר לו ואשביעך. ואח""כ פי' לו ענין השבועה, ויעקב מתחלה אמר ליוסף ענין הציווי, וכשהשיב לו אנכי אעשה כדבריך, אמר לו השבעה לי והי' לו לומר מיד במאמר הראשון השבעה לי אל תקברני במצרים וגו', ולא דבר ריק הוא ההשתנות הזה."
Divrey Yoel,Vayechi,1,4,"ד) עו""ק ממ""ש בריש חולין (ב' ע""א) בפלוגתא דר""מ ור""י עה""כ טוב אשר לא תדור משתדור ולא תשלם, דר""מ ס""ל טוב מזה ומזה שאינו נודר כל עיקר, ור""י ס""ל טוב מזה ומזה נודר ומשלם, ומפרש בגמרא דאפילו ר""ו לא קאמר אלא באומר הרי זו, אבל באומר הרי עלי לא, עוד שם בגמרא וכי תחדול לנדור לא יהי' בך חטא, הא אם תדור יהיה בך חטא (ואפילו אם מקיימו, עיי""ש). וא""כ לפי""ז קשה איך צוה יעקב אבינו ליוסף שישבע לו ויעבור על וכי תחדול לנדור לא יהיה בך חטא, והרי קיימו האבוה""ק כל התורה כולה ע""כ תוכן קושיתו ק""ז זלל""ה, וקושיא זו קשה גם על מה שהשביע יוסף את בני ישראל וצ""ב."
Divrey Yoel,Vayechi,1,5,"ה) במסכת סוטה (ול""ו ע""ב) כל לישנא דאשתעי פרעה בהדי', אהדר לי' (יוסף), אשתעי איהו בלשון הקודש, לא הוה קא ידע מאי הוה אמר, אמר לו אגמרי, אגמרי' ולא גמיר, אמר לו אישתבע לי דלא מגלית (משום דהי' כתוב בנימוסי מצרים שלא ימלוך רק מי שיודע כל הלשונות, וא""כ יעבירוהו ממלכותו) אישתבע לו, כו א""ל אבי השביעני לאמר, א""ל זיל איתשל אשבועתך (פרש""י השאל לחכמים שיתירוה לך) א""ל יוסף ואיתשלי נמי אדידך, ואע""ג דלא ניחא לי' אמר לו עלה וקבור את אביך כאשר השביעך עכ""ד הגמרא. וכן פרש""י להלן (בפרשת ויחי) עה""פ עלה וקבור אביך כאשר השביעך. דאם לא בשביל השבועה לא הייתי מניחך, אבל ירא לומר עבור על השבועה, 
שלא יאמר א""כ אעבור על השבועה שנשבעתי לך שלא אגלה על לה""ק שאינך מכיר בו וכו', עכ""ד רש""י ז""ל, וק""ז הישמח משה זלל""ה הביא על דברי הגמרא הנ""ל מקשין העולם איך אמר לי' איתשיל נמי אדידך, הא קיי""ל צריך לפרוט את הנדר, וא""כ קודם שיתירהו איך יעבור על שבועתו, ועוד מקשין מאי נמי אדידך, הלא אם יתיר שבועת פרעה יעבירוהו לפרעה ממלכותו, ובודאי ימלוך יוסף, כי אין מי שיודע ע' לשון וגם לה""ק רק יוסף, ואז ממילא יוכל לקיים שבועת יעקב, א""כ הול""ל איתשיל אדידך. ולשון נמי אדידך משמע שיתיר לשני השבועות, והוא תמוה דלמה יתיר לשניהם ומדוע תלה התרת חדא בחבירתה ע""כ קושית העולם עיי""ש תירוצו."
Divrey Yoel,Vayechi,1,6,"ו) עוד הקשה ק""ז זלל""ה על שבועה זו שנשבע יוסף ליעקב, ממ""ד בגמרא (שבועות כ""ה ע""א) שבועה שזרק פלוני צרור לים ושלא זרק, רב אמר חייב, איתי' בלאו והן, ושמואל אמר פטור ליתי' בלהבא, פרש""י ליתי' בלהבא יזרוק פלוני או לא יזרוק אין זה שבועת ביטוי אלא שבועת שוא, שהרי און פלוני ברשותו לזרוק ולא לזרוק עכ""ל (ועיין ש""ע יו""ד סימן רל""ו ס""ב). מבואר מכל הנ""ל דבדבר שאין הכרע כלל אם יעשה פלוני או לא יעשה, חייב מלקות הנשבע אף אם יעשה אח""כ פלוני, דמ""מ הוי שוא בשעת השבועה, וא""כ הכא ביוסף שאין בידו. דהא הי' צריך ליטול רשות מפרעה כמבואר בקרא, ואין הכרע כלל אם יתן לו פרעה רשות או לא, א""כ הוי ח""ו כשבועת שוא, והיא קושיא עצומה לענ""ד עכ""ל ק""ז הישמח משה זלל""ה."
Divrey Yoel,Vayechi,1,7,"ז) ועשית עמדי חסד ואמת וגו'. פרש""י ז""ל חסד שעושים עם המתים הוא חסד של אמת שאינו מצפה לתשלום גמול, וצ""ב דלהלן פרש""י עה""פ ואני נתתי לך שכם א' וגו', לפי שאתה טורח בקבורתו, גם אני נתתי לך וכו', וא""כ הרי שילם את גמולו ומדוע ביקש מאתו חסד של אמת גם שאמרז""ל יעקב אבינו לא מתל א""כ אין זו בגדר חסד שעושים עם המתים."
Divrey Yoel,Vayechi,1,8,"ולבאר הענין נתחיל לתרץ קושיא הנ""ל, האיך השביע יעקב ליוסף, ויוסף השביע לבני ישראל, והרי כ""ע ס""ל בכה""ג דטוב מי שאינו נודר כל עיקר, והנודר אפילו אם מקיימו ה""ז חוטא (עיין לעיל קושיא ד'). ואפ""ל עפימ""ד במד""ר ותנחומא (פ' מטות) וידבר משה אל ראשי המטות וגו' איש כי ידור נדר לד' וכו', א""ל הקב""ה לישראל לא תהיו סבורים שהותר לכם לישבע בשמי אפילו באמת, אין אתם רשאין לישבע בשמי אלא א""כ יהיו בך כל המדות האלה, שנאמר את ד' אלקיך תירא ואותו תעבוד ובשמו תשבע, עד שתהא כשלשה שנקראו יראי אלקים, אברהם איוב ויוסף וכו', אם יש בך כל המדות הללו אתה יכול להשבע ואם לאו אי אתה יכול להשבע עכ""ד המדרש. ולפי זה יונח בפשטות שועאע""ה השיג וראה צדקתו של יוסף, שהוא מאותן שנקראו יראי אלקים ומותר לו לישבע וא""ש שהשביעו."
Divrey Yoel,Vayechi,1,9,"ובזה יומתק לנו קישור מאמר הכתוב ויאמר השבעה לי וגו' וישתחוו ישראל על ראש המטה, פרש""י על שהיתה מטתו שלימה ולא הי' בה רשע, שהרי יוסף מלך הוא ועוד שנשבה לבין הגוים והרי הוא עומד בצדקו, ויל""ד כו בודאי הכיר והשיג יעאע""ה ביוסף, מאז שראהו ונתודע אליו ברדתו למצרים, כי עדיין עומד בצדקו, ומדוע עכשיו בצוותו השבעה לי נתבונן בו עוה""פ והשתחוה לד' כי עדיין עומד בצדקו וצ""ב הקישור, ולדרכנו א""ש עפ""י פשטות, דעכשיו התבונן בו עוה""פ כי הי' נפק""מ לו להלכה אם רשאי להשביעו, וראה והשיג צדקתו ומיד הודה והשתחוה לד' על שהיתה מטתו שלימה, וא""ש קישור הכתוב."
Divrey Yoel,Vayechi,1,10,"ומה שהשביע יוסף את בנו ישראל אפשר לתרץ, דהטעם דטוב אשר לא תדור, משום דשמא לא יקיים את נדרו, ואפשר דיש לחלק בזה בין יחיד לרבים, ועל דרך מה שכתב הריטב""א (במסכת יומא פרק טרף בקלפי) שהקשה שם לתנא קמא האיך אמר הכהן גדול לה' חטאת, הא אמרינן בנדרים (דף י' ע""ב) דלא לימא אינש לד' קרבן אלא קרבן לד', דלמא פשע ויאמר לד' ולא יאמר קרבן ונמצא מזכיר שם שמים לבטלה, ותירץ דכיון שיש שם הסגן והאב בי""ד מדכרי ליה, וברבים ליתא להאי חששא שמא לא ישלים אמרו. דרבים מדכרי אהדדי עיי""ש, וכה""ג אמרי' במסכת (שבת י""ב ע""ב) דיחיד אסור לקרות לאור הנר שמא יטה, ובשנים מותר דמדכרי אהדדי, והנה יוסף הצדיק השביע את כל ישראל והעליתם את עצמותי וגו', וליכא מקום לחשוש שמא לא יקיימו את השבועה, דא""א שלא ימצא בכל ישראל אף א' שיקיים צוואתו, ומשו""ה שפיר השביעם."
