book_name,parsha_name,dvar_torah_id,passage_id,passage_content
Noam Elimelekh,Vayechi,1,1,"‎והנה עיקר החיות של הצדיק היא ע""י התפילה שעל ידה הוא מתדבק בהבורא יתעלה כנ""ל, וידוע שע""י שם הקדוש היוצא מפסוק 'את 'השמים 'ואת 'הארץ נברא העולם, והוא גימטריה טו""ב, ועיקר תפילת הצדיק היא על השכינה הקדושה, וזהו ""ויחי יעקב בארץ מצרים"", 'מצרים' לשון מיצר ים, דהיינו ע""י שהיה מצער עצמו על גלות השכינה הנקראת 'ים', עי""ז היה לו חיות שהיה מתדבק בהבורא ב""ה, ""שבע עשרה שנה"", פירוש שכל זאת היה בכח הא""ס בתחילת הבריאה כשברא כל הנבראים וכל עולמות ע""י שם הקדוש שהוא גימטריה י""ז כנ""ל שבו נברא העולם."
Noam Elimelekh,Vayechi,2,1,"‎וזהו ""ברוך ה' אשר לא הסיר תפילתי"" שאני מתפלל, לא הסיר אותה ממני מחמת שהיה אז בכח הא""ס ב""ה וממילא היא מקובלת, ""וחסדו מאתי"", פירוש ועל כל זאת אודה יה, מאחר שהיה התפילה הזאת בכח הא""ס, נמצא שאין זה מחמתי מצד פעולתי שיהיה ראוי להנתן לי שכר על זה, ואעפ""כ נותן לי השי""ת שכר כאילו היתה הפעולה ממני, ""וזהו וחסדו מאתי"", שאודה לו ית""ש על חסדו הגדול שמעלה עלי כאילו היה מאתי. והבן."
Noam Elimelekh,Vayechi,3,1,"<b>או יאמר</b> ""ויחי כו'"" ע""פ הפסוק ""זמרו כבוד שמו שימו כבוד תהלתו"", נראה פירושו היות התחלות אדם בעבדות הבורא ב""ה בוודאי אינו יכול תיכף בהתחלתו [ל]עלות במדרגת עליונים, כי עדיין סבבוהו זרים במחשבתו הדבוקה בעוה""ז השפל ובהבליו, אבל צריך אדם מקודם לפנות מחשבתו ולזמר עריצים, המה הקליפות המבלבלים אותו מעבודתו, ולזה צריך עבודה רבה, ואח""כ יפנה עצמו לעלות במחשבת קדושים ביחודים וכוונות עליונים, ואז נחשב לו אותה העבודה שעבד בתחילתו והיא לזמר עריצים כאותה העבודה החשובה העיקרית שעולה בה לתכליתו, כיון שכוונתו הכל לשם שמים והכל אחד, וזהו ""זמרו כבוד וכו'"", פירושו כנ""ל שהעבודה של זמיר עריצים הוא חשוב כמו ""שימו כבוד תהלתו"", ש'תהלה' נקרא המדריגה הגדולה של הצדיק שמאיר לעולמות עליונים, ותהלה הוא לשון אור, כמו עטישותיו תהל אור."
Noam Elimelekh,Vayechi,4,1,"‎וזהו ג""כ הפירוש כאן, ""ויחי יעקב בארץ מצרים"", ששם היה עבודתו במדריגת קטנות, וזה רמז ""שבע עשרה שנה"" גימטריה טו""ב, שהוא השם הקדוש במספר קטן, מחמת שהיה בארץ מצרים מקום הקליפות והיה עיקר העבדות לזמר עריצים, אעפ""כ היה נחשב לו זה כשאר שנותיו שהיה עובד בהם במדריגת גדלות, וזהו ""ויהי ימי יעקב שני חייו"", פירוש שזה היה נחשב לו במנין שאר שנותיו בשוה כנ""ל."
Noam Elimelekh,Vayechi,5,1,"<b>או יאמר</b> ""ימי יעקב שני חייו כו'"", לפי שעיקר החיות של הצדיק הם אותן הימים שמוסיף בהם אור העבודה, והם נקראים 'ימים' ע""ד שנאמר ""ויקרא אלהים לאור יום"", וזהו ""ויהי ימי יעקב"", פירוש הימים שהיה מוסיף בהם אור, הם היו עיקר ""שני חייו"". וק""ל."
Noam Elimelekh,Vayechi,6,1,"<b>או יאמר</b> ""ויחי כו'"", ונקדים לפרש הפסוק ""הודו לה' כי טוב כו'"", דהנה הצדיק ע""י תפילתו הזכה והצלולה הוא ממשיך את הבורא ב""ה וב""ש לעוה""ז, והרי הוא כמו שמביא שמו הגדול אל הקטנות, כי עיקר גדולתו על השמים כבודו, וגדולתו על כל העולמות, והצדיק ממשיכו לזה העולם הוא כמו קטנות, והשם הקדוש בקטנות גימטריה י""ז, אך עי""ז שממשיך את הבורא לעוה""ז אזי מלאה הארץ חסדו בהשפעות וברכות וטובות הרבה, וזה ""הודו לה'"", היינו שתתפללו לפניו והודו לו, ""כי טוב"", ר""ל הגם שתביאו אותו ית""ש ויתעלה כמו אל הקטנות, דהיינו השם הקדוש הויה ב""ה בקטנות גימטריה טוב כנ""ל, ""כי לעולם חסדו"", ר""ל כי עי""ז תפעלו להמשיך לעוה""ז חסדו, היינו השפעות חסדים וטובות."
Noam Elimelekh,Vayechi,7,1,"‎וזהו ""ויחי יעקב בארץ מצרים שבע עשרה שנה"", ר""ל ע""י שם הקדוש שהמשיך למטה והוא גימטריה י""ז כנ""ל, עי""ז היה לו חיות והשפעות טובות בארץ מצרים. וזהו ""ברוך ה' אשר כו' וחסדו מאתי"", דהיינו שע""י תפילתי אני גורם להמשיך חסדו לעולם כנ""ל. וק""ל."
Noam Elimelekh,Vayechi,8,1,"<b>או יאמר</b> ""ויחי יעקב כו'"", דהנה ראוי להשכיל ולהבין על קבלת שכר המצוות, הנה מצד השכל והדין אינו מחמת קיום המצוות, כי מאחר שהבורא ית""ש ויתעלה בראנו לכבודו, ואין אנו מספיקים להודות על אחת מאלף כו' על הטובות כו' שעשה עמנו, וראוי ונכון היותינו מקיימים מצוותיו הקדושים כמאמר התנא ""אם למדת תורה הרבה אל תחזיק כו' כי לכך נוצרת"", אך עיקר קבלת שכרינו הוא מצד שהבורא ית""ש נתן בנו יצה""ר המסית אותנו בכל עת ורגע ומתגבר עלינו להתאוות תאוה ולהרהר חלילה בעבירה וכל יצר מחשבותיו רק רע כל היום, והאדם עומד כנגדו ובתחבולות יעשה מלחמה נגדו להזהר ולהשמר מכל דבר רע, מחניפות ושקרים וליצנות ולשון הרע ותאוות והרהורים והדומה להם, לזה צריך מלחמה ועבודה רבה לשבר כח התאוות היצה""ר, וזהו עינוי וסיגוף גדול, עי""ז הקב""ה מקדשו ומטהרו כאילו עשה מצוה, כי ע""י המצוות אנו מתקדשים ומתטהרים כאמור ""אשר קדשנו במצותיו"", וזהו דאמרינן בגמרא ""היושב בטל ואינו עובר עבירה מעלה עליו הכתוב כאלו עשה מצוה"", והיינו כנ""ל, ע""י שהוא משבר כח התאוה של היצה""ר שלא לחטוא חלילה עי""ז והוא מתקדש כאילו עשה מצוה."
Noam Elimelekh,Vayechi,9,1,"‎וזהו שהתפלל משה רבינו ע""ה ""שמחינו כימות עניתנו"", פירוש שתשמחנו בקדושתך כימות עניתנו ע""י היצה""ר שאנחנו מוכרחים לשבר כח תאוותו, ""שנות ראינו רעה"", פירוש כל השנים אשר ראינו והסתכלנו ברעה להזהר ולהשמר ממנו, עי""ז ""יראה אל עבדיך פעליך"", ר""ל יחשב לפניך כאילו עשינו כל מצוותיך ופעליך, כנ""ל שע""י עינויים וסיגופים מהיצה""ר לשבר כחו, יחשב כאילו עשיתי כל המצוות."
Noam Elimelekh,Vayechi,10,1,"‎תהו ""תאות לבו נתת לו כו'"", זה שנתת לאדם הבחירה שיעשה כתאות לבו, ""וארשת שפתיו בל מנעת סלה"", שלא מנעת ממנו לדבר בשפתיו כרצונו, כל זאת עשית לטובת האדם, ""כי תקדמנו ברכות טוב"", פירוש עי""ז שהבחירה לאדם והיצה""ר מסיתו והוא כובש את יצרו, עי""ז יקדמנו השי""ת ברכות ושכר גדול, ע""י השם הקדוש שם הויה ב""ה שהוא גימטריה טוב, והיינו אפילו בגלות המר שהשם הוא בקטנות, כי לעתיד שיהיה השם בגדלות, בוודאי אין קץ וסוף להשפעתו, וזהו ""הודו לה'"", ר""ל להשם הויה שמו הגדול ית""ש, ""כי טוב"", ר""ל אף בגלות המר שהשם בקטנות, אעפ""כ הוא בגימטריה טוב, וזהו ""כי לעולם חסדו""."
